Brooks, Kentucky	Census-designated places in Kentucky, Bullitt County, Kentucky
Monango, North Dakota	1880s establishments in North Dakota, 1886 establishments in the United States, Cities in North Dakota
Battle of Whitestone Hill	1863 in the United States, American Civil War battles, 1860s in North Dakota, September events
Dakota territory	Former territories of the United States
Battle of Killdeer Mountain	1864 in the United States, American Civil War battles, Battles in North Dakota, July events
Battle of the Badlands	1864 in the United States, American Civil War battles, 1860s in North Dakota, August events, Battles of Alfred Sully’s 1863 expedition, Battles in North Dakota
Battle of Big Mound	1863 in the United States, American Civil War battles, 1860s in North Dakota, July 1863 events, Battles of Alfred Sully’s 1863 expedition, Battles in North Dakota
Galia melon	Melons
Melnick 34	Binary stars
Battle of Grand Coteau	1850s in the United States, 1851, Bovines, History of Native Americans, Battles in North Dakota, 19th century in North Dakota, July events
Hornussen	Sports, Switzerland
Battle of Stony Lake	1863 in the United States, American Civil War battles, 1860s in North Dakota, July 1863 events, Battles in North Dakota
Battle of the Trebia	210s BC, Punic Wars, Emilia-Romagna
Oregon Concordia University	20th-century establishments in Oregon, 1905 establishments in the United States, Colleges and universities in Oregon, Christian colleges and universities in the United States, Portland, Oregon
Remake	Movie remakes
Bob Cashell	1938 births, 2020 deaths, Cardiovascular disease deaths in the United States, American mayors, Businesspeople from Nevada, Businesspeople from Texas, Politicians from Texas, Politicians from Nevada, People from Reno, Nevada, Disease-related deaths in Nevada, US Democratic Party politicians, US Republican Party politicians
Shariff Abdul Samat	1984 births, 2020 deaths, Deaths from myocardial infarction, Footballers, Singaporean people
Shaun Donovan	1966 births, Living people, United States Secretaries of Housing and Urban Development, Directors of the Office of Management and Budget, Politicians from New York City, US Democratic Party politicians
John Sweeney (labor leader)	1934 births, 2021 deaths, American political activists, Businesspeople from New York City, People from Yonkers, New York
Gerda Weissmann Klein	1924 births, Living people, Naturalized citizens of the United States, Polish writers, American autobiographers, Presidential Medal of Freedom recipients, American human rights activists, Holocaust survivors
Polymorphism (materials science)	Materials science
Katsuya Nomura	1935 births, 2020 deaths, Baseball coaches, Deaths from myocardial infarction, Japanese baseball players, People from Kyoto Prefecture
Benon Biraaro	1958 births, 2020 deaths, Deaths from colorectal cancer, Military people, Ugandan politicians
Ann E. Todd	1931 births, 2020 deaths, Actors from Denver, Colorado, American child actors, American movie actors, American teachers, American television actors, Deaths from dementia
Clarence "Jeep" Jones	1933 births, 2020 deaths, American political activists, Politicians from Boston, Massachusetts
Christie Blatchford	1951 births, 2020 deaths, Canadian journalists, Cancer deaths in Ontario, Columnists, Deaths from lung cancer, Writers from Quebec, Writers from Toronto
Philip Leder	1934 births, 2020 deaths, Deaths from Parkinson's disease, American geneticists, Scientists from Washington, D.C.
Ron McLarty	1947 births, 2020 deaths, Deaths from dementia, Disease-related deaths in New York City, American movie actors, American stage actors, American voice actors, American television actors, American playwrights, American novelists, Actors from Rhode Island, Writers from Rhode Island, People from Providence, Rhode Island
