West Division (NHL)	National Hockey League divisions
Christine Lieberknecht	1958 births, Living people, Christian ministers, East German politicians, German Lutherans, Ministers-President of Germany, People from Weimar, Politicians from Thuringia, Politicians of the Christian Democratic Union of Germany
Aerodynamics	Fluid mechanics, Aerospace engineering
East Carolina University	Colleges and universities in North Carolina, American Athletic Conference
Kodomo	Anime
Seinen manga	Manga
Josei	Anime
The Marine	2006 movies, English-language movies, 20th Century Fox movies
Harem (genre)	Anime and manga terms
MS-13	Criminals, El Salvador, Gangs
Lois Lane	DC Comics characters, Superman
Woody Austin	American golfers, Sportspeople from Tampa, Florida, 1964 births, Living people
Lex Luthor	Fictional business executives, Fictional characters introduced in 1940, Superman, DC Comics supervillains, Fictional mass murderers
Bones (TV series)	2005 American television series debuts, 2000s American drama television series, 2000s American workplace television series, 2000s crime television series, 2000s mystery television series, 2010s American crime television series, 2010s American drama television series, 2010s American workplace television series, 2010s mystery television series, American crime drama television series, American mystery television series, American police television series, American workplace drama television series, Fox television series, Television series set in Washington, D.C., English-language television programs
69 (sex position)	Sexual acts
Goodfellow's tree-kangaroo	Macropods, Mammals of Asia
Mahamadou Diarra	1981 births, Living people, Malian footballers, People from Bamako
Rodrigo Batata	1977 births, Living people, Brazilian footballers, People from Curitiba
Francisco Arce	1971 births, Living people, Paraguayan footballers
H.Š.K. Concordia	Croatian football clubs, Establishments in Croatia, 1906 establishments in Europe, 1945 disestablishments in Europe
Mirko Hrgović	1979 births, Living people, Bosnia and Herzegovina footballers
Emerson Thome	1972 births, Living people, Brazilian footballers, People from Porto Alegre
Sérgio Ricardo de Jesus Vertello	1975 births, Living people, Brazilian footballers
Michel Pensée	1973 births, Living people, Cameroonian footballers
Rodrigo Nunes de Oliveira	1979 births, Living people, Brazilian footballers
F.K. Vojvodina	Serbian football clubs, 1914 establishments in Europe, 1910s establishments in Serbia
Mike Myers	1963 births, Living people, Actors from Toronto, American game show hosts, American movie actors, American movie producers, American screenwriters, American television actors, American television personalities, American television writers, American voice actors, British game show hosts, British movie actors, British movie producers, British screenwriters, British television actors, British television personalities, British television writers, British voice actors, Canadian movie actors, Canadian movie producers, Canadian screenwriters, Canadian television actors, Canadian television writers, Canadian voice actors, Comedians from Toronto, Naturalised citizens of the United Kingdom, Naturalized citizens of the United States, Order of Canada, Writers from Toronto
Haddaway	1965 births, Living people, Trinidad and Tobago people, German singers
Fine Young Cannibals	1984 establishments in the United Kingdom, 1996 disestablishments in England, English pop music groups, English rock bands, Musical groups disestablished in 1996, Musical groups established in 1984, Musical groups from Birmingham, West Midlands, Soul bands
Pet Sematary (1989 movie)	1980s horror movies, 1989 movies, Movies based on books by Stephen King, English-language movies
Hedy Lamarr	1914 births, 2000 deaths, Actors from Vienna, American autobiographers, American inventors, American movie actors, American television actors, Austrian movie actors, Austrian television actors, Naturalized citizens of the United States
Bowie knife	Blades
Kitarō	1953 births, Living people, Japanese composers, Grammy Award winners, People from Aichi Prefecture
Dick in a Box	2009 songs
Jizz in My Pants	2008 songs, YouTube
Walking Tall	2004 movies, American action movies, Movies set in Washington (U.S. state), English-language movies
Green Goblin	Characters created by Stan Lee, Fictional business executives, Fictional characters introduced in the 1960s, Spider-Man, Marvel Comics supervillains, Marvel Comics mutates
Danaus eresimus	Danaus
New Super Mario Bros. Wii	2009 video games, Wii games
Luigi's Mansion	2001 video games, Mario video games, Nintendo 3DS games, Nintendo GameCube games
Thurberiphaga diffusa	Noctuidae
Glandular fever	Diseases caused by viruses
Hard Rock Stadium	1987 establishments in the United States, Buildings and structures in Miami, Florida, National Football League venues, Sports in Miami, Florida, Miami Marlins, Major League Baseball venues, 1980s establishments in Florida
Greater St. Louis	St. Louis, Missouri, Metropolitan areas of the United States
Ecological niche	Ecology
Ascension of Jesus	Christian theology
Degenerate art	Nazism, Art
Paulo Henrique Miranda	1972 births, Living people, Brazilian footballers
Alexandre Finazzi	1973 births, Living people, Brazilian footballers
Jan Vennegoor of Hesselink	1978 births, Living people, Dutch footballers, Sportspeople from Overijssel
Kuniya Daini	1944 births, Living people, Footballers from Hyōgo Prefecture, Japan international footballers, Japan Soccer League players, Urawa Red Diamonds players
Antonio de la Cruz	1947 births, Living people, Spanish footballers, Spanish football managers
Tomislav Erceg	1971 births, Living people, Croatian footballers, People from Split
Luis Robson	1974 births, Living people, Brazilian footballers
Jadílson	1977 births, Living people, Footballers from Maceió
Wannsee Conference	Nazism, The Holocaust
Rheydt	Boroughs of Germany, Mönchengladbach
Animals of New Zealand	Animals of New Zealand
University of Jena	Colleges and universities in Germany, Jena
Hurricane Grace (1991)	Hurricanes in Bermuda, 1991 Atlantic hurricane season, Category 2 Atlantic hurricanes, 1990s in Bermuda, 1991 in North America
Eli Whitney	1765 births, 1825 deaths, American inventors
Cotton gin	Agricultural machinery
Gale warning	Winds
James Burton	American guitarists, Musicians from Louisiana, American rock musicians, Country musicians, 1939 births, Living people
Jeff Burton	1967 births, Living people, NASCAR drivers, American racecar drivers, Sportspeople from Virginia
LeVar Burton	1957 births, Living people, African-American movie actors, African-American television actors, African-American voice actors, American television directors, Peabody Award winners, People from Rhineland-Palatinate, Grammy Award winners, Emmy Award winners
Beach erosion	Geology, Beaches, Erosion
Indestructible Records	1922 disestablishments, 1900s establishments in New York (state), Albany, New York, American record labels, Radio, 1907 establishments in the United States, 1920s disestablishments in New York (state)
Gonaïves	Cities in Haiti
Britannia	National personifications, United Kingdom
Funhouse	2009 songs, Pink songs
Obsessed	2009 songs, Mariah Carey songs, Hip hop songs, R&B songs
Run This Town	2009 songs, Rihanna songs, Jay-Z songs, Kanye West songs
Nada Surf	American rock bands, Musical groups from New York, Musical groups established in 1992, 1992 establishments in New York (state)
Robben Island	Atlantic islands, Islands of Africa, Geography of South Africa, Prisons, Nelson Mandela
The Taking of Pelham 123 (2009 movie)	2009 crime movies, 2009 thriller movies, 2000s crime thriller movies, American crime thriller movies, American movie remakes, English-language movies, Heist movies, Movies based on books, Movies directed by Tony Scott, Movies set in New York City
Ethernet switch	Computer hardware, Computer networking
Keisuke Ota	1981 births, Living people, Footballers from Shizuoka Prefecture
Frédéric Antonetti	1961 births, Living people, French footballers, French football managers
Sota Nakazawa	1982 births, Living people, Footballers from Tokyo Prefecture
Ryo Kobayashi	1982 births, Living people, Footballers from Saitama Prefecture
Naoya Kondo	1983 births, Living people, Footballers from Tochigi Prefecture, Japan international footballers, J1 League players, J2 League players, Kashiwa Reysol players, JEF United Chiba players, Tokyo Verdy players
Hidekazu Otani	1984 births, Living people, Footballers from Chiba Prefecture
Groove Armada	English dance musicians, Electronic music bands
Ellis Island	Islands of New York, Geography of New York City
Headphones	Audio technology
Processed cheese	Processed cheese
Paraffin	Chemistry
Bahrain Grand Prix	Formula One Grands Prix, Sport in Bahrain, 2004 establishments in Asia
Repetition	Literary terms, Rhetoric, Words
Wende	1989 in Europe, 1990 in Europe, 20th century in Germany, East Germany
Roy Jones Jr.	1969 births, Living people, Sportspeople from Florida, American boxers, American rap musicians from Florida, Singers from Florida
Bobby Labonte	1964 births, Living people, American racecar drivers, NASCAR drivers, Sportspeople from Texas, People from Corpus Christi, Texas
Recreo	Cities in Argentina
Ibuprofen	Analgesics
Senate of Romania	Government of Romania, National upper houses
Armenia, Wisconsin	Juneau County, Wisconsin, Towns in Wisconsin
Beetown, Wisconsin	Towns in Wisconsin, Grant County, Wisconsin
The Cranberries	20th century establishments in the Republic of Ireland, 1980s Irish music groups, 1990s Irish music groups, 2000s Irish music groups, 2010s Irish music groups, County Limerick, Irish rock bands, Musical groups established in 1989, Musical groups disestablished in 2019, Musical quartets
Yuji Unozawa	1983 births, Living people, Footballers from Chiba Prefecture
Yuzo Kobayashi	1985 births, Living people, Footballers from Tokyo Prefecture
Masayuki Ochiai	1981 births, Living people, Footballers from Kumamoto Prefecture
2. Bundesliga	Football leagues, 1974 establishments in Europe, 1970s establishments in Germany
Shinya Tanoue	1980 births, Living people, Footballers from Kagoshima Prefecture
Delio Toledo	1976 births, Living people, Paraguayan footballers
Makoto Sunakawa	1977 births, Living people, Footballers from Chiba Prefecture
Wiener Sport-Club	Austrian football clubs, Football clubs of Vienna
Wiener A.F.	Austrian football clubs, Football clubs of Vienna
Wiener A.C.	Austrian football clubs, Football clubs of Vienna
First Vienna FC	Austrian football clubs, Football clubs of Vienna
Floridsdorfer A.C.	Austrian football clubs, Football clubs of Vienna
FK Austria Wien	Austrian football clubs, Football clubs of Vienna
Eiji Takada	1974 births, Living people, Footballers from Kanagawa Prefecture
Mert Nobre	1980 births, Living people, Brazilian footballers
Watan Hamara Azad Kashmir	Azad Kashmir, National anthems
Voice recorder	Audio technology
Eurytides marcellus	Eurytides
Iphiclides	Papilioninae
Kagyu	Tibetan Buddhism
Brawn GP	Formula One constructors
Cadillac Escalade	1990s automobiles, Cadillac automobiles, Pickup trucks, Sport utility vehicles
Cordillera Septentrional	Geography of the Dominican Republic
Bjørn Skaare	1958 births, 1989 deaths, Detroit Red Wings players, Norwegian ice hockey players, Ontario Hockey League players, Road accident deaths, Sportspeople from Oslo, Swedish Hockey League players, Central Professional Hockey League players, Ice hockey centres
Egg Harbor (town), Wisconsin	Towns in Wisconsin, Door County, Wisconsin
Carlsville, Wisconsin	Unincorporated communities in Wisconsin, Door County, Wisconsin
WWE Superstars	2009 television series debuts, American television series, World Wrestling Entertainment television programs, 2016 television series endings, English-language television programs
Verbenaceae	Verbenaceae
Reinaldo da Cruz Oliveira	1979 births, Living people, Brazilian footballers
Archie Thompson	1978 births, Living people, Australian footballers
Axel Rodrigues de Arruda	Brazilian footballers, 1970 births, Living people
FK Partizan	Serbian football clubs, 1945 establishments in Europe, 20th century establishments in Serbia
Red Star Belgrade	Serbian football clubs, Belgrade, 1945 establishments in Europe, 20th century establishments in Serbia
F.K. Željezničar Sarajevo	Football clubs, Sarajevo, Football in Bosnia and Herzegovina, 1921 establishments in Europe, 20th century establishments in Bosnia and Herzegovina
Fábio Alves Félix	1980 births, Living people, Brazilian footballers
Patrick Zwaanswijk	1975 births, Living people, Dutch footballers, People from Haarlem, Sportspeople from North Holland
Gilberto Ribeiro Gonçalves	1980 births, Living people, Brazilian footballers
FK Sarajevo	Football clubs, Sarajevo, 1946 establishments in Europe, 1940s establishments in Bosnia and Herzegovina
FC Admira Wacker Mödling	Football clubs of Lower Austria
Red Bull Racing	Formula One constructors, Formula One current
Mihailo Petrović	1957 births, Living people, Serbian footballers, Serbian football managers
Yohei Suzuki	1983 births, Living people, Footballers from Shizuoka Prefecture, Japanese association football goalkeepers
Teófilo Cubillas	1949 births, Living people, 1970 FIFA World Cup players, 1978 FIFA World Cup players, 1982 FIFA World Cup players, People from Lima, Peruvian footballers
Dwarfism	Genetic disorders, Growth disorders
Play (album)	1992 albums
Kitchen Debate	1959 in the Soviet Union, 1950s in the United States, International relations, 20th century in Moscow
Poanes zabulon	Hesperiidae
Elmer Keiser Bolton	1886 births, 1968 deaths, American chemists, Scientists from Pennsylvania
Queen Mab	Characters in Shakespeare's plays
Moby-Dick	1850s books, American novels, 1851
Heroes of Newerth	2009 video games, Windows games, Real-time strategy video games
Étienne Geoffroy Saint-Hilaire	1772 births, 1844 deaths, French biologists, French deists, Evolutionary biologists, Naturalists
Gateway Arch	St. Louis, Missouri, Buildings and structures in Missouri
Morgue	Medicine, Death
Marty Robbins	American singer-songwriters, American movie actors, Country musicians, NASCAR drivers, American racecar drivers, Grammy Award winners, Actors from Arizona, Singers from Arizona, Sportspeople from Arizona, 1925 births, 1982 deaths, People from Glendale, Arizona
Literacy test	Discrimination, Tests
Williamstown, Victoria	Melbourne
Cowboy Jimmy Moore	1910 births, 1999 deaths, People from New Mexico
1933 Atlantic hurricane season	Atlantic hurricane seasons, 1933
Tore Pedersen	1969 births, Living people, Norwegian footballers
Sidney Govou	1980 births, Living people, French footballers
Tabla	Drums, Indian culture, Pakistani culture
Tony Rice	American country guitarists, Grammy Award winners, Singers from Virginia, Musicians from Virginia, Singers from Los Angeles, California, Musicians from Los Angeles, California, American bluegrass musicians, American folk musicians, 1951 births, 2020 deaths
Right-hand rule	Mathematics
Gunsmoke	American drama television series, Western television series, CBS network shows, 1950s television series, English-language television programs
Stan Kenton	1911 births, 1979 deaths, American jazz musicians, American pianists, Bandleaders, Musicians from Wichita, Kansas
Haneda Airport Station	Railway stations in Tokyo
Permeability (electromagnetism)	Electromagnetism
Hurricane Agnes	1972 Atlantic hurricane season, Hurricanes in Mexico, Hurricanes in the United States, 1972 in the United States, 1970s in Mexico, 1970s in Cuba, 1970s in Florida, 20th century in Georgia (U.S. state), 20th century in North Carolina, 1970s in Virginia, 20th century in Maryland, 20th century in Pennsylvania, 1970s in New York (state)
Simo Häyhä	1905 births, 2002 deaths, Finnish military people
Hurricane Martha (1969)	1969 Atlantic hurricane season, 20th century in Costa Rica, 20th century in Panama, 1969 in North America
Berlin Sportpalast	Buildings and structures in Berlin
Steam devil	Weather, Winds
Swiss Minaret controversy	2000s in Switzerland, 2009 in Europe, 21st century in Turkey
Barrie Colts	Canadian Hockey League teams, Ice hockey teams in Ontario, Ontario Hockey League
Loganiaceae	Gentianales
School shooting	Educational institutions, Types of crime, School shootings
Halls (cough drop)	Drugs
Paulo Wanchope	1976 births, Living people, Costa Rican footballers
Claudio Reyna	1973 births, Living people, American footballers, Sportspeople from New Jersey
Ippei Watanabe	1969 births, Living people, Footballers from Aichi Prefecture
Andrade Antunes Anderson	1981 births, Living people, Brazilian footballers
Sonny Anderson	1970 births, Living people, Brazilian footballers
Jared Borgetti	1973 births, Living people, Mexican footballers, People from Sinaloa
Hakoah Vienna	Jewish history, Judaism in Austria, Austrian football clubs, Football clubs of Vienna
Joshua Kennedy	1982 births, Living people, Australian footballers, Sportspeople from Victoria (Australia)
Ko Ishikawa	1970 births, Living people, Bolivian footballers, Japanese footballers
Sotaro Yasunaga	1976 births, Living people, Footballers from Yamaguchi Prefecture
Tomáš Galásek	1973 births, Living people, Czech footballers
Satoshi Nakayama	1981 births, Living people, Footballers from Miyazaki Prefecture
Nikolai Khabibulin	American Hockey League players, Chicago Blackhawks players, Edmonton Oilers players, Living people, Phoenix Coyotes players, Stanley Cup champions, Tampa Bay Lightning players, Winnipeg Jets (1979–96) players, 1973 births, International Hockey League (1945–2001) players, Russian ice hockey goaltenders
Sérgio Luís Donizetti	1964 births, Living people, Brazilian footballers
Kim Dae-Eui	1974 births, Living people, South Korean footballers
Arnold Scholten	1962 births, Living people, Dutch footballers, People from 's-Hertogenbosch, Sportspeople from North Brabant
A-side and B-side	Music industry
The Blue Room (EP)	Coldplay, 1999 albums
Brothers & Sisters (song)	1999 songs, Coldplay songs
Groove (music)	Musical forms
Paul Delarue	1889 births, 1956 deaths, French people
Constitution of Romania	20th century in Romania, Constitutions, 1991 in Europe
Parliament of Romania	Government of Romania, National legislatures
Sergej Barbarez	1971 births, Living people, Bosnia and Herzegovina footballers
Xavier Margairaz	1984 births, Living people, Swiss footballers
Satoshi Kajino	1965 births, Living people, Footballers from Aichi Prefecture
Kunio Nagayama	1970 births, Living people, Footballers from Kanagawa Prefecture
Satoshi Okura	1969 births, Living people, Footballers from Kanagawa Prefecture
Philipp Degen	1983 births, Living people, Swiss footballers
Hiroki Mihara	1978 births, Living people, Footballers from Saga Prefecture
David Degen	1983 births, Living people, Swiss footballers
Oceanside, California	Cities in California, Settlements in San Diego County, California
Salt Lake Tabernacle	Mormonism, Churches in the United States, Buildings and structures in Utah, Salt Lake City, 1867 establishments in the United States, 19th-century establishments in Utah
John Prescott	1938 births, Living people, British politicians, Former Labour MPs (UK), Former members of the British House of Commons for English constituencies, People from Cheshire, Politicians from Yorkshire, United Kingdom Life Peers, Deputy Prime Ministers of the United Kingdom
Yamanote Line	Japanese railways, 1909 establishments in Asia, 1900s establishments in Japan, Tokyo
Engelhard, North Carolina	Settlements in North Carolina, Villages in the United States
Luna Park, Melbourne	Buildings and structures in Melbourne, 1912 establishments, 1910s establishments in Australia
Miragoâne	Cities in Haiti
Your Body Is a Wonderland	2001 songs, Pop songs
Brooke Hogan	1988 births, Living people, Actors from Tampa, Florida, Models from Florida, American movie actors, Singers from Tampa, Florida
Kim Do-Kyun	1977 births, Living people, South Korean footballers, 2000 Summer Olympics
Rodrigo Mendes	1975 births, Living people, Brazilian footballers
Rodrigo Tabata	1980 births, Living people, Brazilian footballers
Karim Haggui	1984 births, Living people, Tunisian footballers, People from Tunis
Dong Fangzhuo	1985 births, Living people, Chinese footballers
André the Giant	1946 births, 1993 deaths, Deaths from heart failure, Former WWE wrestlers, French actors, Sportspeople from Auvergne-Rhône-Alpes, People from Grenoble, WWE Hall of Fame
Gura Humorului	Towns in Suceava County
HaNoar HaOved VeHaLomed	Nationalist organizations, Youth organizations, Socialism, Israeli culture, 1924 establishments, 1920s establishments in Israel
Sex chromosome	Biological reproduction, Chromosomes
Cytogenetics	Classical genetics, Cell biology
Somatic cell	Cell biology
Genetic screening	Genetics, Medicine
Haploid	Chromosomes
Malt shop	Shops
Atong language (Sino-Tibetan)	Languages of Bangladesh
Jaywalking	Traffic, Types of crime
Do Ab	Settlements in Afghanistan
Do Ab (Iran)	Geography of Iran
Euptoieta hegesia	Nymphalidae
Kingsway tramway subway	Transport architecture in London, Trams in London, London Borough of Camden, Subterranean London, Grade II listed buildings in London, 1952 disestablishments, 1950s disestablishments in the United Kingdom, 20th century disestablishments in England
University of Heidelberg	1385 establishments, Colleges and universities in Germany, Heidelberg
Eastbourne College	Eastbourne, Schools in England
University of Bonn	1818 establishments, Bonn, Colleges and universities in Germany, Education in North Rhine-Westphalia, 1810s establishments in Germany
University of Würzburg	Colleges and universities in Germany, Würzburg
Carles Rexach	1947 births, Living people, Spanish footballers, Spanish football managers
Frank Lobos	1976 births, Living people, Chilean footballers, People from Santiago
Andriy Rusol	1983 births, Living people, Ukrainian footballers
Ari (footballer, born 1980)	1980 births, Living people, Brazilian footballers, Bahia
MacBook Air	Apple hardware, Laptops
Darijo Srna	1982 births, Living people, Croatian footballers
Donbass Arena	Football stadiums in Europe, Buildings and structures in Ukraine
Mara Manzan	Brazilian actors, 1952 births, 2009 deaths
Madeline Kahn	1942 births, 1999 deaths, Actors from Boston, Massachusetts, Comedians from Massachusetts, American movie actors, American stage actors, American television actors, American voice actors, Deaths from ovarian cancer, Tony Award winning actors
Keihin-Tōhoku Line	Japanese railways
Shin-Yokohama Station	Railway stations in Kanagawa Prefecture
Hachiōji Station	Railway stations in Tokyo
Nuclear football	Nuclear weapons
Hizb-ul-Mujahideen	Kashmir
Kalat (Pakistan)	Former subdivisions of Pakistan, Pakistani princely states
Makran (princely state)	Former subdivisions of Pakistan, Pakistani princely states
Kharan (princely state)	Former subdivisions of Pakistan, Pakistani princely states
Amb (princely state)	Former subdivisions of Pakistan, Pakistani princely states
Phulra	Former subdivisions of Pakistan
Chitral (princely state)	Former subdivisions of Pakistan, Pakistani princely states
Dir (princely state)	Former subdivisions of Pakistan, Pakistani princely states
Hunza (princely state)	Former subdivisions of Pakistan, Pakistani princely states
Nagar (princely state)	Former subdivisions of Pakistan, Pakistani princely states
Polyurethane	Polymers
Violetta Villas	1938 births, 2011 deaths, European opera singers, People from Verviers, Polish actors, Polish singers, Pop musicians, Stage actors
Yutaka Fukufuji	1982 births, American Hockey League players, Japanese sportspeople, Living people, Los Angeles Kings players, People from Hokkaido, ECHL players, Ice hockey goaltenders
XFL	2001 establishments in the United States, 2001 disestablishments in the United States, American football, NBC network shows, UPN network shows, World Wrestling Entertainment television programs
Urban Meyer	1964 births, Living people, Sportspeople from Ohio, College football coaches
Rachael Yamagata	Singers from Virginia, People from Arlington, Virginia, Living people, 1977 births
NCIS (TV series)	American drama television series, CBS network shows, Television spin-offs, 2003 American television series debuts, English-language television programs
Cap-Haïtien	Cities in Haiti, 1670 establishments, Establishments in the French colonial empire
Torrie Wilson	American professional wrestlers, Sportspeople from Idaho, Former WWE wrestlers, 1975 births, Living people, People from Boise, Idaho
Mark Driscoll	1970 births, Living people, American Christians, People from Grand Forks, North Dakota, Writers from North Dakota, Writers from Seattle, Washington
Alun Michael	Welsh politicians, 1943 births, Living people
Vatra Dornei	Municipalities of Romania, Cities in Romania, Spa towns
Long-nosed bandicoot	Marsupials of Australia
Euroa, Victoria	Ned Kelly
Ralph Almas	1924 births, 2001 deaths, American Hockey League players, Canadian ice hockey goaltenders, Chicago Blackhawks players, Detroit Red Wings players, Ice hockey people from Saskatchewan, People from Saskatoon
Craig Anderson (ice hockey)	1981 births, American Hockey League players, Bill Masterton Memorial Trophy winners, Chicago Blackhawks players, Colorado Avalanche players, Florida Panthers players, American ice hockey goaltenders, Living people, Ontario Hockey League players, Ottawa Senators players, People from Park Ridge, Illinois, Sportspeople from Illinois
Dušan Petković	1974 births, Living people, Serbian footballers, People from Belgrade
Paulinho McLaren	1963 births, Living people, Brazilian footballers
Diego Lugano	1980 births, Living people, Uruguayan footballers
KFC Uerdingen 05	German football clubs, Sport in North Rhine-Westphalia
FC St. Pauli	German football clubs, Sport in Hamburg, 1910 establishments in Europe, 1910s establishments in Germany
Arminia Bielefeld	German football clubs, Sport in North Rhine-Westphalia, Bielefeld
Alemannia Aachen	Aachen, German football clubs, Sport in North Rhine-Westphalia, 1900 establishments in Germany
1. FC Saarbrücken	German football clubs, Sport in Saarland
Ataliba	1979 births, Living people, Brazilian footballers
Hiroyuki Ishida	1979 births, Living people, Footballers from Kanagawa Prefecture
Eijun Kiyokumo	1950 births, Living people, Footballers from Yamanashi Prefecture, Japan international footballers, Japanese football managers, Japan Soccer League players, JEF United Chiba players
Tennis Borussia Berlin	1902 establishments in Europe, 1900s establishments in Germany, German football clubs, Sport in Berlin
Bayer 04 Leverkusen	German football clubs, Sport in North Rhine-Westphalia, Leverkusen, 1904 establishments in Europe, 1900s establishments in Germany
FC 08 Homburg	German football clubs, Sport in Saarland
SV Darmstadt 98	Darmstadt, German football clubs, Sport in Hesse, 1898 establishments in Europe, 1890s establishments in Germany
Stuttgarter Kickers	German football clubs, Sport in Baden-Württemberg, Stuttgart
Svealand	Geography of Sweden
Mo Lewis	American football linebackers, New York Jets players, Sportspeople from Atlanta, Georgia, 1969 births, Living people
Goro (Mortal Kombat)	Fictional characters introduced in 1992, Mortal Kombat characters, Video game characters in movies, Video game bosses
Pavle, Serbian Patriarch	1914 births, 2009 deaths, Deaths from cardiac arrest, Patriarchs of the Serbian Orthodox Church
Eurytides	Eurytides
Tōkaidō Shinkansen	Tōkaidō Shinkansen, Shinkansen, 1972 establishments in Asia, 1970s establishments in Japan
Manuel Neuer	1986 births, Living people, 2010 FIFA World Cup players, 2014 FIFA World Cup players, German association football goalkeepers, People from Gelsenkirchen, Sportspeople from North Rhine-Westphalia
Tim Wiese	1981 births, Living people, German association football goalkeepers, People from Bergisch Gladbach, Sportspeople from North Rhine-Westphalia
Andreas Beck	1987 births, Living people, German footballers, Soviet people
King's Men (playing company)	Stage actors, William Shakespeare
Jérôme Boateng	1988 births, Living people, German footballers, Sportspeople from Berlin
Hertha BSC	German football clubs, German Bundesliga, Sport in Berlin, 1892 establishments in Europe, 1890s establishments in Germany
Russell Peters	1970 births, Canadian comedians, Canadian movie actors, Living people, People from Toronto
Miguel Magno	1951 births, 2009 deaths, Brazilian actors
Eddie Hazel	1950 births, 1992 deaths, American guitarists, Musicians from New York City, American funk musicians, American rock musicians
Parliament (band)	soul bands, Funk bands, Musical groups from Detroit, Michigan
Booker T (wrestler)	1965 births, American professional wrestlers, Living people, Sportspeople from Houston, Texas, Total Nonstop Action Wrestling alumni, WWE Hall of Fame, WWE wrestlers
Mandelbrot set	Fractals
Gilbert Arenas	1982 births, Living people, African-American basketball players, Golden State Warriors players, Orlando Magic players, Washington Wizards players, Sportspeople from Los Angeles, California, Sportspeople from Tampa, Florida, American bloggers, American basketball players
Liteni	Towns in Suceava County
Taijutsu	Martial arts, Japanese culture
Wilf Cude	1910 births, 1968 deaths, Boston Bruins players, Chicago Blackhawks players, Detroit Red Wings players, Montreal Canadiens players, Philadelphia Quakers (NHL) players, Sportspeople from Glamorgan, Welsh ice hockey players, Ice hockey goaltenders
Paul Goodman	1909 births, 1959 deaths, Canadian ice hockey goaltenders, Chicago Blackhawks players, Stanley Cup champions, Ice hockey people from Manitoba
United Center	Sports buildings in Chicago, Illinois, 1994 establishments in Illinois
Baqubah, Iraq	Iraq
Four Horsemen (professional wrestling)	WWE people, WWE Hall of Fame
NHL 10	2009 video games, Electronic Arts video games, PlayStation 3 games, Xbox 360 games, Sports video games
I Love Lucy	1950s American television series, 1957 disestablishments, American sitcoms, Black and white television series, Television series set in Connecticut, Television series set in New York City, 1951 establishments in the United States, 1950s disestablishments in the United States, Emmy Award winning programs, CBS network shows, English-language television programs
Kingstown	National capitals in North America, Saint Vincent and the Grenadines
Euphoria	Emotions
Shanxi	Provinces of China
Mi Fei	Chinese poets, Chinese painters, 1051 births, 1107 deaths
Heredity	Classical genetics
Variation	Evolutionary biology, Classical genetics, Ecology
Taiyuan	Cities in China
Danielle Souza	1981 births, Living people, Santa Catarina
Gugu Liberato	1959 births, 2019 deaths, People from São Paulo, Brazilian television presenters, Roman Catholics, Brazilian businesspeople, Accidental deaths from falls in the United States
Clog dance	Dance types
Baba Yaga	Folklore
Red Buttons	1919 births, 2012 deaths, Deaths from hypertension, Cardiovascular disease deaths in Los Angeles, Comedians from New York City, American movie actors, American television actors, Actors from New York City, Academy Award winning actors
Karl Wilhelm von Nägeli	Botanists, Swiss biologists, Cell biology, 1817 births, 1891 deaths
Rudolf Virchow	1821 births, 1902 deaths, German doctors, German biologists
Robert Remak	1815 births, 1865 deaths, Cell biology, Developmental biologists, German biologists, German doctors, Jewish German scientists, Neurologists, People from former German territories, People from Poznań, Physiologists
Oscar Hertwig	1849 births, 1922 deaths, Anatomists, Cell biology, Developmental biologists, German academics, German zoologists, People from Hesse
Igersheim	Cities in Baden-Württemberg
Bihari languages	Indo-Aryan languages, Languages of Bangladesh, Languages of India
Walther Flemming	1843 births, 1905 deaths, Cell biology, Geneticists, German biologists
Eduard Strasburger	1844 births, 1912 deaths, Cell biology, Developmental biologists, German academics, German botanists, People from Warsaw
Edouard van Beneden	1846 births, 1910 deaths, Belgian academics, Belgian biologists, Cell biology, People from Flemish Brabant
Ascaris	Nematodes, Parasites
Free (band)	English rock bands, English hard rock bands
Bacardi	Alcoholic spirits
Mick Jagger	1943 births, Living people, Actors from Kent, English movie actors, English rock singers, English singer-songwriters, Golden Globe Award winning composers, Musicians from Kent, People from Dartford, The Rolling Stones members
Burn It to the Ground	2009 songs
Rădăuţi	Municipalities of Romania, Cities in Romania, Towns in Suceava County
Maria Kanellis	1982 births, Living people, Female professional wrestlers, American professional wrestlers, Sportspeople from Illinois, Former WWE wrestlers
Jillian Hall	1980 births, American professional wrestlers, Female professional wrestlers, Former WWE wrestlers, Living people, Sportspeople from Kentucky
Khufu	Pharaohs
Ajana, Western Australia	Towns in Western Australia
Victor Posa	1966 births, Chicago Blackhawks players, Italian sportspeople, Living people, Ontario Hockey League players, People from Bari, ECHL players, Colonial Hockey League players, Ice hockey defencemen
Genetic linkage	Classical genetics
Barthélemy Dumortier	1797 births, 1878 deaths, Belgian biologists, Belgian Christian democrats, Belgian nobility, Botanists, Cell biology, People from Hainaut (province)
Eddie Van Halen	1955 births, 2020 deaths, American guitarists, American record producers, American songwriters, Cancer deaths in the United States, Deaths from throat cancer, Dutch musicians, Keyboardists, Naturalized citizens of the United States, People from Amsterdam
Eddie Cheever	1958 births, Living people, American racecar drivers, Formula One drivers, Sportspeople from Phoenix, Arizona, IndyCar Series drivers
Eddie Irvine	1965 births, Living people, Formula One drivers
