West Division (NHL)	National Hockey League divisions
Ljungskile SK	1926 establishments in Sweden, Swedish football clubs
Enköpings SK	1914 establishments in Sweden, Swedish football clubs
Assyriska Föreningen	Swedish football clubs, 1974 establishments in Sweden
Santiago Denia Sánchez	1974 births, Living people, Spanish footballers
Seydou Doumbia	1987 births, Living people, Ivorian footballers
Pedro II of Brazil	Brazilian people, Emperors and empresses, 1825 births, 1891 deaths, People from Rio de Janeiro, House of Braganza
President of Brazil	Presidents of Brazil
Barry Manilow	1943 births, Living people, American pop singers, Gay men, LGBT musicians, LGBT people from New York City, LGBT singers, Musicians from Brooklyn, Singer-songwriters from New York City, Emmy Award winners, Grammy Award winners, Clio Award winners, American Music Awards
Bobby Abreu	Living people, 1974 births, Houston Astros players, Philadelphia Phillies players, New York Yankees players, Los Angeles Dodgers players, National League All-Stars, Venezuelan baseball players, Los Angeles Angels of Anaheim players
Gabriel Zakuani	1986 births, Living people, African footballers, People from Kinshasa
Dubstep	Electronic dance music
Washington Capitols	1946 establishments in the United States, 1950s disestablishments in the United States, 1951 disestablishments, 20th-century establishments in Washington, D.C., Basketball teams
George Ouzounian	1978 births, Living people, American writers, Bloggers, American Internet celebrities
LinuxLive USB Creator	Free software, Microsoft Windows software
Simple machine	Tools, Machines, Physics
List of numbered state highways in New York	Roads in New York, Lists of roads
Sydney, Nova Scotia	Former cities in Canada
Baron Davis	1979 births, Living people, Cleveland Cavaliers players, Golden State Warriors players, Los Angeles Clippers players, New Orleans Hornets players, New York Knicks players, Sportspeople from Los Angeles, California
Song of the South	1946 movies, Movies based on books, Animated movies, Disney movies, Movies that won the Best Original Song Academy Award
Sony Music Entertainment	American record labels, Companies based in New York City, Sony, Columbia Broadcasting System
1970 Bhola cyclone	1970, 1970s in India, Cyclonic storms, North Indian Ocean cyclones, 1970s in Bangladesh
Snake River Plain	Geography of Idaho, Landforms of the United States
North American plate	Tectonic plates, North America
Xinhua News Agency	People's Republic of China, Media in Asia
Wijerd Jelckama	1490 births, 1523 deaths, Dutch military people, People executed by decapitation, People from Friesland, Pirates
The Happiest Millionaire	1967 movies, Disney movies, 1960s musical movies, Movies based on books, English-language movies
Shinji Tanaka	1960 births, Living people, Footballers from Saitama Prefecture, Japan international footballers, Japanese football managers, J1 League players, Japan Soccer League players, Yokohama F. Marinos players, Urawa Red Diamonds players, Kyoto Sanga FC players
Jean-Marie Pfaff	1953 births, Living people, Belgian footballers, Association football goalkeepers, People from East Flanders
IF Sylvia	1922 establishments in Sweden, Swedish football clubs, Norrköping
Qviding FIF	Swedish football clubs, 1987 establishments in Sweden, Sport in Gothenburg
Syrianska FC	Swedish football clubs, 1977 establishments in Sweden
FC Trollhättan	Swedish football clubs, 2001 establishments in Sweden
Edu Marangon	1963 births, Living people, Brazilian footballers, Brazilian football managers
Michael Obiku	1968 births, Living people, Nigerian footballers
Marcelo Silva Ramos	1973 births, Living people, Brazilian footballers, People from Salvador, Bahia
FC Energie Cottbus	1960s establishments in Germany, 1966 establishments in Europe, German football clubs
Battle of Curupaity	Battles, Paraguay, 1866, 19th century in South America, September events
Chronic stress	Mental illnesses
Eustress	Health
Conservative Party (Empire of Brazil)	History of Brazil, Conservative parties, 1836 establishments, 19th-century establishments in Brazil, 1889 disestablishments, Disestablishments in Brazil, 1830s establishments in South America
UK Singles Chart	Record charts, British music
Rotation (music)	Music industry
Rockfield Studios	Monmouthshire, Music industry, Companies of the United Kingdom
Impersonator	Deception, Types of crime
Sergio Rodríguez García	1984 births, Living people, Spanish footballers
Steven Tweed	1972 births, Living people, Scottish footballers, Scottish football managers, Sportspeople from Edinburgh
Dennis Lawrence	1974 births, Living people, Trinidad and Tobago footballers
Igor Akinfeev	1986 births, Living people, Russian footballers, 2014 FIFA World Cup players, 2018 FIFA World Cup players, UEFA Euro 2004 players, UEFA Euro 2008 players, UEFA Euro 2012 players, UEFA Euro 2016 players
Jérémy Menez	1987 births, Living people, French footballers
Andreas Görlitz	1982 births, Living people, German footballers, Sportspeople from Bavaria
Ramón Medina Bello	1966 births, Living people, Argentine footballers
Aurelio Vidmar	1967 births, Living people, Australian footballers, Australian football managers, People from Adelaide, Sportspeople from South Australia
Yellow Pages	Telephone numbers
Luka Modrić	1985 births, Living people, Croatian footballers
Irish Singles Chart	Record charts
Syndicat National de l'Édition Phonographique	Music industry, Copyright
Recorded Music NZ	Music industry, Non-profit organizations, New Zealand
Grammy Award for Best Rock Performance by a Duo or Group with Vocal	Grammy Awards
Grammy Award for Best Rock Song	Grammy Awards, Rock songs
The Cancer Council Australia	Organisations based in Australia, Cancer, Charities
Safety (EP)	Coldplay, 1998 albums
Edisto Beach, South Carolina	Cities in South Carolina, 1500s establishments in North America
Oregon Inlet	Geography of North Carolina, Bodies of water of the United States
Hi-hat	Percussion instruments
Overdubbing	Music technology
Fort Ticonderoga	Buildings and structures in New York, National Register of Historic Places, Forts in the United States, 1750s establishments in the Thirteen Colonies, 18th-century establishments in New York (state)
Chesapeake Bay	Bays of the United States
Surf City, North Carolina	Towns in North Carolina
Wallace and Gromit	Clay animation movies, Animated characters, Movie characters
Marty Wright	1964 births, American professional wrestlers, Former WWE wrestlers, Living people, Sportspeople from Arizona
Baker's dozen	Numbers
Pro Tools	Music technology, Music software
Campus radio	Radio
Loverboy	1970s music groups, 1980s Canadian music groups, 1990s Canadian music groups, 2000s Canadian music groups, 2010s Canadian music groups, Canadian hard rock bands, Musical groups established in 1979, 1979 establishments in Canada, Musical groups disestablished in 1988, 20th century disestablishments in Canada, Musical groups established in 1989, 1989 establishments in North America, 1980s establishments in Canada, Musical groups disestablished in 1989, Musical groups established in 1991, 1991 establishments in Canada, 1980s disestablishments in North America
Beaufort, North Carolina	Towns in North Carolina, County seats in North Carolina, Carteret County, North Carolina, 1722 establishments
North Carolina Highway 12	Roads in the United States, North Carolina
The Independent	1986 establishments in the United Kingdom, Newspapers published in the United Kingdom
Take on Me	1984 songs, Pop songs, Synth-pop
Mockingbird	Passeriformes
Smallville	2001 American television series debuts, 2011 American television series endings, 2000s American television series, 2010s American television series, American teen drama television series, Superman, WB network shows, English-language television programs, The WB original programming
Pieridae	Pieridae
1903 in baseball	History of baseball
Pamela Weston	1921 births, 2009 deaths, British teachers, Clarinetists, Deaths by euthanasia, Drug-related suicides, Musicians from London, Musicians who committed suicide
