Hendrik Verwoerd	1901 births, 1966 deaths, Afrikaner people, People associated with Apartheid, Murders by blade weapons, Politicians from Amsterdam, Prime Ministers of South Africa
Dick Van Dyke	1925 births, Living people, Actors from Missouri, Actors from Illinois, American movie actors, American movie producers, American musical theatre actors, American radio actors, American radio personalities, American stage actors, American television actors, American television producers, American voice actors, Comedians from Illinois, Emmy Award winning actors, Grammy Award winners, Kennedy Center honorees, Movie producers from Illinois, People from Danville, Illinois, People from Malibu, California, Screen Actors Guild Award winners, Singers from Illinois, Singers from Missouri, Television personalities from Illinois, Tony Award winning actors, Writers from Illinois, Writers from Missouri
Eli Wallach	Actors from New York City, American movie actors, American stage actors, American television actors, American voice actors, American radio actors, Academy Award winning actors, Tony Award winning actors, Emmy Award winning actors, BAFTA Award winners, Deaths from natural causes, 1915 births, 2014 deaths
Outstation movement	Indigenous Australian politics, Indigenous Australian history, Indigenous land rights
Santa Catalina rattlesnake	Vipers
Claire McCaskill	US Democratic Party politicians, United States senators from Missouri, 1953 births, Living people, State legislators of the United States
Arlene Dahl	Actors from Minneapolis, Minnesota, American television actors, American stage actors, American movie actors, 1925 births, Living people
Didache	Christian texts, Ancient Christianity
Youth Riding a Rooster (Epiktetos)	Ancient Greek paintings, Ancient Greek pottery, Paintings and pottery by Epiktetos
Footrace on a Panathenaic Amphora	Ancient Greek paintings, Ancient Greek pottery
Greg Louganis	American adoptees, American autobiographers, LGBT people from California, American Olympic gold medalists, American Olympic silver medalists, Divers, Gay men, LGBT Olympians, Medalists at the 1976 Summer Olympics, Medalists at the 1984 Summer Olympics, Medalists at the 1988 Summer Olympics, People with HIV/AIDS, Sportspeople from California, Writers from California, 1960 births, Living people
Vicki Lawrence	American television actors, Actors from Inglewood, California, Singers from Los Angeles County, California, 1949 births, Living people
Georges Pompidou	Cancer deaths in France, Deaths from lymphoma, French military people, French people of World War II, Prime Ministers of France, Presidents of France, 1911 births, 1974 deaths
John Ratzenberger	1947 births, American television actors, American movie actors, Republicans (United States), Actors from Bridgeport, Connecticut, Pixar, Living people, American voice actors
Shaivism	Hinduism
Christopher Plummer	1929 births, 2021 deaths, Academy Award winning actors, Satellite Award winners, Actors from Toronto, BAFTA Award winning actors, Canadian movie actors, Canadian stage actors, Canadian radio actors, Canadian television actors, Canadian voice actors, Drama Desk Award winners, Emmy Award winning actors, Golden Globe Award winning actors, Screen Actors Guild Award winners, Tony Award winning actors, Accidental deaths from falls in the United States
Jeffrey Tambor	Golden Globe Award winning actors, Emmy Award winning actors, 1944 births, Living people, American movie actors, American television actors, American voice actors, Actors from San Francisco
Bill Cobbs	1934 births, American movie actors, American stage actors, American voice actors, Living people, Actors from Cleveland, Ohio, African American actors, American television actors
World line	Physics
Vase in the Form of a Phallus	Ancient Greek paintings, Ancient Greek pottery
Noureddine Morceli	1970 births, Living people, 1992 Summer Olympics, 1996 Summer Olympics, 2000 Summer Olympics, Algerian Olympic gold medalists, Male athletes
Mohamed Bahari	1976 births, Living people, Algerian boxers, Algerian Olympic bronze medalists
