Recycling symbol	Recycling, Symbols, Waste
United States Senate Committee on Health, Education, Labor and Pensions	Committees of the United States Senate
United States Senate Committee on Environment and Public Works	Committees of the United States Senate
United States Senate Committee on Energy and Natural Resources	Committees of the United States Senate
United States Senate Environment and Public Works Subcommittee on Clean Air and Nuclear Safety	Subcommittees of the United States Senate
United States Senate Environment and Public Works Subcommittee on Green Jobs and the New Economy	Subcommittees of the United States Senate
United States Senate Environment Subcommittee on Transportation and Infrastructure	Subcommittees of the United States Senate
United States Senate Energy Subcommittee on Energy	Subcommittees of the United States Senate
United States Senate Energy Subcommittee on National Parks	Subcommittees of the United States Senate
United States Senate Energy Subcommittee on Water and Power	Subcommittees of the United States Senate
United States Senate Health Subcommittee on Children and Families	Subcommittees of the United States Senate
United States Senate Health Subcommittee on Primary Health and Retirement Security	Subcommittees of the United States Senate
Esha Deol	1981 births, Living people, Indian movie actors, Indian television actors, Indian writers, People from Mumbai
Hema Malini	1948 births, Living people, Indian movie directors, Indian movie actors, Indian television actors, Indian writers, Indian politicians, Indian dancers, Indian movie producers, Indian philanthropists, Indian screenwriters
Meena Kumari	1933 births, 1972 deaths, Deaths from cirrhosis, Indian movie actors, Indian television actors, Indian poets, Indian singers, People from Bombay
Palencia	Capital cities in Spain, Cities in Castile and León, Municipalities in Castile and León
Province of Palencia	Provinces of Spain, Castile and León
Province of Burgos	Provinces of Spain, Castile and León
Province of Valladolid	Provinces of Spain, Castile and León
Province of Salamanca	Provinces of Spain, Castile and León
Province of Badajoz	Provinces of Spain, Extremadura
Biscay	Provinces of Spain, Basque Country
Province of Ciudad Real	Ciudad Real Province
Province of Cáceres	Provinces of Spain, Extremadura
Province of Cádiz	Provinces of Spain, Andalusia
Province of Cuenca	Provinces of Castile-La Mancha
Gipuzkoa	Provinces of Spain, Basque Country
Province of Girona	Provinces of Spain, Catalonia
Province of Guadalajara	Provinces of Castile-La Mancha
Province of Huelva	Provinces of Spain, Andalusia
A Hatful of Rain	1957 drama movies, American drama movies, Movies based on plays, 20th Century Fox movies, Movies directed by Fred Zinnemann
Province of Huesca	Provinces of Spain, Aragon
Province of Jaén (Spain)	Provinces of Spain, Andalusia
Province of Las Palmas	Provinces of Spain, Canary Islands
Province of Santa Cruz de Tenerife	Provinces of Spain, Canary Islands
Province of Lleida	Provinces of Spain, Catalonia
Province of Málaga	Provinces of Spain, Andalusia
Province of Ourense	Provinces of Spain, Galicia
Province of Pontevedra	Provinces of Spain, Galicia
Province of Segovia	Provinces of Spain, Castile and León
Province of Soria	Provinces of Spain, Castile and León
Province of Zaragoza	Provinces of Spain, Aragon
Province of Tarragona	Provinces of Spain, Catalonia
Province of Teruel	Provinces of Spain, Aragon
Province of Valencia	Provinces of Spain, Valencia (autonomous community)
Province of Zamora	Provinces of Spain, Castile and León
Albacete	Capital cities in Spain, Cities in Castile-La Mancha, Municipalities in Castile-La Mancha
Almería	Cities in Andalusia, Capital cities in Spain, Municipalities in Andalusia
Cáceres, Spain	Capital cities in Spain, Cities in Extremadura, Municipalities in Extremadura
Castellón de la Plana	Cities in Valencia (autonomous community), Municipalities in Valencia (autonomous community), Capital cities in Spain
Guadalajara, Spain	Cities in Castile-La Mancha, Capital cities in Spain, Municipalities in Castile-La Mancha
Huesca	Capital cities in Spain, Settlements in Huesca
Jaén, Spain	Capital cities in Spain, Cities in Andalusia, Municipalities in Andalusia
Ourense	Capital cities in Spain, Cities in Galicia, Municipalities in Galicia
Segovia	Capital cities in Spain, Cities in Castile and León, Municipalities in Castile and León
Soria	Capital cities in Spain, Cities in Castile and León, Municipalities in Castile and León, Settlements in Soria
