Silhouette	Art
College of Physicians and Surgeons Pakistan	Medical education, Colleges and universities in Pakistan, Lahore
Dinu C. Giurescu	1927 births, 2018 deaths, Deaths from myocardial infarction, Romanian politicians, Romanian historians
Paul Gray (songwriter)	1963 births, 2018 deaths, Deaths from multiple myeloma, Cancer deaths in Australia, Australian singer-songwriters, Australian pianists, Record producers
Hariton Pushwagner	1940 births, 2018 deaths, Deaths from lung cancer, Artists, People from Oslo
Victor J. Kemper	Emmy Award winners, 1927 births, Living people, American cinematographers, People from Newark, New Jersey
Stan Dragoti	1932 births, 2018 deaths, Deaths from pneumonia, Disease-related deaths in Los Angeles, Movie directors from New York City
List of largest Hindu temples	Hindu temples
Libido	Psychology, Sexuality
Kumbakonam	Thanjavur District, Towns in India
Papanasam Taluk	Taluks of Thanjavur district
List of cities in Tamil Nadu by population	Tamil Nadu
Boston crab	Professional wrestling moves
Mamluk dynasty (Delhi)	Mamluk dynasty (Delhi)
Lee Sang-su	1990 births, Living people, South Korean table tennis players
Battle of Stoney Creek	1813, Battles involving the United Kingdom, Battles involving the United States, 19th century in Canada, June events
Leaf miner	Insects, Parasitism, Plant tissues
Gul Circle MRT station	Mass Rapid Transit (Singapore) stations
Iskandar Puteri	Cities in Malaysia
Producer gas	Fuel
Rajendra Prasad	Presidents of India, People from Bihar
List of presidents of India	Presidents of India, Lists of politicians, Lists of Indian people
Al-Nusra Front	Establishments in Syria, 2012 establishments in Asia
Rajapalaiyam	Virudhunagar District
Neyveli	Cuddalore district
South Canara District	Districts of Madras Presidency
Beary language	Languages of India
National Film Award for Best Feature Film in Tamil	Cinema of India
Joker (2016 movie)	Tamil-language movies
Dubreuillosaurus	Megalosauridae, Jurassic dinosaurs
Woh Apna Sa (TV series)	2017 Indian television series debuts, Hindi-language television series
Condorraptor	Megalosauridae, Jurassic dinosaurs
Marshosaurus	Theropods
Hans-Reinhard Koch	1929 births, 2018 deaths, Deaths from cerebral hemorrhage, Cardiovascular disease deaths in Germany, German Roman Catholics, Roman Catholic bishops, People from Thuringia
Piatnitzkysaurus	Jurassic dinosaurs
Shuhrat Abbosov	1931 births, 2018 deaths, Uzbekistani people, Screenwriters, Movie directors, Movie producers, Movie actors
Palaeoscincus	Ankylosauria
Philibert Randriambololona	1927 births, 2018 deaths, Malagasy people, Roman Catholic archbishops
Thespesius	Ornithopods
Niederschönenfeld	Donau-Ries
Bob Pickens	1943 births, 2018 deaths, Chicago Bears players, American Olympians, Sportspeople from Chicago
Huguette Tourangeau	1940 births, 2018 deaths, Canadian singers, Sopranos, People from Montreal
Leland B. Yeager	1924 births, 2018 deaths, American economists, American educators, Scientists from Illinois, Writers from Illinois, People from Oak Park, Illinois
Jerry Sandusky	1944 births, Living people, American autobiographers, American people convicted of assault, American philanthropists, American football coaches, American rapists, American sex offenders, Writers from Pennsylvania, Sportspeople from Pennsylvania, Criminals from Pennsylvania
Peter Madsen	Living people, 1971 births, Danish scientists, People convicted of manslaughter, People convicted of assault, Engineers, Danish businesspeople, People from Copenhagen
Abbas (photographer)	1944 births, 2018 deaths, Deaths from diabetes, Iranian people, Photojournalists
Adebayo Adedeji	1930 births, 2018 deaths, Nigerian politicians, Economists, Educators
Inuka	1990 births, 2018 deaths, Deaths by euthanasia, Individual animals, Singapore
Animal euthanasia	Euthanasia, Animals
Harry Kim (politician)	1939 births, Living people, American mayors, American military personnel of the Vietnam War, Independent politicians in the United States, Politicians from Hawaii
Tarcisio Bertone	1934 births, Living people, Cardinals of the Roman Catholic Church, Diplomats, Italian Roman Catholics, People from Turin
Shivakumara Swami	1907 births, 2019 deaths, Deaths from respiratory tract infection, Indian activists, Indian educators, Religious leaders, Indian philanthropists, Supercentenarians
Masazō Nonaka	1905 births, 2019 deaths, Japanese supercentenarians
Guru Somasundaram	Indian movie actors
Haikyu!!	Manga series
Perseids	Meteorites, Astronomical phenomena
Leonids	Astronomical phenomena
Dwayne Bravo	West Indies cricketers
Cleveland-Lloyd Dinosaur Quarry	Jurassic, Dinosaurs of North America, Geological formations
Anglo-Zanzibar War	Wars involving the United Kingdom
Guhyasamāja Tantra	Tibetan Buddhism
Music sequencer	Electronic musical instruments, Music software, Sound
Shearography	Materials science
Edith Wilmans	1882 births, Texas, American lawyers, 1966 deaths, Women lawyers
Urvashi Vaid	1958 births, Activists, Living people
Coherence (physics)	Optics, Electromagnetic radiation
Rosie Hackett	1883 births, Irish people, 1976 deaths
Indigenous peoples in Brazil	Brazil
Božidar Smiljanić	1936 births, 2018 deaths, Croatian actors, Movie actors, People from Zagreb
Jerrold Meinwald	1927 births, 2018 deaths, American chemists, Scientists from New York City, Writers from New York City
Lloyd John Ogilvie	1930 births, 2019 deaths, American Presbyterians, People from Kenosha, Wisconsin
Daniel Coughlin	1934 births, Living people, American Roman Catholics, People from Chicago
Shelburne, Vermont	Towns in Vermont
Cheltenham	Spa towns in the United Kingdom, Towns in Gloucestershire
Imperial Cricket Conference	1909 establishments, 1965 disestablishments
International Cricket Conference	1965 establishments, 1989 disestablishments
Battle of Fulford	Battles involving England, 1066 in England, Battles of the Middle Ages
Sayyid dynasty	Sayyid Dynasty
Yang Ha-eun	1994 births, Living people, South Korean table tennis players, People from Seoul
Muhammad Shah (Sayyid dynasty)	Sayyid Dynasty
Alam Shah	Sayyid Dynasty
Nasir-ud-Din Mahmud Shah Tughluq	Tughlaq dynasty
Lerwick	Port cities and towns of Scotland, County towns, Parishes, Shetland
Gianfranco Parolini	1925 births, 2018 deaths, Italian movie directors, People from Rome
Montfaucon-d'Argonne	Communes in Meuse
Saint-Bernard, Haut-Rhin	Communes in Haut-Rhin
Saint-Cosme	Communes in Haut-Rhin
Winkel, Haut-Rhin	Communes in Haut-Rhin
Sigolsheim	Former communes in Haut-Rhin, 2016 disestablishments in France
Something Just Like This	Coldplay songs, 2017 songs, Electronic music
Robert Wilkie	1962 births, Living people, American lawyers, United States Secretaries of Veterans Affairs, Politicians from North Carolina, People from Frankfurt, US Republican Party politicians
Frank Capra	Academy Award winning directors, Golden Globe Award winning directors, 1897 births, 1991 deaths, Deaths from heart failure, Cardiovascular disease deaths in California, Naturalized citizens of the United States, Anti-Communists, American engineers, American movie directors, American movie producers, American screenwriters, American military personnel of World War I, American military personnel of World War II, Italian movie directors, Italian movie producers, Italian screenwriters, People from Sicily
Titusville, Pennsylvania	Cities in Pennsylvania
University of Calcutta	Colleges and universities in India, 1857 establishments, 19th century establishments in India, 1850s establishments in Asia
Colin Miller	1964 births, Living people, Canadian footballers, Scottish footballers, Sportspeople from Vancouver
United Nations Economic Commission for Africa	1958 establishments, United Nations
Elvira Orphée	1922 births, 2018 deaths, Argentine writers
Roy Young (musician)	1937 births, 2018 deaths, English rock singers, English pianists, Singers from London, Musicians from London
James H. Cone	1936 births, 2018 deaths, American educators, American theologians, American Christians, Writers from Arkansas
Alfie Evans case	2016 births, 2018 deaths, Disease-related deaths in England, 2017 in the United Kingdom, People from Liverpool
Natasha Chandel	Canadian actors, Actors from Los Angeles, California, Year of birth missing (living people), Living people
James Hylton	1934 births, 2018 deaths, Road accident deaths in the United States, American racecar drivers, NASCAR drivers, Sportspeople from Virginia
Art Paul	1925 births, 2018 deaths, Deaths from pneumonia, Disease-related deaths in Chicago, Illinois, American military personnel of World War II, Artists from Chicago
Art Shay	1922 births, 2018 deaths, Deaths from heart failure, Cardiovascular disease deaths in Illinois, American military personnel of World War II, American autobiographers, American photographers, Writers from New York City, Writers from Chicago
Deerfield, Illinois	Villages in Illinois, Settlements in Cook County, Illinois, Suburbs of Chicago, Illinois
Karl Toft	1936 births, 2018 deaths, Deaths from lung cancer, Cancer deaths in Canada, People convicted of assault, Gay men, Canadian LGBT people, People from New Brunswick
Paul Junger Witt	Emmy Award winners, 1941 births, 2018 deaths, Deaths from lymphoma, Cancer deaths in Los Angeles, American television producers, Movie directors from New York City
2018 inter-Korean summit	2018 in Asia, 2010s in North Korea, 2010s in South Korea, April 2018 events, Kim Jong-un
Richard Belzer	1944 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Jewish American comedians, Jewish American actors, American television personalities, American radio personalities, American television presenters, American comedians, Democrats (United States), Actors from Bridgeport, Connecticut, Writers from Connecticut
John Ziegler Jr.	1934 births, 2018 deaths, People from Grosse Pointe, Michigan, Sportspeople from Michigan
Gil Stein (ice hockey)	1928 births, Living people, American lawyers, Sportspeople from Philadelphia, Pennsylvania, Writers from Philadelphia, Pennsylvania
Adam Silver	1962 births, Living people, Businesspeople from New York City, American lawyers, People from Rye, New York
David Stern	1942 births, 2020 deaths, Deaths from cerebral hemorrhage, Cardiovascular disease deaths in New York City, American lawyers, Businesspeople from New York City, Businesspeople from New Jersey, People from Teaneck, New Jersey
Rob Manfred	Living people, 1958 births, American Roman Catholics, American lawyers, Businesspeople from New York
Paul Tagliabue	1940 births, Living people, American lawyers, Businesspeople from New Jersey, Sportspeople from New Jersey, People from Jersey City, New Jersey
Fred Hoiberg	1972 births, Living people, Chicago Bulls players, Indiana Pacers players, Minnesota Timberwolves players, Chicago Bulls head coaches, Sportspeople from Nebraska, People from Lincoln, Nebraska
Rick Renteria	1961 births, Living people, Pittsburgh Pirates players, Seattle Mariners players, Florida Marlins players, Chicago Cubs managers, Sportspeople from California
Matt Nagy	1978 births, Living people, Philadelphia Eagles players, National Football League coaches, Sportspeople from New Jersey
Dave O'Neal	1937 births, 2021 deaths, Businesspeople from Illinois, Politicians from Illinois, Lieutenant Governors of Illinois, US Republican Party politicians, People from Belleville, Illinois
Kim Song-i	North Korea, Living people, 1994 births, Table tennis, Olympic bronze medalists
Tughlaqabad Fort	Tughlaq dynasty
Shihabuddin Omar	1310s births, 1310s deaths, Sultans, Khalji dynasty, Indian people
Pedestrian crossing	Roads, Street furniture
Myocyte	Muscle tissue, Cells
Sadegh Hedayat	1903 births, 1951 deaths, Iranian writers, Agnostics, Novelists, Short story writers, Translators, Burials at Père Lachaise Cemetery, People from Tehran
Harry Potter and the Deathly Hallows – Part 2	2011 movies, 2010s fantasy movies, Harry Potter movies, Movies based on books, Movies directed by David Yates, Warner Bros. movies, Movies about giants
Ri Myong-sun	People from Pyongyang, 1992 births, Sportswomen, Living people, Table tennis players, Olympians
Kings XI Punjab	Kings XI Punjab, 2008 establishments in India
Ilfis	Rivers of Switzerland, Canton of Bern
Miele	1899 establishments in Germany, Companies of Germany, North Rhine-Westphalia
Michael Martin, Baron Martin of Springburn	1945 births, 2018 deaths, Former Speakers of the House of Commons of the United Kingdom, People from Glasgow
Lester James Peries	1919 births, 2018 deaths, Screenwriters, Sri Lankan movie directors, Movie producers
Sumitra Peries	1934 births, Living people, Sri Lankan movie directors, Ambassadors to the United Nations, Ambassadors to France
Ri Sol-ju	1980s births, Living people, Singers, North Korean people, Kim Jong-un
Faure Gnassingbé	1966 births, Living people, Presidents of Togo, Current national leaders
Taro Kono	1963 births, Living people, Japanese politicians
Heiko Maas	1966 births, Living people, Politicians of the Social Democratic Party of Germany, Members of the German Bundestag, Politicians from Saarland
Ingemar Hedberg	1920 births, 2019 deaths, Swedish Olympians, Olympic silver medalists, Sportspeople from Stockholm
Mozambican Civil War	Mozambique, Civil wars, 1977, 1992, Cold War, 20th century in Africa
Sovereign (British coin)	British currency, Gold, Coins
La rosa de Guadalupe	2008 television series debuts, Mexican television series, Telenovelas, 2008 establishments in North America, 2000s establishments in Mexico
Álvaro Noboa	1950 births, Living people, Ecuadorian politicians, Ecuadorian businesspeople, People from Guayaquil
Napoleon Chagnon	1938 births, 2019 deaths, American educators, American anthropologists, Writers from Michigan, Scientists from Michigan, People from Traverse City, Michigan
Pornhub	2007 establishments in Canada, MindGeek, Pornography, Websites
Angélica María	1944 births, Living people, American singer-songwriters, American movie actors, American television actors, Mexican movie actors, Mexican television actors, Mexican singer-songwriters, Actors from New Orleans, Louisiana, Writers from New Orleans, Louisiana, Singers from Louisiana
Angélica Vale	1975 births, Living people, Mexican movie actors, Mexican television actors, Mexican voice actors, Mexican singer-songwriters, Mexican comedians, Naturalized citizens of the United States, American movie actors, American television actors, American voice actors, American singer-songwriters, American comedians, Actors from Mexico City
Marco Antonio Solís	1959 births, Living people, Mexican singer-songwriters, Mexican movie actors, Mexican television actors, Mexican voice actors, Mexican musicians, Guitarists, Composers, Record producers
Benny Fredriksson	1959 births, 2018 deaths, Actors who committed suicide, Swedish movie actors, Swedish television actors, Swedish stage actors, Swedish businesspeople, Actors from Stockholm
Corticosteroid	Steroid hormones
V. V. Giri	Presidents of India, Governors of Karnataka, Governors of Kerala
Fakhruddin Ali Ahmed	Presidents of India, 1905 births, 1977 deaths
Edappadi K. Palaniswami	Tamil Nadu politicians
M. K. Alagiri	Tamil Nadu politicians, 1951 births, Living people
Dinakaran	Tamil Nadu
Dina Thanthi	Tamil Nadu, Tamil language, Newspapers published in India, 1942 establishments
Chinese mystery snail	Gastropods
Younian dialect	Chinese language
Brad Williamson (ice hockey)	1977 births, American Hockey League players, Canadian ice hockey defencemen, ECHL players, Ice hockey people from Ontario, International Hockey League (1945–2001) players, Living people, People from Thunder Bay, United States Hockey League players
Loretta Sanchez	1960 births, Politicians from California, Living people
Ignazio Cassis	1961 births, Physicians, Swiss politicians, Living people, Ticino
Computer-aided design	Computer science, Design
Kitzbühel	Cities and towns in Tyrol (state), Ski areas and resorts in Austria
Dii Consentes	Roman gods and goddesses
Candy Lightner	1946 births, Living people, American activists, People from California
Michiko Nishiura Weglyn	1926 births, 1999 deaths, Activists, American activists, People from Stockton, California
Sandra Cisneros	1954 births, Living people, Writers from Chicago
Gertrude Caroline Ederle	1905 births, American swimmers, American activists, 2003 deaths
Sarah Winnemucca Hopkins	1891 deaths, American activists, Native American people
Emmabuntüs	Linux distributions, Debian-based Linux distributions, X86-64 Linux distributions, Live CD
Agildo Ribeiro	1932 births, 2018 deaths, Deaths from heart failure, Brazilian movie actors, People from Rio de Janeiro
Derek Keys	1931 births, 2018 deaths, South African politicians, South African businesspeople
Deaths in May 2018	2018 deaths, May 2018 events
Pik Botha	1932 births, 2018 deaths, South African politicians
Rose Laurens	1953 births, 2018 deaths, French pop singers, French songwriters, Writers from Paris
Santa Clarita Diet	American horror television series, American comedy television series, Television series set in Los Angeles County, California, 2010s American television series debuts, 2010s American television series endings, Netflix original shows, English-language television programs
Henderson waves	Bridges, Buildings and structures in Singapore
Aileen Hernandez	1926 births, 2017 deaths, African-American people, American feminists, American civil rights activists, California State University, People from Brooklyn, Deaths from dementia
Jody Williams	1950 births, Living people, Activists, American activists
Irene Natividad	1948 births, Living people, Activists, American activists
Nikki Giovanni	1943 births, African American writers, American activists, American educators, American poets, Writers from Ohio, People from Knoxville, Tennessee, Writers from Tennessee, Living people
Miriam Makeba	1932 births, 2008 deaths, American activists, South African entertainers
Fannie Lou Hamer	1917 births, 1977 deaths, Activists, American activists
Ella Baker	1903 births, 1986 deaths, American civil rights activists, American human rights activists, African-American people
Amina al-Said	1914 births, 1995 deaths, American activists
Fred Quimby	1886 births, 1965 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in California, American animators, American movie producers, Businesspeople from Minnesota
Eric Yarrow	1920 births, 2018 deaths, British businesspeople, British military personnel of World War II, People from Surrey
Anita Ellis	1920 births, Living people, Naturalized citizens of the United States, Canadian movie actors, Canadian television actors, Canadian stage actors, Canadian voice actors, Canadian radio actors, Canadian singers, American movie actors, American television actors, American stage actors, American voice actors, American radio actors, American aviators, People with Alzheimer's disease, Actors from Montreal, Actors from Manhattan, Singers from New York City
Lydia Wideman	1920 births, 2019 deaths, Finnish Olympians, Olympic gold medalists, Skiers
Durward Knowles	1917 births, 2018 deaths, Deaths from renal failure, Olympic gold medalists, Olympic bronze medalists, Centenarians, Bahamian people
Gudrun Zapf-von Hesse	1918 births, 2019 deaths, German centenarians, Designers, German educators, Writers from Frankfurt
Laban movement analysis	Dance, Notation
Kirsty Sword Gusmão	1966 births, Living people, Activists, East Timorese people, Australian people
Wendy Wasserstein	1950 births, 2006 deaths, American feminists, American playwrights, Cancer deaths in New York, Deaths from lymphoma, Jewish American academics, Jewish American writers, Jewish feminists, Pulitzer Prize winners, Writers from Brooklyn, Yale University alumni
Gloria Molina	1948 births, Living people, American activists, Politicians from Los Angeles, California
Anjali Gopalan	1957 births, Living people, Indian activists
Winona LaDuke	1959 births, Living people, American activists, Native American people
Elaine H. Kim	1942 births, Living people, Academics, Activists, American activists
Ruth Sienkiewicz-Mercer	1950 births, 1988 deaths, Activists, American activists, People with disabilities
Maureen Orcutt	1907 births, 2007 deaths, Competitors in athletics, Activists, American activists
Patrisse Cullors	1984 births, Living people, African-American people, American civil rights activists, American LGBT rights activists, Black Lives Matter
Russalka	History of Russia, Warships
CAD/CAM	Computer science, Design, Manufacturing
French Chess Federation	Chess organizations, Sport in France
French Chess Championship	Chess competitions, Sport in France
Manuel Turizo	2000 births, Living people, Colombian singers
Joel Kovel	1936 births, 2018 deaths, American environmentalists, American political writers, American political activists, American educators, Writers from New York City
Point Pelee National Park	National parks in Canada, Dark-sky preserves, 1918 establishments, 1910s establishments in Canada, Geography of Ontario
Max Berrú	1942 births, 2018 deaths, Deaths from multiple myeloma, Chilean entertainers, Chilean singers, Musicians, Singers, Chilean businesspeople, Ecuadorian entertainers, Ecuadorian businesspeople
Wanda Wiłkomirska	1929 births, 2018 deaths, Polish musicians, Violinists, Polish educators, People from Warsaw
Morton, Minnesota	Cities in Minnesota
Tuas Link MRT station	Mass Rapid Transit (Singapore) stations
Alstom Metropolis C830C	MRT Singapore, Rolling stock
Clementi rail accident	Railway accidents in Asia
Devbhumi Dwarka district	Districts of Gujarat
Matthew Meselson	1930 births, Living people, Jewish American scientists, American geneticists, Foreign Members of the Royal Society, American biologists, University of Chicago alumni, Harvard University faculty
Graham Fellows	1959 births, Living people, People from Manchester, English comedians, English musicians, English voice actors
Siri von Essen	1850s births, 1912 deaths, Finnish actors, Nobility, Swedish stage actors
Austroasiatic languages	Languages of Asia
Hans-Rudolf Merz	1942 births, Living people, Presidents of the Swiss Confederation
Wolf Children	Animated movies, Japanese movies
Danone	1919 establishments, Companies of France, Food companies of Europe
RÚV	1930 establishments in Europe, Television channels, Radio stations in Europe, Reykjavík, 20th century establishments in Iceland
Sweetener (album)	Pop albums, Trap albums, Hip hop albums, R&B albums, 2018 albums, Ariana Grande albums
Elmar Altvater	1938 births, 2018 deaths, German educators, German political scientists, Political writers, German writers
Chuck Missler	1934 births, 2018 deaths, American Christians, American educators, Engineers from Illinois, American radio personalities, Writers from Illinois, Businesspeople from Illinois, Scientists from Illinois
Universo 2000	1963 births, 2018 deaths, Deaths from myocardial infarction, Mexican professional wrestlers
Gord Brown	1960 births, 2018 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in Canada, Politicians from Toronto
Vadim Mulerman	1938 births, 2018 deaths, Soviet singers, Cancer deaths in New York City
Wang Danfeng	1924 births, 2018 deaths, Chinese movie actors, Chinese television actors, Chinese stage actors, People from Shanghai
Kent Osborne	Emmy Award winners, 1969 births, Living people, Adventure Time, American movie actors, American television actors, American voice actors, American television writers, American television producers, American television directors, Screenwriters from New Jersey, Movie producers from New Jersey, Actors from New Jersey, Writers from Vermont, Actors from Vermont
Burgettstown, Pennsylvania	Boroughs in Pennsylvania
James W. Carroll	Living people, American lawyers, Directors of the Office of National Drug Control Policy, US Republican Party politicians
Lee P. Brown	1937 births, Living people, American lawyers, Businesspeople from Houston, Texas, Businesspeople from Oklahoma, Mayors of Houston, Directors of the Office of National Drug Control Policy, Politicians from Oklahoma, US Democratic Party politicians
Barry McCaffrey	1942 births, Living people, Purple Heart recipients, American military personnel of the Vietnam War, American political writers, Harvard University alumni, Directors of the Office of National Drug Control Policy, Politicians from Massachusetts, Writers from Massachusetts
John P. Walters	1952 births, Living people, Directors of the Office of National Drug Control Policy, Politicians from Michigan, US Republican Party politicians
Gil Kerlikowske	1949 births, Living people, Directors of the Office of National Drug Control Policy, Politicians from Florida, US Democratic Party politicians
Michael Botticelli	1958 births, Living people, Directors of the Office of National Drug Control Policy, LGBT politicians, Gay men, LGBT people from New York, Politicians from New York, US Democratic Party politicians
Jefferson County, West Virginia	West Virginia counties
Tormentor (Slayer song)	Songs, Thrash metal bands
The Daily Star (Bangladesh)	1991 establishments in Asia, Bangladesh, 20th century establishments in Bangladesh, English-language newspapers published in Asia
Star Showbiz	Magazines of Bangladesh
Dhaka Courier	1984 establishments in Asia, Magazines of Bangladesh
Forum (Bangladesh)	1969 establishments in Asia, 2013 disestablishments, Magazines of Bangladesh, Pakistan
ATN News	2010 establishments in Asia, Dhaka, Bangladesh, 21st century establishments in Bangladesh
República (Nepalese newspaper)	2009 establishments in Asia, Establishments in Nepal, Newspapers in Asia
Singapore Pro Wrestling	Professional wrestling promotions, Singaporean companies
Ice planet	Types of planet
Rice flour	Flour, Rice
Ice giant	Astronomical objects, Solar System, Types of planet
The Yachts	1970s British music groups, Musical groups from Liverpool, English pop music groups, New wave bands
Chicago "L"	Transport in Chicago, Rapid transit systems in the United States
Chaz Jankel	1953 births, English guitarists, English pianists, English songwriters, Living people, Musicians from London, Singers from London
English Chess Federation	Chess organizations
Ancient Beringian	Pre-Columbian cultures
Windows 3.1x	Microsoft operating systems
Oleg Anofriyev	1930 births, 2018 deaths, Russian composers, Russian movie actors, Russian movie directors, Russian singers, Soviet movie actors, Soviet singers, Russian voice actors, Russian stage actors, Songwriters
Tony Cucchiara	1937 births, 2018 deaths, Italian singers, Italian composers, Italian playwrights, Songwriters, People from Sicily
Khorramshahr	Cities in Iran
Bill Torrey	1934 births, 2018 deaths, Canadian businesspeople, People from Montreal
Afonso Dhlakama	1953 births, 2018 deaths, Deaths from myocardial infarction, Generals, Roman Catholics, Anti-Communists, Mozambican people, African politicians
Khouzestan Province	Provinces of Iran
Transport in Singapore	Transport in Singapore
Isabela Garcia	1967 births, Living people, Brazilian television actors, Brazilian movie actors, Brazilian stage actors, People from Rio de Janeiro
Signs of Life (1968 movie)	1968 drama movies, World War II movies, Movies set in Greece, Mental disorders in fiction, German movies, Movies directed by Werner Herzog
US Salernitana	Italian football clubs, 1919 establishments in Italy, 1922 disestablishments in Europe, 1920s disestablishments in Italy, 1945 establishments in Italy, 1977 disestablishments in Europe, 1970s disestablishments in Italy
SS Salernitanaudax	Italian football clubs, 1922 establishments in Italy, 1920s disestablishments in Italy, 1927 disestablishments
USF Salernitana	Italian football clubs, 1927 establishments in Europe, 1920s establishments in Italy, 1945 disestablishments in Italy
Plastic pollution	Pollution
Hans Scholl	1918 births, 1943 deaths, Munich, World War II people
Ernst Heinrich Weber	1795 births, 1878 deaths, Foreign Members of the Royal Society, German doctors, German psychologists
Tarte Tatin	French food, Apple products, Desserts, Pies
Flatboat	Ship types
Pierre-Louis Maupertuis	1698 births, 1759 deaths, French scientists, French physicists, French astronomers, French biologists, French philosophers, French writers, Members of the Académie française, Fellows of the Royal Society
Matthew Webb	British swimmers, 1848 births, 1883 deaths
Magnosaurus	Theropods, Dinosaurs
CGP Grey	American YouTubers, Living people, Podcasters, Year of birth missing (living people)
Chuandongocoelurus	Tetanurans
Wolfgang Völz	1930 births, 2018 deaths, German stage actors, German movie actors, German television actors, German voice actors, People from Gdańsk
Poekilopleuron	Tetanurans, Theropods
Donald McHenry	1936 births, African-American people, American diplomats, People from East St. Louis, Illinois, United States Ambassadors to the United Nations, Living people
Wellston High School	Schools in Ohio
Herman Krebbers	1923 births, 2018 deaths, Dutch musicians, People from Overijssel, Violinists
Reece Thompson	1988 births, Canadian child actors, Canadian movie actors, Canadian television actors, Canadian voice actors, Actors from British Columbia, Living people
Abi Ofarim	1937 births, 2018 deaths, Israeli singers, Israeli musicians, Dancers
Henryk Skolimowski	1930 births, 2018 deaths, Polish writers, Polish educators, Philosophers, People from Warsaw
Eric Koch	1919 births, 2018 deaths, German educators, German novelists, German Jews, Canadian educators, Canadian novelists, People from Frankfurt
Geneviève Claisse	1935 births, 2018 deaths, French painters
Anatole Katok	1944 births, 2018 deaths, American mathematicians, American educators, Russian mathematicians, Russian educators, Writers from Washington, D.C.
John Treacher	1924 births, 2018 deaths, British businesspeople, British military personnel of World War II
London Junior Cup	Football competitions
William Reynolds (actor)	1931 births, Living people, American movie actors, American television actors, American stage actors, Actors from Los Angeles, California
Danville, Pennsylvania	Boroughs in Pennsylvania, County seats in Pennsylvania
Ignacio Zaragoza	1829 births, 1862 deaths, Deaths from typhoid fever, Generals, Mexican politicians
Shazam! (movie)	2019 movies, DC Extended Universe movies, American action comedy movies, American science fiction movies, American adventure movies, Warner Bros. movies, New Line Cinema movies, 2010s superhero movies, Movies set in 2018
Wonder Woman 1984	2020 movies, 2020s superhero movies, Movies directed by Patty Jenkins, Wonder Woman movies, DC Extended Universe movies, American action comedy movies, American science fiction movies, American adventure movies, Movies composed by Hans Zimmer, Warner Bros. movies, Movies set in the 1980s, American superhero movies
Under Mango Tree	New Delhi, 2010s establishments in India, Architects
Duriavenator	Tetanurans, Theropods, Jurassic dinosaurs
Penshurst, New South Wales	Sydney
Mingguang	Cities in China
Bad News Game	2018 video games
Alexander Tschäppät	1952 births, 2018 deaths, Cancer deaths in Switzerland, Swiss politicians, Mayors
Cercopithecus	Old World monkeys
Michele Castoro	1952 births, 2018 deaths, Deaths from pancreatic cancer, Cancer deaths in Italy, Archbishops, Italian Roman Catholics
Bank of America Corporate Center	Buildings and structures in North Carolina
Big Flow Music	Mexican rap music groups, 2010s music groups, 2013 establishments, Musical groups established in 2013, 2010s establishments in Mexico
Active fault	Faults, Earthquakes
Chun-Li (song)	Nicki Minaj songs, 2018 songs, Hip hop songs
Yeovil Town L.F.C.	English football clubs, 1990 establishments in the United Kingdom
Lake Albert (Africa)	Lakes of Africa, Uganda, Democratic Republic of the Congo
Chiemsee	Lakes of Europe, Geography of Bavaria
Lake Neuchâtel	Lakes of Bern, Canton of Fribourg, Vaud, Canton of Neuchâtel
Yverdon-les-Bains	Municipalities of Vaud, Cities in Switzerland, Spa towns
Chêne-Pâquier	Municipalities of Vaud
1811-12 New Madrid Earthquake	Earthquakes in the United States, 1810s in the United States, 1811, 1812, Articles on pre-1900 earthquakes
José María Íñigo	1942 births, 2018 deaths, Deaths from lung cancer, Cancer deaths in Spain, Eurovision Song Contest presenters, Spanish journalists, People from Bilbao
Richard John Garcia	1947 births, 2018 deaths, Deaths from Alzheimer's disease, Disease-related deaths in California, Bishops, American Roman Catholics, People from San Francisco
Monterey, California	Cities in California, Settlements in Monterey County, California
George V. Murry	1948 births, 2020 deaths, Deaths from acute myeloid leukemia, American Roman Catholics, Bishops, People from Youngstown, Ohio, People from Camden, New Jersey
Blaxploitation	African-American history, Genres, Movies
Jordan Nikolić	1933 births, 2018 deaths, Deaths from COPD, Serbian singers, Kosovan singers
Earl Balfour	1933 births, 2018 deaths, Deaths from prostate cancer, Cancer deaths in Canada, Canadian ice hockey forwards, Chicago Blackhawks players, Toronto Maple Leafs players, Sportspeople from Toronto, American Hockey League players, Ontario Hockey League players
Esther Ofarim	1941 births, Living people, Israeli singers, Israeli writers, Israeli musicians, Eurovision Song Contest entrants, Songwriters
Mel Lastman	1933 births, Living people, Mayors of Toronto
Mayor of Toronto	Mayors of Toronto
David Crombie	1936 births, Living people, Mayors of Toronto, Privy Councillors (Canada), Members of the House of Commons of Canada from Ontario
Art Eggleton	1943 births, Living people, Mayors of Toronto, Privy Councillors (Canada)
Martha MacIsaac	1984 births, Canadian voice actors, Living people
Jerrod Carmichael	Living people, 1987 births, American stand-up comedians, American television producers, American television writers
Cirilo Bautista	1941 births, 2018 deaths, Deaths from neuroendocrine cancer, Filipino writers, Poets, Novelists, Critics, Filipino educators, People from Manila
