Oil tanker	Ship types
Maresché	Communes in Sarthe
Marigné-Laillé	Communes in Sarthe
Marolles-les-Braults	Communes in Sarthe
Marolles-lès-Saint-Calais	Communes in Sarthe
Marollette	Communes in Sarthe
Mayet	Communes in Sarthe
Melleray, Sarthe	Communes in Sarthe
Meurcé	Communes in Sarthe
Mézeray, Sarthe	Communes in Sarthe
Mézières-sous-Lavardin	Communes in Sarthe
Mézières-sur-Ponthouin	Communes in Sarthe
Moitron-sur-Sarthe	Communes in Sarthe
Moncé-en-Belin	Communes in Sarthe
Moncé-en-Saosnois	Communes in Sarthe
Monhoudou	Communes in Sarthe
Mont-Saint-Jean, Sarthe	Communes in Sarthe
Montabon	Former communes in Sarthe
Montaillé	Communes in Sarthe
Montbizot	Communes in Sarthe
Montfort-le-Gesnois	Communes in Sarthe
Montigny, Sarthe	Former communes in Sarthe
Montmirail, Sarthe	Communes in Sarthe
Montreuil-le-Chétif	Communes in Sarthe
Montreuil-le-Henri	Communes in Sarthe
Moulins-le-Carbonnel	Communes in Sarthe
Mulsanne	Communes in Sarthe
Nauvay	Communes in Sarthe
Neufchâtel-en-Saosnois	Communes in Sarthe
Neuvillalais	Communes in Sarthe
Neuville-sur-Sarthe	Communes in Sarthe
Neuvillette-en-Charnie	Communes in Sarthe
Neuvy-en-Champagne	Former communes in Sarthe
Nogent-le-Bernard	Communes in Sarthe
Nogent-sur-Loir	Communes in Sarthe
Notre-Dame-du-Pé	Communes in Sarthe
Nouans	Communes in Sarthe
Noyen-sur-Sarthe	Communes in Sarthe
Nuillé-le-Jalais	Communes in Sarthe
Oisseau-le-Petit	Communes in Sarthe
Oizé	Communes in Sarthe
Panon, Sarthe	Communes in Sarthe
Parcé-sur-Sarthe	Communes in Sarthe
Parennes	Communes in Sarthe
Parigné-l'Évêque	Communes in Sarthe
Parigné-le-Pôlin	Communes in Sarthe
Peray	Communes in Sarthe
Pezé-le-Robert	Communes in Sarthe
Piacé	Communes in Sarthe
