Kenning	Medieval literature, Poetry, Iceland
Eduard Krieger	1946 births, 2019 deaths, Sportspeople from Vienna, Austrian footballers
Yuri Pshenichnikov	1940 births, 2019 deaths, Uzbekistani people, Soviet sportspeople, Russian footballers
Daniel Selvaraj	2019 deaths, 1938 births, Disease-related deaths in India, Indian writers
Preity Zinta	1975 births, Living people, Indian movie actors, Indian television actors, Indian businesspeople, Indian movie producers
Thomas Chandy	1947 births, 2019 deaths, Deaths from stomach cancer, Indian politicians, Indian businesspeople, Cancer deaths in India
Chuck Peddle	1937 births, 2019 deaths, Deaths from pancreatic cancer, Cancer deaths in California, Engineers from Maine, American inventors, Scientists from Maine, People from Bangor, Maine
Verka Serduchka	1973 births, Drag queens, Eurovision Song Contest entrants, Living people, Comedians, Ukrainian singers, Ukrainian actors, Pop singers, Folk singers
Carlos Rosenkrantz	1958 births, People from Buenos Aires, Living people, Argentine politicians, Argentine lawyers, Argentine judges
Sergio Massa	1972 births, Living people, Argentine politicians
Winamac, Indiana	Towns in Indiana, County seats in Indiana
The Karate Kid Part III	1989 movies, 1980s sequel movies, American sequel movies, English-language movies, Martial arts movies, Karate, Movies directed by John G. Avildsen
Versailles, Indiana	Towns in Indiana, County seats in Indiana
Nashville, Indiana	Towns in Indiana, County seats in Indiana
Rebstein	Municipalities of St. Gallen
Berneck, St. Gallen	Municipalities of St. Gallen
Eichberg, St. Gallen	Municipalities of St. Gallen
Tübach	Municipalities of St. Gallen
Rockville, Indiana	Towns in Indiana, County seats in Indiana
Fort Branch, Indiana	Towns in Indiana
Hazleton, Indiana	Towns in Indiana
Gurnard, Isle of Wight	Villages on the Isle of Wight
Streetman, Texas	Towns in Texas
Fluminense de Feira Futebol Clube	1940s establishments in Brazil, 1941 establishments, Brazilian football clubs, Bahia
Orsinian Tales	Fiction, Short story collections
Sound Transit	1990s establishments in Washington (state), 1993 establishments in the United States, Rapid transit systems in the United States, Transport in Washington
Anri Sakaguchi	1991 births, Living people, People from Tokyo
Social conservative	Political movements, Conservatism, Christian democracy
Blue Tory	Canadian politicians
Red Tory	Canadian politicians
Roland Matthes	1950 births, 2019 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in Germany, German swimmers, German Olympic gold medalists, German Olympic silver medalists, German Olympic bronze medalists
Claudine Auger	1941 births, 2019 deaths, French models, French movie actors, Actors from Paris, Actresses who played Bond girls
Steina and Woody Vasulka	1937 births, 2019 deaths, 1940 births, Living people, Artists
Ramachandra Babu	1947 births, 2019 deaths, Deaths from myocardial infarction, Indian cinematographers
GOLD	British television channels, 1992 establishments in the United Kingdom
Jonschwil	Municipalities of St. Gallen
Niederbüren	Municipalities of St. Gallen
Niederhelfenschwil	Municipalities of St. Gallen
Bronschhofen	Former municipalities of St. Gallen
Oberbüren	Municipalities of St. Gallen
Zuzwil, St. Gallen	Municipalities of St. Gallen
Eschenbach, St. Gallen	Municipalities of St. Gallen
Schänis	Municipalities of St. Gallen
St. Gallenkappel	Former municipalities of St. Gallen
Weesen	Municipalities of St. Gallen, Villages in St. Gallen
Goldingen	Former municipalities of St. Gallen
Gommiswald	Municipalities of St. Gallen
Thal, St. Gallen	Municipalities of St. Gallen, Villages in St. Gallen
Rapperswil, St. Gallen	Former municipalities of St. Gallen
Uznach	Municipalities of St. Gallen, Cities in Switzerland
Ernetschwil	Former municipalities of St. Gallen, Villages in St. Gallen
Worms (movie)	Canadian animated movies, 2010s animated movies, 20th Century Fox movies
Balloon (2019 movie)	2019 drama movies, Chinese movies
Dareema Caddo	Settlements in Somalia, Khatumo
Emmet County, Michigan	1850s establishments in Michigan, 1853 establishments in the United States, Michigan counties
Alcona County, Michigan	1860s establishments in Michigan, 1869 establishments in the United States, Michigan counties
Stewart Copeland	1952 births, Living people, American composers, American rock drummers, Video game composers, Movie score composers
List of prime ministers of the Federation of Bosnia and Herzegovina	Lists of prime ministers, Prime Ministers of the Federation of Bosnia and Herzegovina
Federation of Bosnia and Herzegovina	Geography of Bosnia and Herzegovina
Mustafa Mujezinović	1954 births, 2019 deaths, Prime Ministers of the Federation of Bosnia and Herzegovina
Ahmed Gaid Salah	1940 births, 2019 deaths, Generals, Deaths from myocardial infarction, Algerian people
Ted Lepcio	1929 births, 2019 deaths, Boston Red Sox players, Detroit Tigers players, Philadelphia Phillies players, Chicago White Sox players, Minnesota Twins players, Sportspeople from New York, People from Utica, New York
Jack B. Farris	1935 births, 2019 deaths, American generals, American military personnel of the Vietnam War, People from Charlotte, North Carolina
Ricardo de Aparici	1940 births, 2019 deaths, Accidental deaths from falls, Argentine politicians
Jan de Laval	1948 births, 2019 deaths, Swedish movie actors, Swedish television actors
Zilda Cardoso	Deaths from emphysema, 2019 deaths, Brazilian movie actors, Brazilian television actors, 1936 births, People from São Paulo
