Edith Windsor	1929 births, 2017 deaths, American LGBT rights activists, Lesbians, LGBT people from New York City, LGBT people from Pennsylvania, New York University alumni, People from Philadelphia, Pennsylvania
Flag of Ecuador	Ecuador, National flags
Flag of Chicago	Chicago, Illinois, Flags of the United States, 1917 establishments in the United States
Flag of Illinois	United States state flags, Illinois
Flag of Vatican City	Vatican City, National flags
St Peter's College, Oxford	Colleges of the University of Oxford, 1929 establishments in Europe, 1920s establishments in England
Somerville College, Oxford	Colleges of the University of Oxford, 1879 establishments in England
William Mapother	1965 births, Living people, American television actors, Actors from Louisville, Kentucky, American movie actors
PopMatters	1999 establishments, Entertainment websites
Rachel Lloyd	1975 births, Living people, British sex industry people, English activists, Prostitutes
Death of Mark Duggan	2011 deaths, 2011 in the United Kingdom, 2010s in London, August 2011 events, Deaths by firearm in the United Kingdom, People shot dead by law enforcement officers
Prince of Condé	Titles in the old Kingdom of France
Tom O'Carroll	1945 births, Living people, Irish writers, Sex offenders, Sexual freedom activists
École Polytechnique massacre	1989, 1980s in Canada, 20th century in Montreal, Attacks on buildings and structures in North America, Attacks on buildings and structures in the 1980s, December events, Mass murder in North America, Mass murder in the 1980s, Mass shootings in North America, Massacres, Murder in Canada, Murders by firearm, Murder-suicides in North America, School shootings, Suicides by firearm, Suicides in Canada
Ezra Miller	1992 births, Living people, Actors from New Jersey, American child actors, American child singers, American movie actors, American television actors, Jewish American actors, Jewish American musicians, LGBT actors, LGBT Jews, LGBT people from New Jersey, LGBT singers, People from Wyckoff, New Jersey, Queer people, Singers from New Jersey, LGBT models, Models from New Jersey
5 Tracks	John Cale albums, 2003 albums, Rock albums
British Armed Forces	1707 establishments, 18th century establishments in England, Military of the United Kingdom
Christina Onassis	1950 births, 1988 deaths, Argentine people, Businesspeople from New York City, Deaths from myocardial infarction, Disease-related deaths in Argentina, Greek people
Athina Onassis	1985 births, Living people, Billionaires, Equestrians, French businesspeople, Greek people, People from Ile-de-France
Arrogance	Emotions, Narcissism
Steven Yeun	1983 births, Living people, Actors from Michigan, American movie actors, American television actors, People from Troy, Michigan
Dawson College shooting	2006 crimes, 2000s in Montreal, Attacks on buildings and structures in North America, Attacks on buildings and structures in the 2000s, Mass shootings in North America, Mass shootings in the 2000s, Murder in Canada, Murders by firearm, Murder-suicides in North America, School shootings, September events, Suicides by firearm, Suicides in Canada
Crisis hotline	Telephone numbers, Suicide
Boys Town	Non-profit organizations of the United States, 1917 establishments in the United States
Boys Town, Nebraska	Villages in Nebraska
Selçuk Uluergüven	1941 births, 2014 deaths, Actors from Istanbul, Turkish stage actors, Turkish movie actors, Turkish television actors
Dale T. Mortensen	1939 births, 2014 deaths, Deaths from stroke, Deaths from cancer, Cancer deaths in Illinois, American economists, American educators, Nobel Prize in Economics winners, Scientists from Oregon
Josep Maria Castellet	1926 births, 2014 deaths, Critics, Deaths from pneumonia, Disease-related deaths in Barcelona, Infectious disease deaths in Spain, Publishers, Spanish poets, Writers from Barcelona
Wilmette, Illinois	Villages in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois, 1872 establishments in the United States, 1870s establishments in Illinois
Trinity College, Oxford	Colleges of the University of Oxford, 1555 establishments, 1550s establishments in England
Albert I of Belgium	1875 births, 1934 deaths, Accidental deaths, Kings and Queens of Belgium, Kings and queens, Honorary Knights Grand Cross of the Order of the Bath
Knute Rockne, All American	1940 movies, 1940s drama movies, American biographical movies, American drama movies, Movies directed by Lloyd Bacon, Movies directed by William K. Howard
Love Is on the Air	1937 movies, 1930s crime movies, 1930s drama movies, American crime drama movies, English-language movies, Movies directed by Nick Grinde
Kings Row	1942 movies, 1940s drama movies, American drama movies, Movies based on books, Movies directed by Sam Wood
The Voice of the Turtle	1947 movies, American romantic comedy movies, Movies directed by Irving Rapper
John Loves Mary	1949 movies, 1940s romance movies, American romance movies, Movies directed by David Butler
The Hasty Heart	1949 movies, 1940s romance movies, 1940s comedy movies, American romantic comedy movies, British romantic comedy movies, Movies directed by Vincent Sherman
Dimebag Darrell	1966 births, 2004 deaths, American guitarists, American heavy metal musicians, American murder victims, Murdered musicians, Murders by firearm in the United States, Musicians from Texas
Cattle Queen of Montana	1954 movies, 1950s western movies, American western movies, Movies directed by Allan Dwan
Tennessee's Partner	1955 movies, 1950s western movies, American western movies, Movies directed by Allan Dwan
The Killers (1964 movie)	1964 drama movies, 1960s crime drama movies, American crime drama movies, Movies based on books, Movies composed by John Williams, Movies directed by Don Siegel
Robert Cummings	Actors from Missouri, American television actors, American movie actors, Deaths from renal failure, Deaths from pneumonia, 1910 births, 1990 deaths
Susan Hayward	Actors from New York City, American movie actors, 1917 births, 1975 deaths
With a Song in My Heart	1952 movies, 1950s musical movies, American biographical movies, American musical movies
Jane Froman	American television actors, American movie actors, Musicians from Missouri, Actors from Missouri, 1907 births, 1980 deaths
Madelyn Lee Payne	1922 births, 2008 deaths, Cancer deaths in the United States, Obama family, People from Kansas
Swedish Alliance Mission	1919 establishments in Sweden, Protestantism in Sweden
United Methodist Church of Sweden	1868 establishments in Europe, 2012 disestablishments in Sweden, Methodism, Protestantism in Sweden, 19th century establishments in Sweden
Baptist Union of Sweden	2012 disestablishments in Sweden, Baptist churches, Protestantism in Sweden
Broadwater Farm	London Borough of Haringey
When the Tigers Broke Free	1980 songs, Pink Floyd songs
Chandler Riggs	1999 births, Living people, American child actors, American television actors, Actors from Atlanta, Georgia
Myliobatiformes	Ray-finned fish
Celtic shields	Weapons
Aït Benhaddou	Cities in Morocco
Mary Daly	1928 births, 2010 deaths, 20th century philosophers, 21st century philosophers, American feminists, American philosophers
Erwarton	Villages in Suffolk, Civil parishes in Suffolk, Settlements in Babergh
My Story (R. Kelly song)	2013 songs
Hugh Dowding	1882 births, 1970 deaths, British military people, World War II people
Alexander Kerensky	1881 births, 1970 deaths, Russian Revolution, Prime Ministers of Russia
Ralph Bunche	1903 births, 1971 deaths, American diplomats, American Nobel Prize winners, Nobel Peace Prize winners, Arab–Israeli conflict
Relish	Condiments, Sauces
Takanori Nishikawa	1970 births, Japanese movie actors, Japanese television actors, Japanese singers, Living people, People from Shiga Prefecture
Entronque de Herradura	Settlements in Cuba, Villages in North America, 1907 establishments in North America, 20th-century establishments in Cuba
Captain EO	1986 science fiction movies, American science fiction movies, English-language movies, Michael Jackson
Paris Lees	BBC 100 Women, British journalists, Living people, LGBT rights activists, Transgender and transsexual people, Year of birth missing (living people)
Zbigniew Messner	1929 births, 2014 deaths, Polish communists, Deaths from myocardial infarction, Prime Ministers of Poland
Reagan (movie)	2011 movies, American documentary movies, English-language movies
Christine Cavanaugh	1963 births, 2014 deaths, Deaths from leukemia, Actors from Utah, American movie actors, American television actors, American voice actors, Annie Award winners
Jay Carney	1965 births, Living people, White House Press Secretaries, Politicians from Washington, D.C.
White House Press Secretary	White House Press Secretaries, 1929 establishments in the United States
Lorella De Luca	1940 births, 2014 deaths, Actors from Tuscany, Cancer deaths in Italy, Italian movie actors, Italian television actors, People from Florence
Sheila E.	Musicians from California, R&B musicians, 1957 births, Living people
Bangerz	2013 albums, Miley Cyrus albums
We Can't Stop	2013 songs, Pop songs, Songs about drugs
1982 Lebanon War	1982, 1983 in Asia, 1984 in Asia, 1985, Wars involving Israel, Wars involving Lebanon, Wars involving Syria, 20th century in Israel, 20th century in Lebanon, 20th century in Syria
Francisco Morales-Bermúdez	1921 births, Living people, Presidents of Peru, Prime Ministers of Peru, People from Lima
Cuthbert Sebastian	1921 births, 2017 deaths, Deaths from pneumonia, Governors-General of Saint Kitts and Nevis, Politicians from Miami, Florida
Dobrica Ćosić	1921 births, 2014 deaths, Presidents of Yugoslavia, Presidents of Serbia and Montenegro
Luis Echeverría	1922 births, Living people, Presidents of Mexico, Writers from Mexico City, Politicians from Mexico City
Benefits Street	2014 television series debuts, 2010s British television series, British documentaries, Channel 4 television programmes, 2010s establishments in the United Kingdom, English-language television programs
Frederick IX of Denmark	Kings and Queens of Denmark, 1899 births, 1972 deaths
Ferde Grofé	1892 births, 1972 deaths, American composers, American pianists
Ken Maynard	1895 births, 1973 deaths, American movie actors, Stuntmen
Gustaf VI Adolf	Kings and Queens of Sweden, 1882 births, 1973 deaths
Ana Konjuh	1997 births, Living people, Female tennis players, Croatian sportspeople
Abebe Bikila	1973 deaths, 1932 births, 1968 Summer Olympics, Ethiopian people, Medalists at the 1960 Summer Olympics, Medalists at the 1964 Summer Olympics, Olympic gold medalists
David Oistrakh	1908 births, 1974 deaths, Violinists
Pier Paolo Pasolini	1922 births, 1975 deaths, Actors from Emilia-Romagna, Italian communists, Gay men, Italian LGBT people, Italian movie actors, Italian movie directors, Italian murder victims, Italian poets, Italian screenwriters, LGBT actors, LGBT directors, LGBT poets, LGBT screenwriters, People from Bologna, People from Veneto, People murdered in Italy, Unsolved murders
Paul Robeson	1898 births, 1976 deaths, American civil rights activists, American movie actors, American singers, American stage actors, Cardiovascular disease deaths in the United States, Deaths from stroke
Arnold Klein	1945 births, 2015 deaths, American physicians, Jewish American scientists
Caro Emerald	1981 births, Living people, Dutch singers
Back It Up (Caro Emerald song)	2009 songs
We Be Clubbin'	1998 songs
Frank DiLeo	1947 births, 2011 deaths, American movie actors, Michael Jackson
Afroman	1974 births, Living people, African American musicians, Bass guitarists, American drummers, American rap musicians from Mississippi, Singers from Mississippi
Cree Summer	1969 births, African American actors, African American musicians, Living people
Muhammad Habibur Rahman	1928 births, 2014 deaths, Deaths from pneumonia, Prime Ministers of Bangladesh, Bangladeshi Muslims, Chief justices
Wadham College, Oxford	Colleges of the University of Oxford, 1610 establishments, 17th century establishments in England, 1610s establishments in Europe
Wolfson College, Oxford	Colleges of the University of Oxford, 1966 establishments in England
Allard van der Scheer	1928 births, 2014 deaths, Cancer deaths in the Netherlands, Deaths from lung cancer, Dutch movie actors, Dutch stage actors, Dutch television actors, People from The Hague
Worcester College, Oxford	Colleges of the University of Oxford, 1714 establishments in Europe, 18th century establishments in England
Keiko Awaji	1933 births, 2014 deaths, Deaths from esophageal cancer, Actors from Tokyo
Dark Shadows (movie)	2012 movies, American horror movies, American drama movies, British horror movies, British drama movies, Movies directed by Tim Burton, Movies composed by Danny Elfman
43	43
44	44
45	40s
46	40s
47	40s
49	40s
Cold wave	Weather
Sally Hawkins	Satellite Award winners, Actors from London, English movie actors, English stage actors, 1976 births, Living people
Erica Leerhsen	American television actors, American movie actors, Actors from New York City, 1976 births, Living people
Anything Else	2000s romantic comedy movies, 2003 romance movies, 2003 comedy movies, American romantic comedy movies, Movies directed by Woody Allen
Bérénice Bejo	Argentine movie actors, French movie actors, Actors from Buenos Aires, 1976 births, Living people
Chocolat	2000 drama movies, 2000 romance movies, 2000s romantic drama movies, American romantic drama movies, British romantic drama movies, Buena Vista International movies, English-language movies, Movies about families, Movies set in France, Movies set in the 1950s, Movies set in the 1960s, Movies directed by Lasse Hallström
Marly Marley	1938 births, 2014 deaths, Brazilian movie actors, Brazilian television actors, Deaths from pancreatic cancer, Disease-related deaths in Brazil
The Babysitter	1995 drama movies, 1995 thriller movies, 1990s drama thriller movies, 1990s erotic movies, American drama thriller movies, American erotic movies, English-language movies, American independent movies
Hideaway	1995 thriller movies, 1995 horror movies, 1995 drama movies, American horror movies
Barbados (band)	Musical groups established in 1992, Dansbands, Swedish musical groups
David Morrissey	1964 births, Actors from Liverpool, Living people
Social stigma	Sociology
Christine Chubbuck	1944 births, 1974 deaths, Boston University alumni, Suicides by firearm in the United States, Television personalities from Ohio
Erving Goffman	1922 births, 1982 deaths, American sociologists
Jill Bennett	1931 births, 1990 deaths, Actors who committed suicide, Actors who played in James Bond movies, English movie actors, English stage actors, English television actors
Eva May	Austrian movie actors, Actors from Vienna, 1902 births, 1924 deaths, People who committed suicide
Christine Pascal	People who committed suicide, French movie actors, French writers, 1953 births, 1996 deaths
Imogen Hassall	People who committed suicide, English movie actors, 1942 births, 1980 deaths
Eelam War III	Sri Lankan Civil War
Evan Chandler	1944 births, 2009 deaths, American Jews, Suicides by firearm in the United States, Michael Jackson
Corey Feldman	1971 births, Actors from Los Angeles, California, American movie actors, Living people, The Surreal Life participants
Lard	Cooking fats
Ewarton	Towns in Jamaica
1993 child sexual abuse accusations against Michael Jackson	1993 in California, People accused of child sexual abuse, Michael Jackson
Michael Ealy	1973 births, Living people, Actors from Maryland, American movie actors, American television actors, African American actors, American stage actors, People from Silver Spring, Maryland
Lance Gross	1981 births, Living people, Actors from Oakland, California
Bloody Monday (manga)	Manga
Alexandra Bastedo	1946 births, 2014 deaths, Actors from Sussex, Deaths from breast cancer, English activists, English movie actors, English stage actors, English television actors
Leslie H. Martinson	1915 births, Living people, American movie directors, American television directors, People from Boston, Massachusetts
Árpád Göncz	1922 births, 2015 deaths, Politicians from Budapest, Presidents of Hungary, Recipients of the Decoration for Services to the Republic of Austria
