Crain Communications Building	Skyscrapers in Chicago, 1984 establishments in the United States, 1980s establishments in Illinois
Park Cytadela	Poznań, Parks
Vaalbara	Supercontinents, Archaean
Islam in Niger	Islam by country, Niger
Islam in Nigeria	Islam by country, History of Nigeria
East India	Regions of India
Jack Harris	Living people, 1941 births, National Football League broadcasters, Arena Football League broadcasters, College football broadcasters, College basketball broadcasters, American sports commentators
Frank Herzog	Living people, College basketball broadcasters, National Football League broadcasters, College football broadcasters, National Basketball Association broadcasters, Year of birth missing (living people)
Sind sparrow	Birds of Pakistan, Passeriformes, Birds of India
Jasminum officinale	Plants of Asia, National symbols of Pakistan, Plants of Pakistan, Plants and animals of Kashmir, Oleaceae
Rodinia	Supercontinents, Neoproterozoic
Vasile Blaga	Presidents of the Senate of Romania, 1956 births, Living people
104.6 RTL	Radio stations in Europe, German culture
List of lost treasures	Lists, Treasure troves
Kalisz	Cities in Poland
Konin	Cities in Poland
Ole Knapp	1931 births, 2015 deaths, Norwegian politicians
Okunino	Villages in Poland
Resusci Anne	Training
John Gurdon	1933 births, Living people, Agnostics, British academics, British Nobel Prize winners, Developmental biologists, English biologists, Fellows of the Royal Society, Knights Bachelor, Wolf Prize winners, Academics of the University of Oxford
Viitasoo	Villages in Hiiu County
Mpika District	Districts, Geography of Zambia
Lalín	Capital cities in Spain, Cities in Galicia, Municipalities in Galicia
Gmina Mysłakowice	Poland
Bkonni Department	Departments of Niger
Charles Oakley	African-American basketball players, New York Knicks players, Chicago Bulls players, Toronto Raptors players, Washington Wizards players, Houston Rockets players, Sportspeople from Cleveland, Ohio, 1963 births, Living people, American basketball players
John Starks	New York Knicks players, 1965 births, Living people
Rod Steiger	1925 births, 2002 deaths, Academy Award winning actors, Actors from New York, American movie actors, American radio actors, American stage actors, American television actors, American voice actors, BAFTA Award winning actors, Deaths from surgical complications, Deaths from pneumonia, Golden Globe Award winning actors
List of U.S. state birds	Lists of United States state symbols, Birds, Lists of animals
Ralph Lauren	1939 births, Living people, American fashion designers, Businesspeople from New York City, Honorary Knights Commander of the Order of the British Empire
List of U.S. state fish	Fish, Lists of United States state symbols, Lists of animals
Robert F. Kennedy Jr.	1954 births, Living people, Kennedy family, Robert F. Kennedy, American radio personalities, American activists, Writers from Washington, D.C., American bloggers
Ethel Skakel Kennedy	1928 births, Living people, American activists, American socialites, US Democratic Party politicians, Kennedy family, Politicians from Chicago, Politicians from Connecticut, Robert F. Kennedy
List of U.S. state insects	Insects, Lists of United States state symbols, Lists of animals
Sirhan Sirhan	1944 births, Living people, Assassins, Jordanian people, Palestinian people, People from Jerusalem, Prisoners sentenced to life imprisonment
Assassination of Robert F. Kennedy	1968 in the United States, Assassinations, 1960s in Los Angeles, California, Murder in the 1960s, Murders by firearm in California, Robert F. Kennedy, June events
List of U.S. state mammals	Lists of United States state symbols, Lists of animals, Mammals
List of U.S. state tartans	Lists of United States state insignia
Eunice Kennedy Shriver	1921 births, 2009 deaths, American activists, Cardiovascular disease deaths in Massachusetts, People from Brookline, Massachusetts, Deaths from stroke, Kennedy family, People from Massachusetts, Stanford University alumni
List of U.S. state trees	Lists of United States state symbols, Trees, Lists of plants
Lists of United States state symbols	Lists about U.S. states
Joseph P. Kennedy Sr.	1888 births, 1969 deaths, Deaths from stroke, Kennedy family, Members of the U.S. Securities and Exchange Commission, Ambassadors of the United States to the United Kingdom, US Democratic Party politicians, Politicians from Massachusetts
Shinya Yamanaka	1962 births, Living people, Japanese scientists, Medical researchers, People from Osaka Prefecture, Physicians, Wolf Prize winners, Japanese Nobel Prize winners, Kyoto University faculty
United People's Democratic Front	Chittagong Hill Tracts, Political parties in Bangladesh
Vallisneria	Alismatales, Aquatic plants
Blacy, Yonne	Communes in Yonne
Nervesa della Battaglia	Settlements in Veneto
Boreal forest of Canada	Geography of Canada
Tye Went	Hamlets in Suffolk, Settlements in Babergh
Denmark at the 1968 Summer Paralympics	1968 Summer Paralympics, Sport in Denmark
Denmark at the 1976 Summer Paralympics	1976 Summer Paralympics, Sport in Denmark, 20th century in Denmark
Denmark at the 1996 Summer Paralympics	1996 Summer Paralympics, Sport in Denmark
Adar, Iran	Settlements in Iran, Villages in Asia
Rose Fitzgerald Kennedy	1890 births, 1995 deaths, American centenarians, American philanthropists, Deaths from pneumonia, Infectious disease deaths in the United States, Kennedy family, Businesspeople from Boston, Massachusetts, People from Dorchester, Massachusetts
Jack Ruby	1911 births, 1967 deaths, Burials at Westlawn Cemetery, American murderers, American prisoners, Businesspeople from Chicago, Cancer deaths in Texas, Criminals from Chicago, Deaths from lung cancer, Deaths from pulmonary embolism
Oliver North	1943 births, Living people, American military people, American historians, American political commentators, Writers from San Antonio, Texas, Writers from New York
George Sanders	1906 births, 1972 deaths, Academy Award winning actors, Actors from Sussex, Drug-related suicides, English movie actors, English radio actors, English singer-songwriters, English stage actors, English television actors, English voice actors, Entertainers from Brighton, Writers from Sussex
Johnny Gottselig	1905 births, 1986 deaths, Chicago Blackhawks players, Ice hockey people from Saskatchewan, National Hockey League broadcasters, Regina Pats players, Russian ice hockey players, Stanley Cup champions, Memorial Cup winners
Tom Conway	1904 births, 1967 deaths, Deaths from cirrhosis, English movie actors, English television actors, English voice actors, English stage actors, English radio actors
Ciudad Victoria	Capital cities in Mexico, Tamaulipas, 1750 establishments, 18th-century establishments in Mexico, 1750s establishments in North America
Magda Gabor	1915 births, 1997 deaths, Actors from Budapest, American movie actors, American radio actors, American socialites, American television actors, Deaths from renal failure, Disease-related deaths in the United States, Hungarian movie actors
Beauty and the Beast (1991 movie)	1991 movies, 2012 3D movies, American animated movies, American family movies, American fantasy movies, American musical movies, American romance movies, Beauty and the Beast (Disney), Disney animated movies, Disney Renaissance, English-language movies, IMAX movies, Movies based on fairy tales, Movies composed by Alan Menken, Movies composed by John Powell, United States National Film Registry movies, Movies that won the Best Original Song Academy Award, 3D re-releases
Michael Dorn	1952 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Texas
John O'Hurley	1954 births, Living people, American movie actors, American television actors, American game show hosts, American stage actors, American voice actors, Actors from Maine
Kathy Najimy	1957 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, Actors from San Diego, California, Writers from San Diego, California, Comedians from California, American LGBT rights activists
Lionel Wilson	1924 births, 2003 deaths, Deaths from pneumonia, American movie actors, American television actors, American stage actors, American radio actors, American voice actors, Actors from New York City
Arthur Anderson	1922 births, 2016 deaths, Deaths from congestive heart failure, Cardiovascular disease deaths in New York City, American movie actors, American television actors, American stage actors, American radio actors, American voice actors, Actors from New York City, People from Albany, New York
Montel Williams	1956 births, Living people, American movie actors, American television actors, American voice actors, American radio actors, American television personalities, American radio personalities, American activists, Actors from Baltimore, Maryland, Emmy Award winning actors
Rip Taylor	1931 births, 2019 deaths, Deaths from seizure, Deaths from congestive heart failure, Comedians from Washington, D.C., American movie actors, American television actors, American stage actors, American voice actors, American radio actors, American television personalities, American radio personalities, American activists, LGBT actors, LGBT comedians, Gay men, Actors from Washington, D.C.
Jack Betts	1929 births, Living people, American movie actors, American television actors, American radio actors, American stage actors, American voice actors, Comedians from Florida, American activists, Actors from Miami, Florida
Julia Sweeney	American movie actors, Actors from Washington, American television actors, 1959 births, Living people, American bloggers
HMT Empire Windrush	Ships
Cedric the Entertainer	1964 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, Comedians from Missouri, Actors from Missouri
Craig T. Nelson	1944 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Washington, Emmy Award winning actors, People from Spokane, Washington
JoBeth Williams	1948 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, American movie directors, Actors from Houston, Texas
Fridtjof Nansen	1861 births, 1930 deaths, Cardiovascular disease deaths in Norway, Deaths from myocardial infarction, United Nations High Commissioners for Refugees, Norwegian explorers, Neuroscientists, Nobel Peace Prize winners, Norwegian diplomats, Norwegian scientists, People from Oslo, Norwegian Nobel Prize winners
Alan Tudyk	1971 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from El Paso, Texas, People from Plano, Texas
Patton Oswalt	1969 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, American video game actors, Comedians from Virginia, Actors from Virginia, Writers from Virginia, People from Portsmouth, Virginia
Gerard Butler	1969 births, Living people, Actors from Glasgow, Scottish movie actors, Scottish stage actors, Scottish television actors, Scottish voice actors
That Darn Cat!	1965 movies, American family movies, Disney movies, English-language movies, Movies based on books, Movies about cats
Joubert syndrome	Syndromes
Joakim Noah	1985 births, Living people, African-American basketball players, Chicago Bulls players, Sportspeople from Chicago, Sportspeople from Florida, Sportspeople from New York City, American basketball players
2012 Anaheim riots	2012 crimes in the United States, 2010s in California, 2010s riots, Crime in California, History of Anaheim, California, July events, Riots in the United States
Carlos Büsser	1928 births, 2012 deaths, Argentine military people, Deaths from myocardial infarction
Taj Gibson	1988 births, Living people, African-American basketball players, Chicago Bulls players, Sportspeople from Chicago, Sportspeople from New York City, American basketball players
Richard Hamilton (basketball)	1988 births, Living people, African-American basketball players, Chicago Bulls players, Sportspeople from Chicago, Sportspeople from New York City, National Basketball Association players with retired numbers, American basketball players
Mast cell	Cells, Immunology
Bonde da Stronda	Hip hop bands, People from Rio de Janeiro
Critical point (thermodynamics)	Thermodynamics
Yi Hwang	Korean people, Confucianism, 1501 births, 1570 deaths
Impossibilism	Marxism, Socialism
Denmark at the 2012 Summer Olympics	2012 Summer Olympics, Sport in Denmark, 2010s in Denmark
Diving at the 2012 Summer Olympics	2012 Summer Olympics
Petén Department	Departments of Guatemala
Paean (god)	Greek gods and goddesses
Paion	Settlements in Greece
List of books by Stephen King	Fiction books, Books by Stephen King, Lists of books
Money, Money, Money	Pop songs, ABBA songs, 1976 songs
Robin Hood (1973 movie)	1973 comedy movies, 1970s musical movies, American animated movies, American buddy movies, American musical comedy movies, Disney animated movies, Movies about animals, Movies composed by George Bruns
The Great Mouse Detective	1986 movies, American family movies, American musical movies, Disney animated movies, English-language movies
List of The Amazing World of Gumball episodes	Lists of animated television series episodes
Habima Theatre	Buildings and structures in Tel Aviv, Theatres
Tel-O-Fun	Transport in Israel, Cycling
Vladimir Radmanović	1980 births, Living people, Chicago Bulls players, Serbian people
Alex Karras	1935 births, 2012 deaths, Deaths from renal failure, American football players, American wrestlers, American movie actors, American television actors, American stage actors, American voice actors, Actors from Indiana, Actors from Chicago, Writers from Indiana, Writers from Chicago, People from Gary, Indiana
Susan Clark	1940 births, Living people, Canadian movie actors, Canadian television actors, Canadian stage actors, Canadian voice actors, Actors from Toronto, Emmy Award winning actors
Emmanuel Lewis	1971 births, Living people, American child actors, American movie actors, American television actors, American stage actors, American voice actors, Actors from New York City
Jack Kruschen	1922 births, 2002 deaths, Canadian movie actors, Canadian television actors, Canadian stage actors, Canadian voice actors, American movie actors, American television actors, American stage actors, American voice actors, American radio actors, Naturalized citizens of the United States, People from Winnipeg
Jayma Mays	1979 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Tennessee
Andy Samberg	1978 births, Living people, American movie actors, American rap musicians from California, American stage actors, American television actors, American television directors, American television producers, American television writers, American voice actors, Comedians from California, Musicians from Berkeley, California, Singers from Berkeley, California, Actors from Berkeley, California, Writers from Berkeley, California, American Internet celebrities
Kris Humphries	1985 births, Living people, American basketball players, New Jersey Nets players, Sportspeople from Minnesota
Kourtney Kardashian	1979 births, Living people, Models from Los Angeles, California, American television actors, American television personalities, Actors from Los Angeles, California, Kardashian family
Kris Jenner	1955 births, Living people, American fashion designers, American socialites, American television producers, Businesspeople from California, Kardashian family, Writers from San Diego, California, Television personalities from California
David Prowse	1935 births, 2020 deaths, Actors from Bristol, English movie actors, English stage actors, English television actors, English voice actors, Bodybuilders, People with cancer, Weightlifters
Bill Gates Sr.	1925 births, 2020 deaths, Deaths from Alzheimer's disease, American lawyers, Bill Gates, Writers from Washington
Tanya Tucker	Country musicians, Musicians from Texas, 1958 births, Living people
Chain rule	Mathematical analysis
Gush Dan	Metropolitan areas, Regions of Israel, Tel Aviv
Russet sparrow	Passeri
Myton-on-Swale	Villages in North Yorkshire, Civil parishes in North Yorkshire
Luke Nelson	1893 births, 1985 deaths, New York Yankees players, American baseball players, Sportspeople from Illinois
Scafell Pike	Mountains of the United Kingdom, Geography of England, National Trust properties
No contest	Legal terms
Tom Kane	1962 births, Living people, American movie actors, American television actors, American video game actors, American voice actors, Actors from Kansas, Overland Park, Kansas
Paul Winfield	1939 births, 2004 deaths, Actors from Los Angeles, California, African American actors, American movie actors, American stage actors, American television actors, American voice actors, Deaths from diabetes, Deaths from myocardial infarction, Emmy Award winning actors, LGBT actors, LGBT African Americans
Mark Slade	1939 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, American radio actors, American writers, American television writers, American artists, Actors from Massachusetts, Writers from Massachusetts, People from Salem, Massachusetts
Nicolas Roeg	1928 births, 2018 deaths, British cinematographers, Movie directors from London
Don King	1931 births, Living people, Businesspeople from Cleveland, Ohio
Dave Chappelle	Grammy Award winners, Emmy Award winning actors, 1973 births, Living people, Comedians from Washington, D.C., Writers from Washington, D.C., American screenwriters, American movie producers, American television producers, American movie actors, American television actors, American television writers, American voice actors, African American actors, Actors from Washington, D.C., Actors from Maryland, Writers from Maryland, Comedians from Maryland, People from Silver Spring, Maryland
Emile Hirsch	1985 births, Living people, American movie actors, American television actors, American voice actors, American child actors, Actors from Los Angeles, California
Bryan Cranston	1956 births, Living people, Actors from Hollywood, American movie actors, American movie directors, American stage actors, American television actors, American voice actors, Emmy Award winning actors, Saturn Award winners, Tony Award winning actors, Writers from Los Angeles, California
Guido Quaroni	1967 births, Living people, Italian movie actors, Italian voice actors, People from Pavia
Franco Nero	1941 births, Living people, Actors from Emilia-Romagna, Italian movie actors, Italian movie directors, Italian stage actors, Italian television actors, Italian voice actors
Dennis Miller	Comedians from Pennsylvania, American movie actors, American television actors, American political commentators, Actors from Pittsburgh, Pennsylvania, Writers from Pittsburgh, Pennsylvania, American screenwriters, Emmy Award winners, 1953 births, Living people
Michael Redgrave	1908 births, 1985 deaths, Actors from Bristol, Actors from Gloucestershire, Bisexual people, Deaths from Parkinson's disease, Disease-related deaths in Buckinghamshire, English LGBT people, English movie actors, English movie directors, English radio actors, English stage actors, English television actors, English voice actors, English writers, LGBT actors, LGBT writers
Corin Redgrave	1939 births, 2010 deaths, Actors from London, British activists, Deaths from prostate cancer, English movie actors, English radio actors, English stage actors, English television actors, English voice actors
Oscar II	1829 births, 1907 deaths, Unexplained deaths, Kings and Queens of Norway, Kings and Queens of Sweden, People from Stockholm
Rob Corddry	1971 births, Living people, American movie actors, American television actors, American voice actors, American television directors, American television producers, American writers, Actors from Massachusetts, Writers from Massachusetts, Emmy Award winning actors
Malayalam Wikipedia	Wikipedias
Phil Silvers	1911 births, 1985 deaths, Deaths from heart failure, American movie actors, American television actors, American stage actors, American voice actors, American radio actors, Comedians from New York City, Actors from New York City, Emmy Award winning actors, Tony Award winning actors
Wade Williams	1961 births, Living people, American movie actors, American television actors, American voice actors, American video game actors, Actors from Tulsa, Oklahoma
Gary Collins	1938 births, 2012 deaths, Deaths from natural causes, American movie actors, American television actors, American stage actors, American voice actors, American radio actors, American television personalities, American radio personalities, American television presenters, Actors from Los Angeles, California, Actors from Mississippi, Emmy Award winning actors, People from Biloxi, Mississippi
Tom Berenger	1949 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Chicago, Emmy Award winning actors, Golden Globe Award winning actors
Julio Alemán	1933 births, 2012 deaths, Deaths from lung cancer, Mexican movie actors, Mexican television actors, Mexican voice actors, Mexican stage actors, Mexican radio actors, People from Michoacán
Gumbel distribution	Probability distributions
List of cities in Turkey	Cities in Turkey, Lists of cities in Asia, Lists of cities in Europe, Turkey-related lists, Lists of cities by country
List of cities in the United Arab Emirates	Lists of cities in Asia, Cities in the United Arab Emirates, Lists of cities by country
List of cities in Uruguay	Lists of cities in South America, Cities in Uruguay, Lists of cities by country
List of cities in Uzbekistan	Cities in Uzbekistan, Lists of cities in Asia, Lists of cities by country
List of settlements in Armenia	Settlements in Armenia, Lists of settlements in Asia, Lists of settlements in Europe
Chris Dodd	1944 births, Living people, American chief executives, American lawyers, American lobbyists, Businesspeople from Connecticut, 2008 United States presidential candidates, United States representatives from Connecticut, United States senators from Connecticut, US Democratic Party politicians
Ronald Neame	1911 births, 2010 deaths, Accidental deaths from falls, British cinematographers, English screenwriters, English movie producers, Movie directors from London
List of cities in the People's Republic of China	Lists of cities in Asia, Cities in China, Lists of cities by country
Tyrone Power	1914 births, 1958 deaths, Actors from Cincinnati, Ohio, American movie actors, American radio actors, American stage actors, American television actors, Cardiovascular disease deaths in Spain, Deaths from myocardial infarction
Anomalocaris	Arthropods, Fossils
Michael Murphy	1938 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Los Angeles, California
Wendy Crewson	1956 births, Living people, Canadian movie actors, Canadian television actors, Canadian stage actors, Canadian voice actors, Canadian LGBT people, Lesbians, Actors from Hamilton
Jeffrey Jones	1946 births, Living people, American movie actors, American sex offenders, American stage actors, American television actors, American voice actors, People convicted of child pornography offenses, Criminals from New York, Actors from Buffalo, New York
List of cities in Venezuela	Cities in Venezuela, Lists of cities in South America, Lists of cities by country
List of cities in Vietnam	Cities in Vietnam, Lists of cities in Asia, Lists of cities by country
List of cities in Western Sahara	Settlements in Western Sahara, Lists of cities in Africa, Lists of cities by country
List of cities in Yemen	Settlements in Yemen, Lists of cities in Asia, Lists of cities by country
Terrence Howard	American movie actors, Actors from Chicago, Actors from Cleveland, Ohio, Singers from Chicago, Singers from Cleveland, Ohio, 1969 births, Living people
Catherine O'Hara	1954 births, Living people, Canadian movie actors, Canadian television actors, Canadian television writers, Canadian stage actors, Canadian voice actors, Canadian comedians, Writers from Ontario, American movie actors, American television actors, American stage actors, American voice actors, American radio actors, American comedians, American television writers, American television personalities, Naturalized citizens of the United States, Actors from Toronto, Emmy Award winners
Christopher Guest	1948 births, Living people, Actors from New York City, American comedians, American composers, American movie actors, American movie directors, American movie producers, American screenwriters, American stage actors, American television actors, American voice actors, Emmy Award winning actors, English comedians, English composers, English movie actors, English movie directors, English movie producers, English stage actors, English television actors, English voice actors
Lipid bilayer	Biochemistry, Cell biology, Plant anatomy
John Letford	1935 births, People from Aberdeen, Scottish politicians, Members of the Order of the British Empire, Living people
Alcester Grammar School	Schools in England, 1499 establishments, 15th century establishments in England
Mycobacterium	Bacteria
Thutmose II	Pharaohs, 1479 BC deaths, Year of birth unknown
Mantoux test	Immunization, Dermatology, Medical tests
Radiology	Medical specialties, Medical imaging
Bacillus Calmette-Guérin	Immunization
Mobutu Sese Seko	1930 births, 1997 deaths, African military people, Anti-Communists, Generals, Presidents of the Democratic Republic of the Congo, Roman Catholics
Mike Rowe	1962 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, American radio actors, American television personalities, American radio personalities, American activists, Actors from Baltimore, Maryland, Singers from Maryland
Bryan Singer	1965 births, Living people, American adoptees, American television directors, American television producers, American television writers, Gay men, LGBT directors, LGBT people from New Jersey, LGBT people from New York, LGBT producers, LGBT screenwriters, Movie directors from New Jersey, Movie directors from New York City, Movie producers from New Jersey, Movie producers from New York City, Saturn Award winners, Screenwriters from New Jersey, Screenwriters from New York City, People accused of child sexual abuse
James Marsden	1973 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Models from Oklahoma, Actors from Oklahoma, Singers from Oklahoma
Brandon Routh	1979 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, American video game actors, American models, Actors from Iowa, Saturn Award winners
Dick Durbin	1944 births, Living people, US Democratic Party politicians, United States representatives from Illinois, United States senators from Illinois, People from East St. Louis, Illinois, 21st-century American politicians, American Roman Catholics, Politicians from Springfield, Illinois
Finger painting	Painting
Madison Bumgarner	1989 births, Living people, San Francisco Giants players, Sportspeople from North Carolina
Tedy Bruschi	1973 births, Living people, New England Patriots players, Sportspeople from San Francisco
Benjamin Kogo	1945 births, Living people, Kenyan people, Olympic silver medalists
Leslie Mann	1972 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from San Francisco
Polio vaccine	Immunization
Nick Frost	1972 births, Living people, Actors from London, Comedians from London, English movie actors, English screenwriters, English stage actors, English television actors, English voice actors, People from Barking and Dagenham (London borough), Writers from London
List of cities in the Bahamas	The Bahamas, Lists of cities in North America, Lists of cities by country
Cecilius Calvert, 2nd Baron Baltimore	Baltimore, Maryland, Colonial Americans, British Barons
Gabourey Sidibe	1983 births, Living people, Actors from New York City, African American actors, American movie actors, American television actors
America Ferrera	1984 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, Democrats (United States), Actors from Los Angeles, California, Golden Globe Award winning actors, Emmy Award winning actors, Screen Actors Guild Award winners
Bill Hader	1978 births, Living people, Actors from Tulsa, Oklahoma, American comedians, American movie actors, American movie producers, American stage actors, American television actors, American television personalities, American television producers, American voice actors, Writers from Tulsa, Oklahoma
Jack Gilford	1908 births, 1990 deaths, Deaths from stomach cancer, American movie actors, American television actors, American stage actors, Comedians from New York City, Actors from New York City
Berry Gordy	African American musicians, American R&B musicians, Musicians from Detroit, Michigan, 1929 births, Living people
Tchoukball	Team sports
David Spade	1964 births, Living people, American voice actors, American screenwriters, American radio personalities, American radio actors, American movie actors, American television actors, American television personalities, American stage actors, People from Scottsdale, Arizona, Actors from Arizona, Actors from Michigan, Comedians from Arizona, Comedians from Michigan
List of cities in Brazil	Cities in Brazil, Lists of cities in South America, Lists of cities by country
Lee Dong-hae	1986 births, Living people, South Korean singers, South Korean actors, J-pop singers, K-pop singers
Kristine Sutherland	1955 births, Living people, Actors from Idaho, American television actors, American movie actors, People from Boise, Idaho
Mirage	Optics, Atmosphere
Titus Salt	1803 births, 1876 deaths, English businesspeople, People from Yorkshire, Chief executives
Insei	History of Japan, 11th century, 12th century
Fingerspelling	Sign languages
Siege of Sidney Street	1911, 1910s in England, 20th century in London, Anarchism, Deaths by firearm in England, Murder in London
Provence	Provence-Alpes-Côte d'Azur
Battle of Camden	Battles of the American Revolutionary War, 1780, 1780s in the United States, 18th century in South Carolina, August events
540	540
Hiratsuto Station	Railway stations in Iwate Prefecture, Iwate Prefecture, Rail transport in Japan
Emma (wrestler)	1989 births, Living people, WWE wrestlers, Australian models, Sportspeople from Melbourne, Female professional wrestlers
Melinda Clarke	Actors from Orange County, California, American movie actors, American television actors, American voice actors, 1969 births, Living people
Miyako, Iwate	Settlements in Iwate Prefecture, Cities in Japan
Smedestraat 33	Buildings and structures in the Netherlands, Haarlem
Lyrick Studios	1983 establishments in the United States, 2001 disestablishments in the United States, 1980s establishments in Texas, American entertainment companies, Companies based in Texas, Defunct companies of the United States, 21st-century disestablishments in Texas
Malala Yousafzai	Pakistani people, Activists, Bloggers, Children, Crime victims, 1997 births, Living people
Winfield Scott	1786 births, 1866 deaths, American generals, Military people from Virginia
Vaporizer (cannabis)	Smoking, Cannabis
Matthew C. Perry	1794 births, 1858 deaths, American military people, People from Newport, Rhode Island
Bryan Brown	1947 births, Living people, Actors from Sydney, Australian movie actors, Australian stage actors, Australian television actors, Australian voice actors
Christoph Waltz	1956 births, Living people, Austrian movie actors, Austrian television actors, Austrian voice actors, Austrian stage actors, German movie actors, German television actors, German voice actors, German stage actors, Actors from Vienna, Actors who played Bond villains, Academy Award winning actors, Golden Globe Award winning actors, Satellite Award winners, BAFTA Award winning actors, Screen Actors Guild Award winners
Sikkim National Party	Sikkim
Sirimavo Bandaranaike	1916 births, 2000 deaths, Deaths from myocardial infarction, Sri Lankan politicians, Prime ministers, Buddhists, Prime Ministers of Sri Lanka
Protein folding	Proteins
Anfinsen's dogma	Molecular biology, Proteins
Little Thatch and Hathaway Cottage	Listed buildings, Babergh
Murder of Polly Klaas	1993 crimes, 1993 in California, 1990s crimes in California, 1990s murders in the United States, Deaths by strangulation, Kidnapped American people, October events
Vanessa Hessler	Italian actors, American television actors, American models, Actors from Rome, 1988 births, Living people
Flow chart	Charts, Management
Ahmet Kaya	1957 births, 2000 deaths, Turkish singers
John Clive	1933 births, 2012 deaths, English movie actors, English television actors, English stage actors, English radio actors, English voice actors, English writers, Actors from London, Writers from London
George Romney	1907 births, 1995 deaths, Deaths from myocardial infarction, Chief executives, United States Secretaries of Housing and Urban Development, Businesspeople from Detroit, Michigan, 1968 United States presidential candidates, US Republican Party politicians, Governors of Michigan, Politicians from Detroit, Michigan
All Smiles Dental Centers	2002 establishments in the United States, Companies based in Texas, Dentistry, 2000s establishments in Texas
Lenore Romney	1908 births, 1998 deaths, Deaths from stroke, American movie actors, Businesspeople from Michigan, Businesspeople from Salt Lake City, Utah, American chief executives, Actors from Michigan, Actors from Salt Lake City, Utah, Politicians from Michigan, Politicians from Salt Lake City, Utah, US Republican Party politicians, People from Logan, Utah
Patricia Clarkson	American movie actors, American television actors, Actors from New Orleans, Louisiana, 1959 births, Living people, Emmy Award winning actors
Tokyo Imperial Palace	Palaces, Buildings and structures in Tokyo
Leaf-cutter ant	Ants
Governor of Michigan	Governors of Michigan
Anisul Hoque	1965 births, Living people, Bangladeshi writers, Bangla Academy Literary Award winners
Kabir Bakul	1966 births, Living people, Lyricists, Bangladeshi poets, screenwriters, Recipients of Bangladesh National Film Awards
Marisa Miller	1978 births, Models from California, Living people, Actors from California
Louis-Frédéric	1923 births, 1996 deaths, Japanologists, French writers, Translators, Editors
Lois Griffin	Fictional characters introduced in 1999, Family Guy characters
Demographics	Demographics, Statistics
The Many Adventures of Winnie the Pooh	1977 movies, American animated movies, American buddy movies, American family movies, American musical comedy movies, 1970s comedy movies, Disney animated movies, Movies about bears, Movies based on books, Movies composed by George Bruns, Musical movies, Winnie the Pooh
The Black Cauldron (movie)	1985 movies, American animated movies, Disney animated movies
The Rescuers Down Under	1990 movies, American animated movies, American family movies, Buddy movies, Disney animated movies, Disney Renaissance, English-language movies, Movies based on books, Movies about animals
Fantasia 2000	1999 movies, 1999 animated movies, 1990s musical movies, 1990s sequel movies, American family movies, American musical fantasy movies, American sequel movies, Disney animated movies
The Emperor's New Groove	2000 movies, 2000 animated movies, American animated movies, American family movies, American musical movies, Buddy movies, Disney animated movies, English-language movies, Internet memes, Movies composed by John Debney, Movies set in Peru, Self-reflexive movies, The Emperor's New Groove
Dave Pasch	1972 births, Living people, Golf broadcasters, National Hockey League broadcasters, College football broadcasters, National Football League broadcasters, College basketball broadcasters, National Basketball Association broadcasters, people from Wisconsin
2012 Green Bay Packers season	National Football League seasons, 2012 in sports, 2012 in the United States, 21st century in Wisconsin
Small Smiles Dental Centers	Companies of the United States, Dentistry
Denmark at the 1972 Summer Paralympics	1972 Summer Paralympics, Sport in Denmark
Ernest Frederick I, Duke of Saxe-Hildburghausen	1681 births, 1724 deaths, House of Wettin, Dukes and duchesses
Espadrille	Footwear
ReachOut Healthcare America	Companies of the United States, Dentistry, Phoenix, Arizona, 1997 establishments in the United States, 1990s establishments in Arizona
Hinglaj Shakti Peeth	Hindu temples, Gujarat
Edo-Tokyo Museum	Museums in Tokyo, 1993 establishments in Asia, 1990s establishments in Japan
Self-organization	Systems theory, Biology
Okayama Prefectural Museum	Museums in Japan, Okayama Prefecture
French Indochina	Asia
Tara (Ireland)	Villages in Ireland
Kyushu Ceramic Museum	Art museums in Japan, Saga Prefecture, Ceramics
Arita, Saga	Towns in Japan, Settlements in Saga Prefecture
Asteria	Titans
Venusia	Towns in Italy, Settlements in Basilicata
Peer Gynt	Poems, Plays
Fukui Prefectural Dinosaur Museum	Museums in Japan, Dinosaurs, 2000 establishments in Japan, Fukui Prefecture
Jake LaMotta	1921 births, 2017 deaths, Deaths from pneumonia, Disease-related deaths in Florida, People with Alzheimer's disease, American boxers, Sportspeople from New York City, People from the Bronx
