Estate (law)	Law
Tarcísio Meira	1935 births, 2021 deaths, Deaths from the COVID-19 pandemic in Brazil, People from São Paulo, Brazilian movie actors, Brazilian television actors
Othon Bastos	1933 births, Living people, Brazilian movie actors, Brazilian television actors
Danuza Leão	1933 births, Living people, Models, Columnists, Brazilian movie actors, Brazilian writers
Lorne Munroe	1924 births, 2020 deaths, Naturalized citizens of the United States, American cellists, Canadian musicians, People from Winnipeg
Fort Yuma	1955 movies, 1950s western movies, American western movies, Movies directed by Lesley Selander
Desk Set	1957 comedy movies, 1950s romantic comedy movies, American romantic comedy movies, Movies based on plays, Movies directed by Walter Lang
Island in the Sun (movie)	1957 movies, 1950s romance movies, American romance movies, Movies based on books, 20th Century Fox movies, Movies directed by Robert Rossen
Socio-economic impact of the COVID-19 pandemic	COVID-19 pandemic
Kattode	Villages in Pathanamthitta district
Three Young Texans	1954 movies, 1950s western movies, American western movies, Movies directed by Henry Levin
Isolation (health care)	Nursing
COVID-19 recession	COVID-19 pandemic
Kattoor, Pathanamthitta	Villages in Pathanamthitta district
Kaviyoor	Villages in Pathanamthitta district
Kavumbhagom	Villages in Pathanamthitta district
COVID-19 misinformation	COVID-19 pandemic
Remdesivir	Drugs, COVID-19 pandemic
Dar Yasin	Indian journalists, Pulitzer Prize winners
Ciro Pessoa	1957 births, 2020 deaths, Deaths from the COVID-19 pandemic in Brazil, People with cancer, Brazilian singers, Brazilian poets, Brazilian musicians, Guitarists, Songwriters, People from São Paulo
Didi Kempot	1966 births, 2020 deaths, Deaths from cardiac arrest, Indonesian singers, Indonesian writers, Singer-songwriters, Asian philanthropists
Taufiq Kiemas	1942 births, 2013 deaths, Deaths from myocardial infarction, First Ladies and Gentlemen of Indonesia
Mark Beech (writer)	1959 births, 1960 births, 2020 deaths, Road accident deaths in the United Kingdom, British journalists, Critics, Writers from London
Tinley Park, Illinois	Villages in Illinois, Settlements in Cook County, Illinois, Suburbs of Chicago, Illinois
Nokia 5730 XpressMusic	Nokia mobile phones
History of Ireland	Pages created with the Article Wizard from 2020, History of Ireland
Beaujeu, Alpes-de-Haute-Provence	Communes in Alpes-de-Haute-Provence
Beauvezer	Communes in Alpes-de-Haute-Provence
Bellaffaire	Communes in Alpes-de-Haute-Provence
Celtic mythology	Celtic peoples, Mythology, Paganism
Yemenite architecture	Yemen, Architecture
My Cousin Rachel (movie)	1952 movies, 1950s romance movies, 1950s mystery movies, American mystery movies, American romance movies, Movies based on books, Movies directed by Henry Koster
You Can't Run Away from It	1956 comedy movies, 1950s musical movies, American musical movies, American comedy movies
Raintree County	1957 movies, 1950s romance movies, American romance movies, Movies based on books, Movies directed by Edward Dmytryk
Guadalupe bass	Centrarchidae, IUCN Red List data deficient species, Near threatened species, Perciformes
Blackboard Jungle	1955 drama movies, American drama movies, Movies based on books, Movies directed by Richard Brooks
The Adventures of Quentin Durward	1955 movies, 1950s adventure movies, American adventure movies, British adventure movies, Movies directed by Richard Thorpe
Wyoming (1940 movie)	1940 movies, 1940s western movies, American western movies, Movies directed by Richard Thorpe
Bevons	Communes in Alpes-de-Haute-Provence
Beynes, Alpes-de-Haute-Provence	Communes in Alpes-de-Haute-Provence
Blieux	Communes in Alpes-de-Haute-Provence
Bras-d'Asse	Communes in Alpes-de-Haute-Provence
Braux, Alpes-de-Haute-Provence	Communes in Alpes-de-Haute-Provence
La Bréole	Former communes in Alpes-de-Haute-Provence
Ubaye-Serre-Ponçon	2017 establishments in France, Communes in Alpes-de-Haute-Provence
La Brillanne	Communes in Alpes-de-Haute-Provence
Brunet, Alpes-de-Haute-Provence	Communes in Alpes-de-Haute-Provence
Le Brusquet	Communes in Alpes-de-Haute-Provence
The Year of Living Dangerously (movie)	1982 drama movies, 1980s romantic drama movies, 1980s war movies, Australian drama movies, American romantic drama movies, Movies based on books, Movies directed by Peter Weir
Crossfire (movie)	1947 movies, 1940s crime movies, 1940s drama movies, American crime drama movies, Movies based on books, Movies directed by Edward Dmytryk
Le Caire	Communes in Alpes-de-Haute-Provence
Castellane	Communes in Alpes-de-Haute-Provence, Subprefectures in France
Arse	English profanity, Slang
Le Castellard-Mélan	Communes in Alpes-de-Haute-Provence
Le Castellet, Alpes-de-Haute-Provence	Communes in Alpes-de-Haute-Provence
Castellet-lès-Sausses	Communes in Alpes-de-Haute-Provence
Céreste	Communes in Alpes-de-Haute-Provence
Le Chaffaut-Saint-Jurson	Communes in Alpes-de-Haute-Provence
Champtercier	Communes in Alpes-de-Haute-Provence
Zarina (artist)	Deaths from Alzheimer's disease, Indian artists, American artists, Naturalized citizens of the United States, 1937 births, 2020 deaths
Renee Amoore	1953 births, 2020 deaths, American political activists, American physicians, Scientists from Philadelphia, Pennsylvania, Politicians from Philadelphia, Pennsylvania, People from Bryn Mawr, Pennsylvania, US Republican Party politicians
Kiing Shooter	1995 births, 2020 deaths, American rap musicians from New York, American songwriters, Writers from New York City, American hip hop musicians, Musicians from New York City, Deaths from the COVID-19 pandemic in the United States
Monuments, Fine Arts, and Archives program	World War II
Alfred "Uganda" Roberts	1943 births, 2020 deaths, American jazz musicians, American funk musicians, Deaths from lung cancer, Musicians from New Orleans, Louisiana
Michael McClure	1932 births, 2020 deaths, Deaths from stroke, American poets, American playwrights, American songwriters, American critics, American novelists, Writers from Kansas, Writers from San Francisco
Bill Parcells	1941 births, Living people, People from Englewood, New Jersey, Detroit Lions players, American football coaches, Sportspeople from New Jersey
Haworth, New Jersey	Boroughs in New Jersey
China Gate (movie)	1957 movies, 1950s action movies, American action movies, 20th Century Fox movies, Movies directed by Samuel Fuller
Angela Nicole Walker	1974 births, Living people, American political activists, 2020 United States vice-presidential candidates, Green Party of the United States politicians, Politicians from Milwaukee, Wisconsin, Politicians from South Carolina
Doug Collins (politician)	1966 births, Living people, United States representatives from Georgia, State legislators of the United States, US Republican Party politicians
Gainesville, Georgia	County seats in Georgia, Cities in Georgia (U.S. state)
Bad Day at Black Rock	1955 movies, 1950s thriller movies, American thriller movies, Movies directed by John Sturges
Hall County, Georgia	1818 establishments in Georgia (U.S. state), Georgia (U.S. state) counties
Our Girl Friday	1953 comedy movies, 1950s romantic comedy movies, British romantic comedy movies, Movies based on books
Mogambo	1953 movies, 1950s adventure movies, 1950s romance movies, American adventure movies, British adventure movies, Movies based on plays, Movies directed by John Ford
Straight Shooting	1917 movies, American western movies, American silent movies, Movies directed by John Ford
A Day at the Races (movie)	1937 movies, 1930s comedy movies, American comedy movies, Movies directed by Sam Wood
Nadine Coyle	Irish pop singers, Living people, R&B musicians, 1985 births
Café Metropole	1937 movies, 1930s romance movies, 1930s comedy movies, American romantic comedy movies, 20th Century Fox movies, Movies directed by Edward H. Griffith
Heidi Range	British R&B musicians, English pop musicians, English singer-songwriters, Living people, Musicians from Liverpool, 1983 births
Adventure's End	1937 movies, 1930s adventure movies, American adventure movies, Movies directed by Arthur Lubin
Rotimi (actor)	American singers, Living people, 1988 births
Back to Bataan	1945 movies, 1940s war movies, 1940s drama movies, American war movies, American drama movies, World War II movies, Movies directed by Edward Dmytryk
Sikatiya	Villages in Bihar
St. Lunatics	Hip hop bands, Musical groups established in 1993, Musical quintets, 1990s American music groups, 1991 establishments in the United States
Dakota (movie)	1945 movies, 1940s western movies, American western movies
Welcome, Mr. Washington	1944 drama movies, British drama movies, Movies directed by Leslie S. Hiscott
Beyond the Rocks (1922 movie)	1922 movies, 1920s drama movies, 1920s romance movies, American romantic drama movies, American silent movies, Movies based on books, Movies directed by Sam Wood
Tourniquet	Emergency medicine, Medical equipment
Love, Life and Laughter	1923 movies, 1920s drama movies, British drama movies, Silent movies, Movies directed by George Pearson
Brown of Harvard (1926 movie)	1926 movies, 1920s drama movies, American sports drama movies, American silent movies, Movies directed by Jack Conway
Bardelys the Magnificent	1926 movies, 1920s romance movies, 1920s drama movies, American romantic drama movies, American silent movies, Movies directed by King Vidor
Ilya Prusikin	1985 births, Living people, Russian singers
2018 Stanley Cup Finals	Stanley Cup Finals, 2018 in ice hockey
Old Ford	Areas of London, London Borough of Tower Hamlets
Ksawery Jasieński	1931 births, Polish voice actors, Living people
Magdalena Jasek	Living people, 1993 births, People from Warsaw, Models
Kasia Urbaniak	1978 births, Living people, American businesspeople, American educators
Michal Urbaniak	1943 births, Living people, Jazz composers, Polish people, Violinists
Sicarii	Ancient history, Assassins, History of Israel, Jewish denominations, Jewish history, Roman Empire, Secret societies, Terrorism
Tennessee Democratic Party	Political parties in the United States, Tennessee
Souls (series)	Video games, Role-playing video games
Dark Souls	Video games, Role-playing video games, PlayStation 3 games, Xbox 360 games
Oxygen therapy	Medicine
Urban structure	Urban and regional sciences
Together at Home	COVID-19 pandemic, Concerts
The Wackiest Ship In the Army	1960 comedy movies, American comedy movies, World War II movies
An Affair to Remember	1957 movies, 1950s romance movies, American romance movies, American movie remakes, Movies directed by Leo McCarey
Forty Guns	1957 movies, 1950s western movies, American western movies, 20th Century Fox movies, Movies directed by Samuel Fuller
Demon's Souls	2009 video games, Role-playing video games, PlayStation 3 games, PlayStation 3-only games
Rockabilly Baby	1957 movies, 1950s musical movies, American musical movies, Movies directed by William F. Claxton
FromSoftware	1986 establishments in Japan, Video game companies, Companies of Japan, Tokyo
Hidetaka Miyazaki	1974 births, Japanese artists, Japanese video game designers, Living people, People from Shizuoka Prefecture
Johnny Apollo (movie)	1940 movies, 1940s crime movies, American crime drama movies, Movies directed by Henry Hathaway
Heritage of the Desert (1932 movie)	1932 movies, 1930s western movies, American western movies, Movies based on books, Movies directed by Henry Hathaway
The Big Trail	1930 movies, 1930s western movies, American western movies, Movies directed by Raoul Walsh
Cherry, Harry & Raquel!	1969 comedy movies, American comedy movies, Movies directed by Russ Meyer
Casa Grande, Arizona	Cities in Arizona
Millie Small	1946 births, 2020 deaths, Deaths from stroke, Jamaican singers, Songwriters
My Boy Lollipop	1956 songs, 1964 songs
Nahum Rabinovitch	1928 births, 2020 deaths, Israeli rabbis, People from Montreal
Florian Schneider	1947 births, 2020 deaths, Cancer deaths in Germany, German pop singers, Guitarists, Violinists, Saxophonists, German pianists, Drummers, German pop musicians, Electronic musicians, People from Baden-Württemberg
Dmitry Bosov	1968 births, 2020 deaths, Suicides by firearm, Russian businesspeople, Billionaires
The Iron Horse (movie)	1924 movies, 1920s western movies, American western movies, American silent movies, Movies directed by John Ford
The Young Rajah	1922 movies, 1920s romance movies, 1920s drama movies, American romantic drama movies, Movies based on books
Hit the Deck	1955 movies, 1950s musical movies, American musical movies
VRML	Internet, Computer file formats, ISO standards, Graphics, Computing
Chequers	Buckinghamshire, Buildings and structures in England, Palaces in the United Kingdom
Wrabel	American pop singers, American songwriters, Living people, 1989 births
Rock Mafia	American record producers, American songwriters, Musical groups established in the 2000s, 2000s American music groups, 2000s establishments in the United States
Girlicious	American pop music groups, American R&B bands, Musical groups disestablished in 2011, Musical groups established in 2007, Musical groups from Los Angeles, California, Musical quartets, 2000s American music groups, 2007 establishments in the United States, 2011 disestablishments in the United States
Jaykae	English rap musicians, Grime music artists, Living people, 1991 births
Cheer Up and Smile	1930 movies, 1930s musical movies, American musical movies, 20th Century Fox movies, Movies directed by Sidney Lanfield
Burna Boy	Atlantic Records artists, Living people, Nigerian singers, Songwriters, 1991 births
Rough Romance	1930 movies, 1930s adventure movies, 1930s western movies, American western movies
Happy Days (1929 movie)	1929 movies, American musical movies, Movies directed by Benjamin Stoloff
King of Jazz	1930 movies, 1930s musical movies, 1930s comedy movies, American musical comedy movies
Today We Live	1933 movies, 1930s drama movies, American romantic drama movies, World War I movies, Movies based on books, Movies directed by Howard Hawks, Movies directed by Richard Rosson
Queen Christina (movie)	1933 movies, 1930s drama movies, American biographical movies, American LGBT movies, American romantic drama movies, Movies directed by Rouben Mamoulian
Nancy Kwan	Golden Globe Award winning actors, 1939 births, Living people, Naturalized citizens of the United States, Actors from Hong Kong, American movie actors, American television actors, American stage actors, American activists, Actors from Los Angeles, California, Businesspeople from Los Angeles, California
Pier Angeli	Golden Globe Award winning actors, 1932 births, 1971 deaths, Drug-related deaths in the United States, Twin people, Italian movie actors, Italian television actors, Italian stage actors, People from Sardinia
Marisa Pavan	Golden Globe Award winning actors, 1932 births, Living people, Italian movie actors, Italian television actors, Italian stage actors, Twin people, People from Sardinia
The Concorde... Airport '79	1979 movies, 1970s thriller movies, American thriller movies, Movies directed by David Lowell Rich
Bella Darvi	1928 births, 1971 deaths, Polish movie actors, Polish television actors, Polish stage actors, People who committed suicide, Golden Globe Award winning actors
Dana Wynter	Golden Globe Award winning actors, 1931 births, 2011 deaths, Deaths from congestive heart failure, Cardiovascular disease deaths in California, German movie actors, German television actors, German stage actors, English movie actors, English television actors, English stage actors, Actors from Berlin
Invasion of the Body Snatchers	1956 movies, 1950s horror movies, American science fiction movies, American horror movies, Movies based on books, Movies directed by Don Siegel, Apocalyptic movies
Diane Varsi	1938 births, 1992 deaths, Deaths from respiratory failure, American movie actors, American television actors, American dancers, Golden Globe Award winning actors, Actors from California, People from San Mateo, California
Linda Cristal	1934 births, 2020 deaths, Argentine movie actors, Argentine television actors, American movie actors, American television actors, American stage actors, Actors from Buenos Aires, Naturalized citizens of the United States, Golden Globe Award winning actors
Janet Munro	Golden Globe Award winning actors, 1934 births, 1972 deaths, Deaths from myocardial infarction, English movie actors, English television actors, English stage actors, People from Blackpool, Actors from Lancashire
List of Priyanka Chopra Jonas performances	Indian filmographies
Wuhan Institute of Virology	China, COVID-19 pandemic
Ina Balin	1937 births, 1990 deaths, Deaths from lung disease, American movie actors, American television actors, American stage actors, Actors from New York City
Operation Mad Ball	1957 comedy movies, American comedy movies, Movies directed by Richard Quine
Rita Tushingham	BAFTA Award winning actors, Golden Globe Award winning actors, 1942 births, Living people, English movie actors, English television actors, English stage actors, Actors from Liverpool
Stopover Tokyo	1957 movies, American mystery movies, Japanese movies, 1950s mystery movies
Elke Sommer	1940 births, Living people, German movie actors, German television actors, German stage actors, Actors from Berlin, Golden Globe Award winning actors
Samsung Galaxy Watch	Clocks, Samsung
Olivia Hussey	Golden Globe Award winning actors, 1951 births, Living people, Argentine television actors, English movie actors, English television actors, English stage actors, People from Buenos Aires
India Eisley	1993 births, Living people, American movie actors, American television actors, American stage actors, Actors from Los Angeles, California
Pallavi Sharda	1990 births, Living people, Australian movie actors, Australian television actors, Indian movie actors, Indian television actors, Actors from Perth, Western Australia, Actors from Melbourne, Actors from Mumbai
Noomi Rapace	1979 births, Living people, Swedish movie actors, Swedish television actors, Swedish voice actors, Satellite Award winners
Prometheus (2012 movie)	2012 science fiction movies, 2012 horror movies, Alien movies, Movies directed by Ridley Scott
Bella ciao	Songs
Italian resistance movement	World War II
Resistance movement	Civil disobedience
Brian Howe (singer)	1953 births, 2020 deaths, Deaths from cardiac arrest, Cardiovascular disease deaths in Florida, English singer-songwriters, English rock singers, English rock guitarists, Musicians from Hampshire, Writers from Hampshire, People from Portsmouth
Daisy Lúcidi	1929 births, 2020 deaths, Deaths from the COVID-19 pandemic in Brazil, Brazilian movie actors, Brazilian television actors, Brazilian stage actors, Voice actors, Radio actors, People from Rio de Janeiro
HR 6819	May 2020 events, Black holes
Peque Gallaga	1943 births, 2020 deaths, Filipino writers, Filipino actors, Movie directors, Screenwriters, Deaths from pneumonia
SpongeBob SquarePants (season 12)	SpongeBob SquarePants seasons, 2010s television seasons, 2019 television seasons, 2020 television seasons
Ancient Southeast Asia	Southeast Asia
Shit happens	Language, Phrases
Middle finger	Limbs and extremities
Cowboy (movie)	1958 movies, 1950s western movies, American western movies, Movies based on books, Movies directed by Delmer Daves
The Lady Takes a Sailor	1949 movies, 1940s romance movies, 1940s comedy movies, American romantic comedy movies, Movies directed by Michael Curtiz
Horseshoe bat	Articles with 'species' microformats, Bats
The Racket	1928 movies, 1920s drama movies, American crime drama movies, American silent movies, Movies directed by Lewis Milestone
High Society Blues	1930 movies, 1930s musical movies, 1930s romance movies, American musical movies, American romance movies, 20th Century Fox movies, Movies directed by David Butler
Muzaffarpur	Settlements in Bihar
Just Imagine	1930 movies, 1930s comedy movies, 1930s science fiction movies, American science fiction movies, American musical movies, American comedy movies, 20th Century Fox movies, Movies directed by David Butler
Muzaffarpur district	Settlements in Bihar, Districts of India
Ty (rapper)	1972 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United Kingdom, Deaths from pneumonia, British rap musicians, Singers from London, Musicians from London
East Lynne (1931 movie)	1931 movies, 1930s drama movies, American drama movies, Movies based on books, Movies directed by Frank Lloyd
The Public Enemy	1931 movies, 1930s crime movies, 1930s drama movies, American crime drama movies, Warner Bros. movies, Movies directed by William A. Wellman
Emile Wijntuin	1924 births, 2020 deaths, Surinamese politicians
Michelle Veintimilla	1992 births, Living people, American movie actors, American television actors, American voice actors, American stage actors
Zachary Quinto	1977 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, American movie producers, LGBT actors, LGBT producers, Gay men, Actors from Pittsburgh, Pennsylvania
Star Trek Beyond	Star Trek movies, 2016 movies, 2010s science fiction movies, 2010s action movies, Paramount movies, English-language movies, Movies directed by Justin Lin
Claude Rains	Tony Award winning actors, 1889 births, 1967 deaths, Deaths from gastrointestinal hemorrhage, British movie actors, British television actors, British stage actors, British radio actors, American radio actors, American movie actors, American television actors, American stage actors, Actors from London
The Invisible Man (1933 movie)	1933 movies, 1930s science fiction movies, 1930s horror movies, American horror movies, American science fiction movies, Movies based on books
The Invisible Man (2020 movie)	2020 horror movies, 2020s science fiction movies, American horror movies, American science fiction movies, Australian movies, Movies based on books
The Invisible Man	Science fiction books
George Mikan	1924 births, 2005 deaths, Deaths from diabetes, Los Angeles Lakers players, National Basketball Association coaches, DePaul University alumni, Sportspeople from Chicago, People from Joliet, Illinois
I'll Get By (movie)	1950 comedy movies, 1950s romance movies, 1950s musical movies, American musical movies, American romantic comedy movies, Movies directed by Richard Sale
Autonomous Region of Bougainville	Autonomous areas, Papua New Guinea
Kinderdijk	Settlements in South Holland, Molenlanden
Sylvia Earle	1935 births, Living people, American biologists, American educators, American environmentalists, Researchers, Scientists from New Jersey, Writers from New Jersey
Gibbstown, New Jersey	Unincorporated communities in New Jersey, Census-designated places in New Jersey
Greenwich Township, Gloucester County, New Jersey	Townships in New Jersey
William Moulton Marston	1893 births, 1947 deaths, Cancer deaths in New York, American psychologists, Wonder Woman, American comics writers, American inventors, Scientists from Massachusetts, Writers from Massachusetts, Businesspeople from Massachusetts
Saugus, Massachusetts	Towns in Massachusetts
Born Reckless (1930 movie)	1930 movies, 1930s comedy movies, American comedy movies, Movies directed by John Ford
Natasha Liu Bordizzo	1994 births, Living people, Australian movie actors, Australian television actors, Australian voice actors, Australian models, Actors from Sydney
Mehmet Ali Talat	1952 births, Living people, Presidents of Northern Cyprus, Prime Ministers of Northern Cyprus
Derviş Eroğlu	1938 births, Living people, Turkish politicians, Presidents of Northern Cyprus, Prime Ministers of Northern Cyprus
Mustafa Akıncı	1947 births, Living people, Turkish politicians, Presidents of Northern Cyprus
Hakkı Atun	1935 births, Living people, Turkish politicians, Speakers of the Assembly of Northern Cyprus, Prime Ministers of Northern Cyprus
Ersin Tatar	1960 births, Living people, Turkish politicians, Current national leaders, Prime Ministers of Northern Cyprus
List of prime ministers of Northern Cyprus	Prime Ministers of Northern Cyprus
Willy Hautvast	1931 births, 2020 deaths, Clarinetists, Dutch composers, Dutch conductors, Dutch musicians, People from Maastricht
Sibel Siber	1960 births, Living people, Prime Ministers of Northern Cyprus, Speakers of the Assembly of Northern Cyprus
List of speakers of the Assembly of the Republic (Northern Cyprus)	Speakers of the Assembly of Northern Cyprus
House of Representatives (Cyprus)	Cyprus
Demetris Syllouris	1953 births, Living people, Presidents of the House of Representatives (Cyprus)
Alexis Galanos	1940 births, 2019 deaths, Presidents of the House of Representatives (Cyprus)
You Can't Have Everything	1937 movies, 1930s musical movies, American musical movies, Movies directed by Norman Taurog
Sibel Kekilli	1980 births, Living people, German movie actors, German television actors, Pornographic actors
Carice van Houten	1976 births, Living people, Dutch movie actors, Dutch television actors, Dutch voice actors, Dutch stage actors, Dutch singers
John Pope (military officer)	1822 births, 1892 deaths, American Civil War, American generals, American military people, People from Louisville, Kentucky
Down Argentine Way	1940 movies, 1940s musical movies, American musical movies, Movies set in South America, 20th Century Fox movies, Movies directed by Irving Cummings
The Mortal Storm	1940 movies, 1940s drama movies, American drama movies, Movies based on books, Movies directed by Frank Borzage
Enemy Agent	1940 movies, 1940s thriller movies, American thriller movies
Slaughter on Tenth Avenue	1957 drama movies, 1950s crime movies, American crime drama movies, Movies directed by Arnold Laven
Church of the Gesù	Roman Catholic churches
Father of the Nation	Nationalism
Round of drinks	Language, Drinks
Killing of Ahmaud Arbery	2020 in the United States, 21st century in Georgia (U.S. state), February 2020 events, 2020 deaths, Deaths by firearm, People murdered in the United States, Black Lives Matter, Racially-motivated violence in the United States
Micropigmentation	Cosmetics, Dermatology
Fraisse-Cabardès	Communes in Aude
Fraissé-des-Corbières	Communes in Aude
Gaja-la-Selve	Communes in Aude
Sara Fabel	Finnish people, Finnish artists, Living people, 1986 births
Ayron	Communes in Vienne
Khichdi	Indian food, National symbols of India, Pakistani food
Richard Jantz	American anthropologists, Living people
Generville	Communes in Aude
Gourvieille	Communes in Aude
Gruissan	Communes in Aude
Homps, Aude	Communes in Aude
Issel, Aude	Communes in Aude
Roquetaillade-et-Conilhac	2019 establishments in France, Communes in Aude
Speech disorder	Human communication, Language
Clatsop County, Oregon	Oregon counties
Clay Center, Nebraska	Cities in Nebraska, County seats in Nebraska
Broken Bow, Nebraska	Cities in Nebraska, County seats in Nebraska
Minden, Nebraska	Cities in Nebraska, County seats in Nebraska
Gering, Nebraska	Cities in Nebraska, County seats in Nebraska
Hyannis, Nebraska	Villages in Nebraska, County seats in Nebraska
Jonquières, Aude	Communes in Aude
Labastide-d'Anjou	Communes in Aude
Laprade, Aude	Communes in Aude
Marc Alfos	French voice actors, 1956 births, 2012 deaths
Condorcet method	Elections
Smith set	Voting systems
Tomás Carlovich	1949 births, 2020 deaths, Deaths by beating, Deaths from cerebral hemorrhage, Murdered sportspeople, Argentine footballers
Cécile Rol-Tanguy	Activists, French centenarians, 1919 births, 2020 deaths
Pairwise comparison	Psychology
Madeleine Riffaud	1924 births, Living people, French journalists, French poets, Activists, War correspondents
Marie-José Chombart de Lauwe	1923 births, Living people, Activists, French sociologists, Scientists from Paris, Writers from Paris
Irish Home Rule	History of Ireland
Frinkcoin	The Simpsons (season 31) episodes, 2020 television episodes
The Mephisto Waltz	1971 horror movies, American horror movies, Movies based on books, Movies directed by Paul Wendkos
Ace High	1968 movies, 1960s western movies, Italian movies, Movies directed by Giuseppe Colizzi
Postal Index Number	India, Postal codes
Esme & Roy	2010s television series, 2018 television series debuts, American television series, Animated television series, Canadian television series, English-language television programs
Aurangabad	Settlements in Bihar, Cities in India
Arie Slob	1961 births, Living people, ChristianUnion politicians, Dutch Calvinists, Dutch councillors, Former leaders of political parties in the Netherlands, Former members of the House of Representatives of the Netherlands, Government ministers of the Netherlands, Politicians from South Holland
Columbia County, Oregon	Oregon counties
Grant County, Oregon	Oregon counties
Dallas, Oregon	Cities in Oregon, County seats in Oregon
Polk County, Oregon	Oregon counties
Paraza	Communes in Aude
Le Thor	Communes in Vaucluse
La Tour-d'Aigues	Communes in Vaucluse
Kangaroo (1952 movie)	1952 movies, 1950s western movies, American western movies, Australian movies, Movies set in Australia, Movies directed by Lewis Milestone
My Sister Eileen	1955 comedy movies, 1950s musical movies, American musical movies, American comedy movies, Movies based on short stories, Movies directed by Richard Quine
Ritva Valkama	1932 births, 2020 deaths, Finnish movie actors, Finnish television actors, Finnish stage actors
Andre Harrell	1960 births, 2020 deaths, Deaths from heart failure, American hip hop musicians, Record producers, Musicians from New York City, Businesspeople from New York City
Wikitongues	2014 establishments in New York (state), Non-profit organizations of New York, Linguistics, New York
Sachiko Honda	1930 births, 2020 deaths, Japanese Go players, Sportswomen
Majority criterion	Voting systems
Proportionality for Solid Coalitions	Voting systems
Tomoko Ogawa	1951 births, 2019 deaths, Japanese Go players, Sportswomen
Borrowing Matchsticks	1980 comedy movies, Finnish movies, Russian movies, Movies based on books, Movies directed by Leonid Gaidai
Winchester '73 (1950 movie)	1950 movies, 1950s western movies, American western movies, Movies directed by Anthony Mann
Two Flags West	1950 movies, 1950s western movies, American western movies, Movies directed by Robert Wise
Born to Kill (1947 movie)	1947 movies, 1940s crime movies, American crime drama movies, Movies based on books, Movies directed by Robert Wise
Hangman's House	1928 movies, 1920s romance movies, 1920s drama movies, American romantic drama movies, American silent movies, Movies directed by John Ford
Under My Skin (movie)	1950 drama movies, American sports drama movies, Movies based on short stories, Movies directed by Jean Negulesco
Never So Few	1959 movies, 1950s action movies, American action movies, World War II movies, Movies directed by John Sturges
Cleansing of the Temple	Jesus Christ, Gospels
Châtelaudren	Former communes in Côtes-d'Armor
Labastide-en-Val	Communes in Aude
Labécède-Lauragais	Communes in Aude
Vermilion, Ohio	Cities in Ohio
Lacombe, Aude	Communes in Aude
Lafage	Communes in Aude
Lairière	Communes in Aude
Lanet	Communes in Aude
Laroque-de-Fa	Communes in Aude
Lasbordes	Communes in Aude
Lagrasse	Communes in Aude
Sougraigne	Communes in Aude
Lastours	Communes in Aude
Laurabuc	Communes in Aude
Laurac	Communes in Aude
Laure-Minervois	Communes in Aude
Lavalette, Aude	Communes in Aude
Lespinassière	Communes in Aude
Les Martys	Communes in Aude
Lézignan-Corbières	Communes in Aude
Limousis	Communes in Aude
Leucate	Communes in Aude
Loei Province	Provinces of Thailand
Katyn massacre	Massacres during Word War II, 1940s in the Soviet Union
Charco Press	Publishers, Translation
Bloomsbury Publishing	Publishing companies, Publishing companies of the United Kingdom
Holtzbrinck Publishing Group	Publishing companies, Publishers, Companies of Germany
Lombards	Ethnic groups in Europe, Former countries in Europe, Germanic tribes, History of Europe, History of Germany, History of Italy, Lombardy
Demi Lovato discography	Discographies
List of songs recorded by Demi Lovato	Lists of songs recorded by American artists
La Louvière-Lauragais	Communes in Aude
Luc-sur-Orbieu	Communes in Aude
Mailhac	Communes in Aude
Maisons, Aude	Communes in Aude
Malves-en-Minervois	Communes in Aude
Marcorignan	Communes in Aude
Marseillette	Communes in Aude
Mas-Cabardès	Communes in Aude
Montauriol, Aude	Communes in Aude
Mas-des-Cours	Communes in Aude
Massac, Aude	Communes in Aude
Mas-Saintes-Puelles	Communes in Aude
Mayreville	Communes in Aude
Mayronnes	Communes in Aude
Mézerville	Communes in Aude
Miraval-Cabardès	Communes in Aude
Mirepeisset	Communes in Aude
Mireval-Lauragais	Communes in Aude
Molandier	Communes in Aude
Montbrun-des-Corbières	Communes in Aude
Montgaillard, Aude	Communes in Aude
Montirat, Aude	Communes in Aude
Montjoi, Aude	Communes in Aude
Montmaur, Aude	Communes in Aude
Monze, Aude	Communes in Aude
Montréal, Aude	Communes in Aude
Montolieu	Communes in Aude
Bridgeport, Nebraska	Cities in Nebraska, County seats in Nebraska
95 (number)	Integers
Montredon-des-Corbières	Communes in Aude
Crook County, Oregon	Oregon counties
Emington, Illinois	Villages in Illinois
Flanagan, Illinois	Villages in Illinois
Odell, Illinois	Villages in Illinois
Young Sheldon	2010s American sitcoms, American television spin-offs, Television series about families, Television series about siblings, English-language television programs
Coos County, Oregon	19th-century establishments in Oregon, 1853 establishments in the United States, Oregon counties
King's Field	1994 video games, Japan exclusive video games, PlayStation games, PlayStation-only games, Role-playing video games, Video games developed in Japan
Prince Frederick, Maryland	Census-designated places in Maryland, County seats in Maryland
Bloodborne	2015 video games, PlayStation 4 games, PlayStation 4-only games, Role-playing video games, Video games developed in Japan
Scarlet Pages	1930 movies, 1930s drama movies, American crime drama movies, Movies based on plays, Movies directed by Ray Enright
Wara Wara	1930 movies, 1930s drama movies, Bolivian movies, Silent movies
