Positron emission tomography	Medical imaging
Carl-Henrik Hermansson	1917 births, 2016 deaths, Swedish politicians, Swedish writers, Communists
God in Hinduism	Hinduism
Izabella Zielińska	1910 births, 2017 deaths, Polish pianists, Polish educators, Centenarians
Kamchatka Time	Russia, Time zones
Pliny's Comedy and Tragedy villas	Buildings and structures in Ancient Rome
Walid Mostafa	Living people, Arab people, Egyptian businesspeople, 1972 births, People from Cairo, Pharmacists
Aulonemia patriae	Bamboo species
Aulonemia purpurata	Bamboo species
Time in Kazakhstan	Kazakhstan, Time by country
Time in Cyprus	Time by country, Cyprus
Juan Luis Maurás	1922 births, 2017 deaths, Presidents of the Senate of Chile, People from Santiago
Jonathan Haze	Actors from Pittsburgh, Pennsylvania, American television actors, American movie actors, 1929 births, Living people
William Kennedy	Pulitzer Prize winners, 1928 births, Living people, American novelists, American journalists, Writers from New York, People from Albany, New York
Peter Fernandez	1927 births, 2010 deaths, Deaths from lung cancer, Cancer deaths in New York, American movie actors, American voice actors, American television actors, American child actors, Models from New York City, American novelists, American video game actors, American stage actors, American radio actors, American military personnel of World War II, American television writers, American television directors, Screenwriters from New York City, Actors from New York City
Courage the Cowardly Dog	Courage the Cowardly Dog, 1999 American television series debuts, American animated television series, American comedy television series, American horror television series, Cartoon Network series, English-language television programs
Thea White	1940 births, 2021 deaths, American voice actors, American television actors, Actors from Newark, New Jersey, Deaths from surgical complications, Infectious disease deaths in New Jersey, Deaths from liver cancer
John R. Dilworth	1968 births, Living people, Animators, Cartoonists, British television actors, British voice actors, British television directors, British television producers, British television writers, Actors from Manchester
Miguel Alfredo González	1983 births, 2017 deaths, Road accident deaths, Philadelphia Phillies players, Cuban sportspeople, People from Havana
Neil Gillman	1933 births, 2017 deaths, American philosophers, American rabbis, Canadian Jews, Cardiovascular disease deaths in New York City, Conservatives, Deaths from thrombosis, Jewish American academics, People from Quebec City
Zeki Zorlu	1939 births, Living people, Turkish businesspeople
Microservices	Computer science
Ahmed Hassan al-Bakr	Presidents of Iraq, 1914 births, 1982 deaths, Vice Presidents of Iraq, People from Tikrit, Iraqi military people, Leaders of political parties, Prime Ministers of Iraq
Ahmad Shah Massoud	Afghan military people, Assassinated people, 2011 deaths, Afghan politicians
John Thierry	1971 births, 2017 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in the United States, American football defensive ends, Chicago Bears players, Green Bay Packers players, Cleveland Browns players, Atlanta Falcons players, Sportspeople from Houston, Texas, Sportspeople from Mississippi
List of parish councils in Cornwall	Politics of Cornwall
Gudrun Pausewang	1928 births, 2020 deaths, German children's writers, German educators, German novelists, Science fiction writers
Anna Kuzmina	1933 births, 2017 deaths, Russian movie actors, Russian television actors, Russian stage actors, Russian writers
Jaime Ortí	1947 births, 2017 deaths, Deaths from lung cancer, Cancer deaths in Spain, Spanish sportspeople, Spanish businesspeople, People from Valencia
Bashkurdistan	Federal subjects of Russia
Jackie Shroff	Indian actors, 1957 births, Living people
Bertha Calloway	1925 births, 2017 deaths, Deaths from pneumonia, American civil rights activists, American historians, Writers from Omaha, Nebraska
Machiko Kyō	1924 births, 2019 deaths, Deaths from heart failure, Japanese movie actors, Japanese television actors, Japanese stage actors, Silent movie actors, People from Osaka
Zorlu Holding	Holding companies of Turkey
Product piracy	Property crimes, Piracy
Doğuş Group	Holding companies of Turkey
Mathura district	Districts of Uttar Pradesh
Mirzapur district	Districts of Uttar Pradesh
Intermediate value theorem	Mathematics
Miroslav Lajčák	1963 births, Living people, Slovakian politicians, Ambassadors, Presidents of the United Nations General Assembly
Wood Moy	1918 births, 2017 deaths, Deaths from pneumonia, Disease-related deaths in New York City, Chinese movie actors, Naturalized citizens of the United States, American movie actors, Actors from New York City
Gene Kotlarek	1940 births, 2017 deaths, American Olympians, American skiers, Sportspeople from Minnesota
Erika Remberg	1932 births, 2017 deaths, Austrian movie actors
Stefan Radt	1927 births, 2017 deaths, Dutch academics, Dutch historians, Dutch Jews, German Jews, Jewish academics, Jewish writers, Naturalised citizens of the Netherlands, Refugees from Nazism, Writers from Berlin
Ángel Berni	1931 births, 2017 deaths, Paraguayan footballers
Sotir Ferrara	1937 births, 2017 deaths, Albanian people, Italian Roman Catholics, Bishops
Milein Cosman	1921 births, 2017 deaths, Illustrators, German artists, British artists
Korean Standard Time	Time by country, South Korea
Georgia Time	Time by country, Georgia (country)
You Make It Feel Like Christmas	2017 albums, Gwen Stefani albums, Pop albums, Christmas albums, R&B albums
Armando Hart	1930 births, 2017 deaths, Deaths from respiratory failure, Cuban politicians, Communists, Political activists, People from Havana
Harry Pregerson	1923 births, 2017 deaths, Deaths from respiratory failure, Disease-related deaths in Los Angeles, American military personnel of World War II, American judges, Politicians from Los Angeles, California, US Democratic Party politicians
Andrzej Wincenty Górski	1920 births, 2017 deaths, Deaths from stroke, Polish educators, Polish scientists, Chemists, Writers from Warsaw
Maurice Chevalier	1888 births, 1972 deaths, Actors from Paris, Deaths from renal failure, Disease-related deaths in Paris, French entertainers, French military personnel of World War I, French movie actors, French prisoners, French singers, French stage actors, French television actors, French voice actors, Jazz musicians, Musicians from Paris, Prisoners of war, Radio actors, Silent movie actors, Tony Award winners
Roddy Maude-Roxby	1930 births, English movie actors, English television actors, English voice actors, English stage actors, Actors from London, Comedians from London
Marni Nixon	1930 births, 2016 deaths, Deaths from breast cancer, Cancer deaths in New York City, American movie actors, American television actors, American stage actors, American voice actors, American musical theatre actors, Singers from Los Angeles County, California, Actors from Los Angeles County, California
Jacques Hamel	1930 births, 2016 deaths, French murder victims, French Roman Catholics, Roman Catholic priests
Arthur Dion Hanna	1928 births, 2021 deaths, Governors-General of the Bahamas
Miloš Radulović	1929 births, 2017 deaths, Presidents of Montenegro, Educators, Ambassadors
Michael J. Williams (politician)	1929 births, Living people, Presidents of Trinidad and Tobago, Business people
Maria Schneider (politician)	1923 births, Living people, Members of the Volkskammer, Politicians from Saxony, Politicians of the Socialist Unity Party of Germany
Krastyu Trichkov	1923 births, Living people, Bulgarian politicians, Communists
Alfonso Lovo Cordero	1927 births, 2018 deaths, Presidents of Nicaragua
Alfred Miodowicz	1929 births, 2021 deaths, Polish politicians, Activists, People from Poznań
Ravan A. G. Farhâdi	1929 births, Living people, Educators, Ambassadors of Afghanistan
Tehreek-e-Labaik	Politics, Pakistan
Rosario Green	1941 births, 2017 deaths, Mexican educators, Mexican economists, Ambassadors of Mexico, Politicians from Mexico City
Frederick Forsyth	1938 births, Living people, British military people, Commanders of the Order of the British Empire, English journalists, English novelists, Writers from Kent, People from Ashford, Kent
The Wind in the Willows	1908 books, British novels, Children's books, English-language novels
Beuningen	Municipalities of Gelderland, Settlements in Gelderland
Kenneth Grahame	1859 births, 1932 deaths, Bankers, British children's writers, People from Edinburgh, Scottish novelists
Stevens MRT station	Mass Rapid Transit (Singapore) stations, 2015 establishments in Asia, 2010s establishments in Singapore
Sir Bani Yas	Geography of the United Arab Emirates, Islands of Asia
Libyan Desert	Deserts
Lenno	Settlements in Lombardy
Abraham Ortelius	European geographers, Cartographers, Flemish people, 1527 births, 1598 deaths
Augustin-Louis Cauchy	1789 births, 1857 deaths, French mathematicians, Theoretical physicists
Wilbur Smith	1933 births, Living people, British novelists, Naturalised citizens of the United Kingdom, South African writers, Zambia
Georges Charpak	1924 births, 2010 deaths, French Nobel Prize winners, French people of World War II, French physicists, Holocaust survivors, Jewish French scientists, Jewish Nobel Prize winners, Polish Jews
Arthrostylidium merostachyoides	Bamboo species
Arthrostylidium multispicatum	Bamboo species
Arthrostylidium pubescens	Bamboo species
Ogdoad (Egyptian)	Egyptian gods and goddesses, Creation myths
Brandon Sanderson	Writers from Nebraska, 1975 births, Living people, People from Lincoln, Nebraska, American science fiction writers
Henry Emeleus	1930 births, 2017 deaths, Deaths from myocardial infarction, British geologists, People from Belfast
Julio Oscar Mechoso	1955 births, 2017 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in California, American movie actors, American television actors, American voice actors, Actors from Miami, Florida
