Positron emission tomography	Medical imaging
Marilyn Ware	1943 births, 2017 deaths, Deaths from Alzheimer's disease, Ambassadors of the United States, American philanthropists, Businesspeople from Philadelphia, Pennsylvania, Politicians from Philadelphia, Pennsylvania, US Republican Party politicians
Heinz Wolff	1928 births, 2017 deaths, Alumni of University College London, British biologists, British engineers, British radio personalities, British television presenters, Cardiovascular disease deaths in London, Deaths from heart failure, Entertainers from Berlin, German Jews, Jewish British academics, Jewish British scientists, Jewish entertainers, Naturalised citizens of the United Kingdom, Refugees from Nazism, Scientists from Berlin
The Prophet (book)	1923 books
Tu An	1923 births, 2017 deaths, Deaths from Parkinson's disease, Chinese poets, Chinese translators
Sharon Laws	1974 births, 2017 deaths, Deaths from cervical cancer, British cyclists, Environmentalists
List of neighbourhoods of Chennai	Neighbourhoods of Chennai, India-related lists
Taramani	Neighbourhoods of Chennai
Avadi	Neighbourhoods of Chennai
Arrondissement of Colmar-Ribeauvillé	Arrondissements of France, Grand Est
Heavy Vehicles Factory	Chennai
Garfield Heights, Ohio	Cities in Ohio
Pratval	Former municipalities of Graubünden
Flag of Slovakia	Slovakia, National flags
Pangasinan language	Austronesian languages, Languages of the Philippines
Mœrnach	Communes in Haut-Rhin
Mollau	Communes in Haut-Rhin
Alaska Thunderfuck	1985 births, Living people, American musicians, American rap musicians from Pennsylvania, American R&B singers, American pop singers, Grammy Award winners, LGBT musicians, LGBT singers, Gay men, Drag queens, Musicians from Pennsylvania, Singers from Pennsylvania
Collapse of Hotel New World	20th century in Singapore, 1986 in Asia
Takeshi Kitano	1947 births, Living people, Japanese movie directors, Japanese movie actors, Japanese comedians, Japanese television personalities, Novelists, Designers, Japanese screenwriters, Japanese television actors, Japanese voice actors, Actors from Tokyo
Adam Darius	1930 births, 2017 deaths, Deaths from myocardial infarction, American dancers, American educators, American choreographers, American playwrights, Entertainers from New York City, Writers from New York City
Jo Baer	1929 births, Living people, American painters, Writers from Washington, People from Seattle, Washington
E. Hunter Harrison	1944 births, 2017 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in Florida, Businesspeople from Tennessee, People from Memphis, Tennessee
Len Ceglarski	1926 births, 2017 deaths, American ice hockey players, American Olympic silver medalists, Sportspeople from Massachusetts
Rodels	Former municipalities of Graubünden
Rothenbrunnen	Municipalities of Graubünden
Montreux-Jeune	Communes in Haut-Rhin
Montreux-Vieux	Communes in Haut-Rhin
Turco-Mongol	Ethnology, Mongol peoples, Turkic peoples
Gorno-Altaysk	Siberia, Capitals of republics of Russia
Arrondissement of Mulhouse	Arrondissements of France, Grand Est
Arrondissement of Thann-Guebwiller	Arrondissements of France, Grand Est
Byrsonima crassifolia	Malpighiales
List of political parties in Malaysia	Malaysia, Lists of political parties, Politics of Asia
Minster-in-Thanet	Villages in Kent
Djembe	Drums, Folk instruments
Siquijor	Islands of the Philippines, Provinces of the Philippines
Drapetomania	Pseudoscience
243 (number)	Integers
6000 (number)	Integers
Walter Mafli	1915 births, 2017 deaths, Swiss painters, Swiss centenarians
Ye Zhengda	1927 births, 2017 deaths, Chinese politicians, Chinese academics, Communists, Chinese engineers
Bernard Sherman	1942 births, 2017 deaths, Canadian businesspeople, Billionaires, People from Toronto
Ralph Carney	1956 births, 2017 deaths, Accidental deaths from falls in the United States, American composers, American jazz musicians, American saxophonists, American clarinetists, Singers from Ohio, Musicians from Ohio
Richard Dobson	1942 births, 2017 deaths, Deaths from esophageal cancer, Cancer deaths in Switzerland, American singer-songwriters, American country guitarists, American folk singers, American folk musicians, Singers from Texas, Musicians from Texas, Writers from Texas
777 (number)	Integers
Z'EV	1951 births, 2017 deaths, Deaths from sepsis, American poets, Musicians from Los Angeles, California, Writers from Los Angeles, California
Argumentum ad lazarum	Rhetoric
Johnny Fox (performer)	1953 births, 2017 deaths, Deaths from liver cancer, American magicians, People from Minneapolis, Minnesota, People from Hartford, Connecticut
Bob Glidden	1944 births, 2017 deaths, Deaths from colorectal cancer, American racecar drivers, Sportspeople from Indiana
Jonghyun	1990 births, 2017 deaths, Suicides by poison, Deaths from carbon monoxide poisoning, South Korean actors, South Korean singers, Radio personalities, K-pop singers
Kevin Mahogany	1958 births, 2017 deaths, Deaths from heart failure, Cardiovascular disease deaths in the United States, American jazz musicians, American jazz singers, Singers from Kansas City, Missouri, Musicians from Kansas City, Missouri
Basque alphabet	Basque language, Alphabets
Dotted and dotless I	Vowel letters, Turkic languages, Latin letters with diacritics
Tree of Jesse	Christian symbols, Christian art
List of Bangla Academy Literary Award winners (1960s)	Bangla Academy Literary Award winners, Lists of people
List of Bangla Academy Literary Award winners (1970s)	Bangla Academy Literary Award winners, Lists of people
List of Bangla Academy Literary Award winners (1980s)	Bangla Academy Literary Award winners, Lists of people
List of Bangla Academy Literary Award winners (1990s)	Bangla Academy Literary Award winners, Lists of people
List of Bangla Academy Literary Award winners (2000s)	Bangla Academy Literary Award winners, Lists of people
List of Bangla Academy Literary Award winners (2010s)	Bangla Academy Literary Award winners, Lists of people
Dana Gould	1964 births, Living people, Actors from Massachusetts
Prothom Alo	1998 establishments in Asia, Newspapers in Asia, 20th century establishments in Bangladesh
Avadi Railway Station	Railway stations in Asia, Chennai District
Royapuram railway station	Chennai District, Transport in India
Syed Waliullah	1922 births, 1971 deaths, Bangladeshi writers, Bangla Academy Literary Award winners, Recipients of the Ekushey Padak, Bangladeshi Muslims, Recipients of Bangladesh National Film Awards
List of world champion football clubs	FIFA, CONMEBOL, Football competitions, UEFA
Glamtron	2009 albums, Mixtape albums
Blue raspberry flavor	Food ingredients
Trannyshack	Events, LGBT entertainers, San Francisco
Heklina	Year of birth missing (living people), Living people, American movie actors, American television actors
World of Wonder	Companies based in Los Angeles, 1991 establishments in California
Meskhenet	Egyptian gods and goddesses
Jua Cali	Kenyan people, Rap musicians, 1979 births, Living people
Charles Byron Renfrew	1928 births, 2017 deaths, American lawyers, American judges, Politicians from Detroit, Michigan, US Democratic Party politicians, United States Deputy Attorneys General
Altero Matteoli	1940 births, 2017 deaths, Road accident deaths, Italian politicians, Mayors, Politicians from Tuscany
Josef Pešice	1950 births, 2017 deaths, Czech footballers, Czech football managers, Sportspeople from Prague
Arseny Roginsky	1946 births, 2017 deaths, Russian historians, Activists
Newcomb's paradox	Thought, Experiments, Philosophy, Logical paradoxes
Bernard Francis Law	1931 births, 2017 deaths, American Roman Catholics, Cancer deaths in Italy, Cardinals of the Roman Catholic Church, Deaths from prostate cancer, Roman Catholic archbishops
Lito Cruz	1941 births, 2017 deaths, Deaths from myocardial infarction, Argentine movie actors, Argentine television actors, Argentine stage actors, Argentine writers, Argentine playwrights, Argentine movie directors, Argentine theatre directors
Lin Shaye	1943 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, Jewish American actors, Actors from Detroit, Michigan
A Wrinkle in Time (2018 movie)	2018 science fiction movies, 2010s fantasy movies, 2010s adventure movies, American science fiction movies, American fantasy movies, American adventure movies, Movies based on books, English-language movies, Disney movies, Movies set in Los Angeles, California
Agostino Cacciavillan	1926 births, Living people, Cardinals of the Roman Catholic Church, Italian Roman Catholics, Diplomats
Japanese name	Names, Japan
Deindustrialization	Society, Industries
Halbe Zijlstra	1969 births, Living people, Deputy government ministers of the Netherlands, Dutch councillors, Former members of the House of Representatives of the Netherlands, Government ministers of the Netherlands, People's Party for Freedom and Democracy politicians, Politicians from Friesland
Oosterwolde, Friesland	Settlements in Friesland
Zijlstra	Surnames
House of Representatives (Netherlands)	States General of the Netherlands, National lower houses
Episcopal Church	Anglicanism
Danish resistance movement	20th century in Denmark, Resistance movements of World War II
Janet Benshoof	1947 births, 2017 deaths, Deaths from uterine cancer, Cancer deaths in New York City, American human rights activists, American lawyers, People from Minnesota
Uterine cancer	Cancer, Deaths from uterine cancer
Florence Bjelke-Petersen	1920 births, 2017 deaths, Deaths from cardiopulmonary arrest, Australian politicians, Politicians from Brisbane
Henryk Cioch	1951 births, 2017 deaths, Deaths from staphylococcal infection, Polish politicians, Polish educators, Polish lawyers
List of A.N.T. Farm episodes	Lists of television series episodes, Children's television series
Annie Goetzinger	1951 births, 2017 deaths, Cancer deaths in France, Comics artists, Deaths from endometrial cancer, French artists, French novelists, Writers from Paris
Red Murrell	1933 births, 2017 deaths, Deaths from coronary artery disease, Cardiovascular disease deaths in the United States, American basketball players, Sportspeople from Missouri
Len Cariou	Tony Award winning actors, Drama Desk Award winners, 1939 births, Living people, Canadian movie actors, Canadian television actors, Canadian stage actors, Canadian voice actors, Canadian singers, Actors from Manitoba
Spotlight (movie)	Academy Award winning movies, 2015 drama movies, American crime movies, American drama movies, American biographical movies, Movies set in Boston, Massachusetts, Movies set in the 2000s
Arash Behzadi	Living people, Musicians from Ontario, Canadian pianists
Dunblane massacre	1996 in the United Kingdom, 1990s crimes in the United Kingdom, 1990s murders in Europe, 20th century in Scotland, Attacks on buildings and structures in the 1990s, Attacks on buildings and structures in the United Kingdom, Attacks on schools in Europe, March events, Mass murder in 1996, Mass shootings in Europe, Mass shootings in the 1990s, Massacres in the United Kingdom, Murder in Scotland, Murder-suicides in Europe, Murders by firearm in the United Kingdom, School shootings
Borsele	Municipalities of Zeeland
Mortimer L. Downey	Living people, 1936 births, United States Secretaries of Transportation, Yale University alumni
Antigonish	Towns in Nova Scotia
Middleton, Nova Scotia	Towns in Nova Scotia
The Terminal	2004 comedy-drama movies, 2004 romance movies, American comedy-drama movies, American romance movies, English-language movies, French-language movies, Movies composed by John Williams, Movies directed by Steven Spielberg
Thusis	Municipalities of Graubünden, Cities in Switzerland
Cousin marriage	Marriage, Genetic disorders
Jamie Kennedy	1970 births, Living people, American comedians, American movie actors, American television actors, American voice actors, Actors from Pennsylvania
Cathy Weseluck	1970 births, Living people, Actors from Toronto, Actors from Vancouver, Canadian singers, Canadian movie actors, Radio actors, Canadian television actors, Canadian comedians, Canadian voice actors, Musicians from Ontario, Musicians from Vancouver, Canadian Christians
Kapampangan language	Austronesian languages, Languages of the Philippines
Rudawa, Lesser Poland Voivodeship	Villages in Poland
Rząska	Villages in Poland
FC Ingolstadt 04	2004 establishments in Europe, German football clubs, Sport in Bavaria
Moosch	Communes in Haut-Rhin
Cesar Department	Departments of Colombia
Chocó Department	Departments of Colombia
WWE Clash of Champions	WWE
Cham (singer)	Jamaican singers, Reggae musicians, 1979 births, Living people
June Rowlands	1924 births, 2017 deaths, Deaths from Parkinson's disease, Disease-related deaths in Canada, Mayors of Toronto
Spartacus League	Communist parties, Marxism
Manouchehr Boroumand	1934 births, 2017 deaths, Deaths from cerebral hemorrhage, Iranian sportspeople, Olympians, Weightlifters
Jerry Yellin	1924 births, 2017 deaths, Deaths from lung cancer, Cancer deaths in Florida, American military personnel of World War II, People from Newark, New Jersey
Clifford Irving	1930 births, 2017 deaths, Deaths from pancreatic cancer, Cancer deaths in Florida, American novelists, Journalists from New York City, Criminals from New York City, American fraudsters, American literature, Cornell University alumni, People from Manhattan, Writers from New York City
Stan Pilecki	1947 births, 2017 deaths, Australian rugby union players, Disease-related deaths in Queensland, People from Brisbane, Sportspeople from Queensland
Ken Catchpole	1939 births, 2017 deaths, Australian rugby union players, Sportspeople from New South Wales
Hiep Thi Le	1971 births, 2017 deaths, Deaths from stomach cancer, Cancer deaths in Los Angeles, Naturalized citizens of the United States, Vietnamese people, American movie actors, American television actors, Actors from Los Angeles, California
Francelino Pereira	1921 births, 2017 deaths, Deaths from pneumonia, Disease-related deaths in Brazil, Brazilian politicians
Dylan Bruce	1980 births, Living people, Actors from Vancouver, Canadian movie actors, Canadian television actors
Steven Van Zandt	1950 births, Living people, Actors from Massachusetts, Actors from New Jersey, American movie actors, American rock guitarists, American television actors, Mandolinists, Musicians from Massachusetts, Musicians from New Jersey
Tram stop	Tram transport
Flag of the Gambia	National flags, The Gambia
Sils im Domleschg	Municipalities of Graubünden
Springdale, Ohio	Cities in Ohio
Mooslargue	Communes in Haut-Rhin
Pia Olsen Dyhr	Danish politicians
Starrkirch-Wil	Municipalities of the canton of Solothurn
National Volleyball Association	Sports in the United States, Volleyball, Sports leagues
Charles Zentai	1921 births, 2017 deaths, Deaths from peripheral neuropathy, Cardiovascular disease deaths in Australia, People from Perth, Western Australia, War criminals, People from Budapest, Extradition
Reinhart Fuchs	1934 births, 2017 deaths, East German sportspeople, German chess players, People from Berlin
Åke Hellman	1915 births, 2017 deaths, Finnish artists, People from Helsinki
Seal (musician)	1963 births, Living people, Black British musicians, Brit Award winners, British soul musicians, English singer-songwriters, Grammy Award winners, People from Paddington, Singers from London, Warner Bros. Records artists
March Fong Eu	1922 births, 2017 deaths, Deaths from surgical complications, Ambassadors of the United States, Politicians from California, US Democratic Party politicians, State legislators of the United States
Halvard Kausland	1945 births, 2017 deaths, Deaths from thyroid cancer, Cancer deaths in Norway, Norwegian entertainers, Jazz musicians, Guitarists
Bruce McCandless II	1937 births, 2017 deaths, American astronauts, American military people, Engineers from Massachusetts, Scientists from Boston, Massachusetts
Roswell Rudd	1935 births, 2017 deaths, Deaths from prostate cancer, Cancer deaths in New York, American jazz musicians, American composers, American trombonists, Musicians from Connecticut
Jason Lowndes	1994 births, 2017 deaths, Cyclists, Road accident deaths, Sportspeople from Western Australia
Gerald B. Greenberg	1936 births, 2017 deaths, Academy Award winners, American movie editors, BAFTA Award winners, Cardiovascular disease deaths in California, Deaths from stroke, People from New York City
Silvia Legrand	1927 births, 2020 deaths, Deaths from cardiac arrest, Argentine actors
Mirtha Legrand	1927 births, Living people, Argentine actors
Dick Savitt	1927 births, Living people, American tennis players, Sportspeople from New Jersey, People from Bayonne, New Jersey
Reimerswaal	Municipalities of Zeeland
Doki Doki Literature Club!	2017 video games, Horror, Visual novels, Windows games, MacOS games
Shinjitai	Writing systems, Chinese language, Chinese characters
Your Name	2016 drama movies, 2010s anime, Japanese movies, Japanese-language movies, 2010s fantasy movies, Time travel movies, 2016 animated movies, Movies about dreams
Jesús Castillo Rangel	1896 births, 2017 deaths, Deaths from respiratory failure, Military people, Mexican people, Supercentenarians
John Joubert	1927 births, 2019 deaths, South African writers, British composers, People from Cape Town
The Equals	1965 establishments in England, English pop music groups, English R&B bands, English rock bands, Musical groups established in 1965, Musical groups from London
Eddy Grant	1948 births, Living people, Black British musicians, English rock guitarists, English singer-songwriters, Reggae musicians, Singers from London
Drea de Matteo	1972 births, Living people, Actors from Queens, American movie actors, American television actors, Emmy Award winning actors
Cash Levy	Living people, American stand-up comedians, American comedians, Actors from St. Louis, Missouri
Edgar Wright	1974 births, Living people, Actors from Somerset, British movie actors, British movie directors, British movie producers, British screenwriters, British television actors, British television directors, British television writers, People from Poole, Writers from Dorset, Writers from Somerset
The New Zealand Herald	1863 establishments, Newspapers, New Zealand, 1860s establishments in New Zealand
Paulo Costanzo	1978 births, Living people, Actors from Ontario, Canadian Jews, Canadian movie actors, Canadian television actors, Jewish actors
Andrey Zaliznyak	1935 births, 2017 deaths, Russian historians, Russian educators, Linguists, People from Moscow
Charlotte Mailliard Shultz	1933 births, Living people, American diplomats, American socialites, Businesspeople from Texas, Businesspeople from San Francisco, Politicians from Texas, Politicians from San Francisco, Women diplomats
Thann, Haut-Rhin	Communes in Haut-Rhin, Subprefectures in France
Cyril Beavon	1937 births, 2017 deaths, English footballers
Gotthard Base Tunnel	Tunnels, Buildings and structures in Switzerland, Canton of Uri, Ticino, Graubünden
Mike Rutherford	1950 births, English guitarists, English songwriters
Trans, Switzerland	Former municipalities of Graubünden, Villages in Graubünden
Steve Hackett	English guitarists, English singers
Goran Višnjić	1972 births, American movie actors, American television actors, American Roman Catholics, Croatian actors, Stage actors, Living people
Morschwiller-le-Bas	Communes in Haut-Rhin
TUI Group	1923 establishments in Europe, Companies of Germany, Tourism, Hanover, 1920s establishments in Germany
Putumayo Department	Departments of Colombia
Jerry Kindall	1935 births, 2017 deaths, Deaths from stroke, Cardiovascular disease deaths in Arizona, Chicago Cubs players, Cleveland Indians players, Minnesota Twins players, Sportspeople from Saint Paul, Minnesota
Diana Athill	1917 births, 2019 deaths, British centenarians, Editors, British novelists, Writers from Norfolk
Stephanie Cole	1941 births, Living people, English movie actors, English television actors, English voice actors, English stage actors, English radio actors, People from Solihull
Olympiacos S.C.	Volleyball clubs, Sports organizations, Sport in Greece, 1926 establishments in Greece
Pedro Pablo Kuczynski	1938 births, Living people, Presidents of Peru, Prime Ministers of Peru, Economists, Civil servants, People from Lima
Aden	Cities in Yemen, Port cities in the Arabian Peninsula, Port cities and towns of the Red Sea, Capital cities in Asia, Former national capitals
2019 Cricket World Cup	Cricket World Cup, 2019 in sports, 2010s in England
Ig Nobel Prize	Parodies, Science awards
Cybercrime	Computing
Magnetic levitation	Physics
Horseland (TV series)	2006 television series debuts, 2008 television series endings, Animated television series, Television series by Cookie Jar Entertainment
Heather Menzies	1949 births, 2017 deaths, Deaths from brain cancer, Cancer deaths in Ontario, Canadian movie actors, Canadian television actors, Canadian voice actors, Canadian models, Naturalized citizens of the United States, American movie actors, American television actors, American voice actors, American activists, American models, Actors from Toronto, Actors from Utah
Rod Sykes	1929 births, Living people, Mayors, Politicians from Montreal, People from Calgary
Heather North	1945 births, 2017 deaths, Deaths from cardiopulmonary arrest, Deaths from bronchitis, Disease-related deaths in California, American movie actors, American television actors, American voice actors, Actors from Pasadena, California
LaToya Cantrell	1972 births, Living people, Mayors of New Orleans, Politicians from Los Angeles, California, US Democratic Party politicians
Dimitri (clown)	1935 births, 2016 deaths, Clowns, Swiss people
Cervelat	Sausage, German food, Italian food, Swiss food
Stelio De Carolis	1937 births, 2017 deaths, Politicians from Lazio, Road accident deaths
Mortzwiller	Former communes in Haut-Rhin
Muespach	Communes in Haut-Rhin
The Blue Party (Germany)	Political parties in Germany, Conservative parties, Eurosceptic parties, 2017 establishments in Europe, 2010s establishments in Germany, 2010s disestablishments in Germany
Julio Medina	1933 births, Living people, Colombian entertainers, Colombian movie actors, Colombian television actors
Piyaa Albela	Hindi-language television series, Soap operas, Indian culture, 2017 Indian television series debuts
Larry Libertore	1939 births, 2017 deaths, Deaths from aortic aneurysm, Cardiovascular disease deaths in Florida, American football players, Sportspeople from Florida, Politicians from Florida, Businesspeople from Ohio, Sportspeople from Ohio, Politicians from Ohio, US Democratic Party politicians
Shahnon Ahmad	1933 births, 2017 deaths, Deaths from bladder cancer, Malaysian politicians, Novelists, Essayists, Educators
Don Hogan Charles	1938 births, 2017 deaths, American photographers, People from New York City, African-American photographers
William Agee	1938 births, 2017 deaths, Deaths from respiratory failure, Disease-related deaths in Washington (state), Businesspeople from Idaho, People from Boise, Idaho
Willie Toweel	1934 births, 2017 deaths, Deaths from Alzheimer's disease, South African sportspeople, Boxers, Olympic bronze medalists
Héctor Morera Vega	1926 births, 2017 deaths, Deaths from pneumonia, Costa Rican people, Bishops
Louise Redknapp	Louise Redknapp, People from London, 1974 births, Living people, Musicians from Kent, British R&B musicians, English pop singers
Wyśmierzyce	Towns in Poland
Mahabharat	Hindi-language television series, Indian culture, 2013 television series debuts, 2013 establishments in India, 2014 Indian television series endings
Eco-nationalism	Nationalism
Haguenau	Communes in Bas-Rhin, Subprefectures in France
Gualtiero Marchesi	1930 births, 2017 deaths, Deaths from cardiac arrest, Italian chefs, People from Milan
Molsheim	Communes in Bas-Rhin, Subprefectures in France
Linda Hunt	Academy Award winning actors, 1945 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, American video game actors, American activists, Lesbians, LGBT actors, People with dwarfism, Actors from New Jersey, Actors from Chicago, Actors from Connecticut, LGBT people from New Jersey, LGBT people from Chicago, LGBT people from Connecticut, DePaul University alumni
Naked (Louise album)	1996 albums, Debut albums, Louise albums, Pop albums, Blue-eyed soul albums, R&B albums
Woman in Me (Louise album)	1997 albums, Louise albums, Pop albums, Dance albums, R&B albums
Elbow Beach (album)	2000 albums, Louise albums, Pop albums, Hip hop soul albums, R&B albums
Evan Goldberg	1982 births, Living people, Canadian movie directors, Canadian movie producers, Canadian Jews, Canadian screenwriters, Canadian television writers, Jewish writers, People from Vancouver
2021 German federal election	Elections in Germany, German Bundestag, 2020s in Germany, 2021 in Europe, 2021 elections, September 2021 events
Dermot Morgan	1952 births, 1998 deaths, Actors from Dublin, Irish comedians, Irish movie actors, Irish television actors, Teachers
Goes	Cities in the Netherlands, Municipalities of Zeeland, Settlements in Zeeland
Veere	Cities in the Netherlands, Municipalities of Zeeland, Settlements in Zeeland
Your Lie in April	Japanese movies, 2016 movies, Japanese-language movies
Sergio Magaña Martínez	1949 births, 2017 deaths, Mexican politicians, People from Michoacán, Mayors
Andrijevica	Cities in Montenegro, Municipalities of Montenegro
Bar, Montenegro	Cities in Montenegro, Municipalities of Montenegro
Berane	Cities in Montenegro, Municipalities of Montenegro
Bijelo Polje	Cities in Montenegro, Municipalities of Montenegro
Chimie ParisTech	Technical colleges and universities in Paris, 1896 establishments in Europe, 1890s establishments in France
Budva	Cities in Montenegro, Municipalities of Montenegro
Žabljak	Municipalities of Montenegro
Tumegl/Tomils	Former municipalities of Graubünden
Muespach-le-Haut	Communes in Haut-Rhin
Muhlbach-sur-Munster	Communes in Haut-Rhin
Munchhouse	Communes in Haut-Rhin
Eider	Geography of Schleswig-Holstein, Rivers of Germany
Munster, Haut-Rhin	Communes in Haut-Rhin
Muntzenheim	Communes in Haut-Rhin
Munwiller	Communes in Haut-Rhin
World of Quest	2008 American television series debuts, 2009 television series endings, Animated television series, Television series by Cookie Jar Entertainment, 2008 Canadian television series debuts, 2009 disestablishments in the United States, 2000s disestablishments in Canada
Saverne	Communes in Bas-Rhin, Subprefectures in France
Model Town Lahore	Towns in Lahore
Sélestat	Communes in Bas-Rhin, Subprefectures in France
Evin Salgut Şahin	Pages created with the Article Wizard from 2017, Living people, 1979 births, Kurdish people
Jack Blessing	1951 births, 2017 deaths, Deaths from pancreatic cancer, Cancer deaths in California, American movie actors, American television actors, American voice actors, Actors from Baltimore, Maryland
Muriel Turner, Baroness Turner of Camden	1927 births, Politicians from London
Ben Barres	1954 births, 2017 deaths, Deaths from pancreatic cancer, Cancer deaths in California, American biologists, Transgender and transsexual people, LGBT people from New Jersey, Scientists from New Jersey
Osvaldo Fattori	1922 births, 2017 deaths, Italian footballers
Gonzalo Morales Sáurez	1945 births, 2017 deaths, Deaths from myocardial infarction, Costa Rican people, Painters
Alfie Curtis	1930 births, 2017 deaths, British movie actors, British television actors, British voice actors, British stage actors, Actors from London
F(x) (band)	Musical groups established in 2009, Musical quartets
Shih Ming-teh	1941 births, Living people, Taiwanese politicians, Activists, Writers
Henry Fok	1923 births, 2006 deaths, Chinese businesspeople
Cystocele	Reproductive system, Surgery, Urinary system
Hazro	Districts of Turkey
European School of Strasbourg	2008 establishments in France, Schools in France, Strasbourg
Bob Katter	1945 births, Living people, Australian Roman Catholics, Independent politicians in Australia, Members of the Australian House of Representatives, Politicians from Queensland
2 Faced	2000 songs, Louise songs, Hip hop soul songs, Blue-eyed soul songs, R&B songs
Savage Garden	Musical groups disestablished in 2001, Australian pop music groups, Musical groups established in 1993, Musicians from Queensland, 1990s establishments in Australia, 2000s disestablishments in Australia
Bruche (river)	Rivers of France, Grand Est
Wei Jingsheng	1950 births, Human rights activists, Living people
Moder (river)	Rivers of France, Grand Est
Virgil van Dijk	1991 births, Living people, Dutch footballers, Liverpool F.C. players, People from Breda, Sportspeople from North Brabant
Wang Dan	1969 births, Chinese people, Human rights activists, Harvard University alumni, Living people
Veritas (mythology)	Roman gods and goddesses
Jean-François Hory	1949 births, 2017 deaths, French politicians
Murbach	Communes in Haut-Rhin
Nambsheim	Communes in Haut-Rhin
Fernando Birri	1925 births, 2017 deaths, Deaths from respiratory arrest, Accidental deaths from falls, Argentine movie actors, Argentine movie directors, Critics, Actors from Buenos Aires
Neuf-Brisach	Communes in Haut-Rhin, World Heritage Sites in France
Neuwiller	Communes in Haut-Rhin
Sufers	Municipalities of Graubünden
Zorn (river)	Rivers of France, Grand Est
Hsu Hsin-liang	1941 births, Taiwanese politicians, Living people
John Thomaides	Mayors
D Shivakumar	Living people, Year of birth missing (living people), Management, Bangalore
Wiltz (river)	Rivers of Belgium, Rivers of Luxembourg, Luxembourg (Belgium)
Niederbruck	Former communes in Haut-Rhin, 2016 disestablishments in France
Niederentzen	Communes in Haut-Rhin
Niederhergheim	Communes in Haut-Rhin
Niedermorschwihr	Communes in Haut-Rhin
Sue Grafton	1940 births, 2017 deaths, American novelists, American screenwriters, Cancer deaths in California, Writers from Louisville, Kentucky
Pacific Islands Rugby Alliance	Rugby
Jimmie C. Holland	1928 births, 2017 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in New York City, American psychiatrists, Scientists from Texas
Thomas Hunter	1932 births, 2017 deaths, Deaths from pulmonary edema, Disease-related deaths in Connecticut, American movie actors, American television actors, American stage actors, American screenwriters, Actors from Georgia (U.S. state), Writers from Georgia (U.S. state), Actors from Connecticut, Writers from Connecticut
Carmen Franco, 1st Duchess of Franco	1926 births, 2017 deaths, Deaths from lymphoma, Cancer deaths in Spain, Princes and princesses, Spanish royalty
Sid and Marty Krofft	1929 births, 1937 births, Living people, Sibling duos, Television producers, People from Montreal
Zubin Mehta	1936 births, Living people, Conductors, People from Mumbai
Chuck Close	1940 births, 2021 deaths, American photographers, American painters, People from Everett, Washington, Artists from New York City, Deaths from congestive heart failure, Deaths from frontotemporal dementia
Alcee Hastings	1936 births, 2021 deaths, American judges, Deaths from pancreatic cancer, Cancer deaths in Florida, United States representatives from Florida, US Democratic Party politicians
Deaths in 2018	2018 deaths, Index lists
Van Nuys	Neighborhoods of Los Angeles
Deaths in January 2018	2018 deaths, January 2018 events
Rampage (2018 movie)	2018 science fiction movies, 2010s action movies, 2010s monster movies, English-language movies, American action movies, American monster movies, American science fiction movies, Movies set in Chicago, Illinois, Movies shot in Chicago, Illinois, Warner Bros. movies, Movies about animals, Giant gorilla movies
2017 UK Independence Party leadership election	2017 in the United Kingdom, September 2017 events, 2017 elections
Bulgarian Communist Party	1919 establishments in Europe, 1989 disestablishments in Europe, Communist parties
Type 56 assault rifle	Assault rifles
William Wright	1925 births, Living people, Northern Ireland politicians, British businesspeople, Activists
Recy Taylor	1919 births, 2017 deaths, Deaths from congestive heart failure, American civil rights activists, American crime victims, People from Alabama
Hulst	Municipalities of Zeeland, Settlements in Zeeland, Cities in the Netherlands
Terneuzen	Cities in the Netherlands, Municipalities of Zeeland, Settlements in Zeeland
Tabarnia	Catalonia, Politics of Spain
Sluis	Cities in the Netherlands, Municipalities of Zeeland, Settlements in Zeeland
Action camera	Cameras, Electronics, Sports equipment
Michael Massee	1952 births, 2016 deaths, American movie actors, American television actors, American voice actors, Actors from Kansas City, Missouri, Cancer deaths in California, Deaths from stomach cancer
Niffer	Communes in Haut-Rhin
Oberbruck	Communes in Haut-Rhin
Davido	1992 births, Nigerian people
Oberentzen	Communes in Haut-Rhin
Oberhergheim	Communes in Haut-Rhin
Oberlarg	Communes in Haut-Rhin
Obermorschwihr	Communes in Haut-Rhin
Obermorschwiller	Communes in Haut-Rhin
Obersaasheim	Communes in Haut-Rhin
Oderen	Communes in Haut-Rhin
Oltingue	Communes in Haut-Rhin
Orbey	Communes in Haut-Rhin
Orschwihr	Communes in Haut-Rhin
Erica Garner	1990 births, 2017 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in New York City, American activists, People from Brooklyn
Jean-Pierre Lehmann	1945 births, 2017 deaths, Deaths from pulmonary embolism, Disease-related deaths in Switzerland, American economists, Swiss scientists, Scientists from Washington, D.C.
John C. Portman Jr.	1924 births, 2017 deaths, Deaths from heart failure, American architects, Real estate developers, People from South Carolina, Businesspeople from Atlanta, Georgia
Khalid Shameem Wynne	1953 births, 2017 deaths, Road accident deaths, Pakistani people, Military people
Juyin Sarauta	2017 movies, Nigeria
Yacht charter	Water transport
