Stuart Gordon	1947 births, 2020 deaths, Deaths from multiple organ failure, Deaths from kidney disease, American playwrights, Movie directors from Chicago, Movie producers from Chicago, Screenwriters from Chicago
Tony Rutter	1941 births, 2020 deaths, British sportspeople, Motorcycle racers
Stanford, Illinois	Villages in Illinois
Vusamazulu Credo Mutwa	1921 births, 2020 deaths, South African writers
Nemai Ghosh (photographer)	1934 births, 2020 deaths, Deaths from surgical complications, Indian artists, Photographers, People from Kolkata
Jon Atle Gaarder	1934 births, 2020 deaths, Ambassadors of Norway
Kåre Dæhlen	1926 births, Living people, Ambassadors of Norway
Phil Phillips	1926 births, 2020 deaths, African-American singers, American singer-songwriters, Singers from Louisiana, Writers from Louisiana
Antiviral drug	Drugs
Viktor Josef Dammertz	1929 births, 2020 deaths, German Roman Catholics, Roman Catholic bishops
Viral infection	Virology, Infectious diseases
Animaniacs (2020 TV series)	American animated television series, 2020s American comedy television series, American children's television series, English-language television programs
Soundaraj Periyanayagam	1949 births, 2020 deaths, Indian people, Roman Catholic bishops
Antimicrobial	Microbiology
Pharmacotheraphy	Pharmacology, Therapy, Drugs
Inna Makarova	1928 births, 2020 deaths, Disease-related deaths in Moscow, Russian movie actors, Russian television actors, Soviet movie actors, Soviet television actors
Farzaneh Taidi	1945 births, 2020 deaths, Cancer deaths in London, Iranian actors, Movie actors, People from Tehran, Stage actors
Detto Mariano	1937 births, 2020 deaths, Deaths from the COVID-19 pandemic in Italy, Italian composers, Lyricists, Italian pianists, Record producers, Movie score composers
Adriano Celentano	1938 births, Living people, Italian singers, Italian musicians, Italian writers, Italian movie directors, Songwriters, Actors from Milan
Eric Weissberg	1939 births, 2020 deaths, Deaths from Alzheimer's disease, American guitarists, American country musicians, American country singers, Singers from New York City, Musicians from New York City
ICQ	Microsoft Windows software, Social networking
List of people who have walked on the Moon	Apollo astronauts
List of Apollo astronauts	Apollo astronauts, Lists of people
Thomas P. Stafford	1930 births, Living people, Apollo astronauts, Scientists from Oklahoma
Lunar Roving Vehicle	Apollo program
List of The Loud House episodes	Lists of animated television series episodes, Lists of Nickelodeon television series episodes
Stuart Roosa	1933 births, 1994 deaths, Deaths from pancreatitis, Apollo astronauts, American aviators, Engineers from Colorado, Scientists from Colorado
Durango, Colorado	Cities in Colorado, County seats in Colorado
Bellwood, Illinois	Villages in Illinois, Settlements in Cook County, Illinois, Suburbs of Chicago, Illinois
Proviso Township, Cook County, Illinois	Townships in Illinois, Settlements in Cook County, Illinois
Hillside, Illinois	Villages in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Maywood, Illinois	Villages in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Fellows of the Royal Society	1663, Awards, Royal Society
Boil (infection)	Diseases caused by bacteria
Hugh Conaghan	1926 births, 2020 deaths, Irish politicians
João Teixeira de Faria	Living people, 1942 births, Surgeons, Spirituality, Brazilian writers, People convicted of assault, Sex offenders
Dubravka Jurlina Alibegović	1963 births, Living people, Croatian politicians, Economists, Independent politicians, People from Zagreb
Joe Nickell	1944 births, Living people, American critics, Writers from Kentucky
Suzanne Dekker	1949 births, Living people, Democrats 66 politicians, Dutch women politicians, Former members of the House of Representatives of the Netherlands, Former MEPs, MEPs for the Netherlands, Politicians from Amsterdam
Elsa Lára Arnardóttir	1975 births, Living people, Icelandic politicians
Joe Lycett	1988 births, Living people, British comedians, British television personalities, British activists, British LGBT people, LGBT comedians, LGBT rights activists, Bisexual people, People from Birmingham
William Dufris	1958 births, 2020 deaths, Cancer deaths in the United States, American voice actors, Actors from Maine
Houlton, Maine	Towns in Maine, County seats in Maine
Aroostook County, Maine	19th-century establishments in Maine, 1839 establishments in the United States, Maine counties
Doug Emhoff	1964 births, Living people, American lawyers, Second Spouses of the United States, Businesspeople from New York City, Businesspeople from Washington, D.C.
Uncut Gems	2019 movies, Movies set in New York City, American mystery movies, American thriller movies, American sports movies, Netflix movies
Carlo Collodi	1826 births, 1890 deaths, Italian journalists, Children's writers, People from Florence
Alfred Gomolka	1942 births, 2020 deaths, Accidental deaths from falls, Former MEPs, MEPs for Germany
Blinding Lights	2019 songs, New wave, The Weeknd
James Otis (actor)	American movie actors, American stage actors, American television actors, Actors from New York City, 1948 births, 2020 deaths, Actors from Stamford, Connecticut
David Greetham (textual scholar)	2020 deaths, Writers from Cheshire, 1941 births, Naturalized citizens of the United States, American literary critics, American essayists, Writers from Massachusetts, People from Lenox, Massachusetts
Peter Green (musician)	1946 births, 2020 deaths, Blues guitarists, English rock guitarists, English rock singers, Jewish British musicians, Singer-songwriters from London, Rock and Roll Hall of Fame inductees
