Judgment (law)	Law, Legal terms
Roland Dumas	1922 births, Living people, French politicians, French lawyers, Civil servants, Alumni of the Institut d'études politiques de Paris
Warren Mitchell	1926 births, 2015 deaths, Actors from London, Alumni of the University of Oxford, BAFTA Award winning actors, Naturalised citizens of Australia, English movie actors, English stage actors, English television actors
Eagles of Death Metal	1998 establishments in California, 1990s American music groups, 2000s American music groups, 2010s American music groups, American rock bands, Musical duos, Musical groups established in 1998, Musical groups from California
Wildflower	Flowers
Schnauzer	Dog breeds
Chelsea, London	Chelsea, London
Harrods	1834 establishments in Europe, Department stores, Royal Borough of Kensington and Chelsea, 1830s establishments in England
Odo, Earl of Kent	1030s births, 1097 deaths, Crusaders, Earls and countesses, Normans, Roman Catholic bishops
Cortisone	Steroid hormones
Seux	Communes in Somme
Scottish Terrier	Terriers
Eicosanoid	Hormones
Vincent Margera	1956 births, 2015 deaths, American sex offenders, American television personalities, Child sexual abusers, Criminals from Pennsylvania, Deaths from liver failure, Deaths from renal failure, Entertainers from Pennsylvania, People acquitted of sex crimes
Moira Orfei	1931 births, 2015 deaths, Cardiovascular disease deaths in Italy, Deaths from stroke, Italian movie actors, People from Friuli Venezia-Giulia
Gastone Moschin	1929 births, 2017 deaths, Deaths from renal failure, Italian movie actors, People from Veneto
Marco Vicario	1925 births, Living people, Italian movie actors, Italian movie directors, Italian movie producers, Italian screenwriters, Actors from Rome
Berugo Carámbula	1945 births, 2015 deaths, Deaths from Parkinson's disease, Uruguayan entertainers, Movie actors, Television actors, Comedians
Bernard King	1956 births, African-American basketball players, New York Knicks players, New Jersey Nets players, Utah Jazz players, Golden State Warriors players, Washington Bullets players, Sportspeople from Brooklyn, Living people, American basketball players
Hello (Adele song)	2015 songs, 2010s ballads, Adele songs, Soul ballads
Black garlic	Allium, Herbs
Wikimapia	Websites, Free content
Orbital resonance	Solar System, Orbits
Agoura Hills, California	Cities in California, Settlements in Los Angeles County, California, 1982 establishments in California
New Zealand national rugby union team	Rugby union
Eamon (singer)	1984 births, Living people, American hip hop musicians, American R&B singers, American songwriters, Musicians from Staten Island, Singers from New York City
Derogation	Law, Legal terms
Repeal	Law, Legal terms
Rudy Markussen	Boxers, Danish sportspeople, People from Copenhagen, 1977 births, Living people
Cumberland, Indiana	Towns in Indiana
Willie Mays	1931 births, African-American baseball players, American military personnel of the Korean War, Living people, National Baseball Hall of Fame members, National League All-Stars, New York Giants (NL) players, New York Mets players, People from Bessemer, Alabama, Presidential Medal of Freedom recipients, San Francisco Giants players, Sportspeople from Alabama
Sharnbrook Upper School	Schools in England
Jean Pierre Flourens	1794 births, 1867 deaths, neuroscientists, Members of the Académie française, Foreign Members of the Royal Society, Burials at Père Lachaise Cemetery, Physiologists
Packaged terminal air conditioner	Engineering
Phoenix, Edison, New Jersey	Neighborhoods in the United States, Settlements in New Jersey, Middlesex County, New Jersey
Lincoln Park, New Brunswick, New Jersey	Neighborhoods in the United States, Settlements in New Jersey, New Brunswick, New Jersey
Primary and secondary legislation	Law
Statute	Law, Legal terms
Androula Henriques	Women who received the International Women of Courage Award, Activists, Political activists, Living people, Year of birth missing (living people), Cypriot people
Sonia Pierre	Women who received the International Women of Courage Award, Human rights activists, Haitian people, 1963 births, 2011 deaths
Jonah Lomu	1975 births, 2015 deaths, Deaths from renal failure, New Zealand rugby union players, Sportspeople from Auckland
Saeed Jaffrey	1929 births, 2015 deaths, Deaths from cerebral hemorrhage, Indian movie actors, Indian television actors, British movie actors, British television actors, British stage actors, British radio actors
Nando Gazzolo	1928 births, 2015 deaths, Deaths from pneumonia, Italian movie actors, Italian television actors, Italian voice actors, Liguria
Dora Doll	1922 births, 2015 deaths, Deaths from Alzheimer's disease, French movie actors, French television actors, Actors from Berlin
Metairie, Louisiana	Census-designated places in Louisiana
Rocky Anderson	1951 births, Living people, American lawyers, Mayors of Salt Lake City, Politicians from Utah, 2012 United States presidential candidates, People from Logan, Utah
Jake Garn	1932 births, Living people, American astronauts, American Latter Day Saints, Mayors of Salt Lake City, United States senators from Utah, US Republican Party politicians
Bob Bennett (politician)	1933 births, 2016 deaths, American Latter Day Saints, Deaths from pancreatic cancer, Deaths from stroke, Politicians from Salt Lake City, Utah, United States senators from Utah, US Republican Party politicians
Principia Mathematica	Mathematics books
Edison, New Jersey	Townships in New Jersey, Middlesex County, New Jersey
I Was Made to Love Her (album)	1967 albums, R&B albums, Soul albums
Someday at Christmas	1967 albums, R&B albums, Soul albums, Christmas albums
Eivets Rednow	1968 albums, R&B albums, Soul albums, Jazz albums
For Once in My Life (album)	1968 albums, R&B albums, Soul albums
My Cherie Amour (album)	1969 albums, R&B albums, Soul albums
Stevie Wonder Live	1970 albums, Live CD, R&B albums, Soul albums
