Land grant	Business, Property
Bruce Willis	Actors from New Jersey, American movie actors, American movie producers, American television actors, American television producers, American voice actors, Emmy Award winning actors, Golden Globe Award winning actors, Independent (United States), Musicians from New Jersey, 1955 births, Living people
Zoospore	Fungi
Gamete	Reproductive system
Morphology (biology)	Anatomy, Branches of zoology
Taxon	Taxonomy
Domain (biology)	Taxonomy
Keratin	Organic compounds, Proteins
Fibrous protein	Proteins
Protein filament	Molecular biology, Proteins
Hanami	Japanese culture
Landmarks	Geography
Neighbourhood	Neighborhoods
Lantern	Lamps
Cherry blossom	Japan, Trees, Rosaceae
Filamentation	Microbiology
Septum	Anatomy
National Youth Orchestra of Great Britain	Youth orchestras
Flag of Canada	Canada, National flags
The Wee Free Men	2003 books, Fantasy books, Children's books
Vandals	Germanic tribes
Order of the Thistle	Knights of the Thistle, British monarchy, 1687 establishments, 17th century establishments in Scotland, 1680s establishments in Europe
Nasal septum	Head (body part)
Nostril	Face
Ethmoid bone	Bones of the skull
Bundesverdienstkreuz	Order of Merit of the Federal Republic of Germany, 1951 establishments in Europe, 1950s establishments in Germany
Austin Lightning	American soccer teams, Sports in Texas, 2002 establishments in the United States, 2007 disestablishments in the United States
BBC Symphony Orchestra	BBC, British orchestras
Jiří Bělohlávek	1946 births, Czech people, 2017 deaths, Deaths from cancer, Conductors
Arturo Toscanini	1867 births, 1957 deaths, Cardiovascular disease deaths in the United States, Italian conductors, Musicians from Emilia-Romagna, Parma
Philip K. Dick	American novelists, Cardiovascular disease deaths in the United States, Deaths from stroke, Hugo Award winning writers, Writers from Chicago, 1928 births, 1982 deaths
Jet Propulsion Laboratory	United States government agencies, Astronomical organizations, Pasadena, California
Renewable energy commercialization	Renewable energy, Commerce, Climate change, Sustainable development
Mapudungun	Language isolates, Languages of Chile
Impurity	Chemistry
Queen's Hall	Concert halls in London
Avesta	Religious texts, Zoroastrianism
Darius I of Persia	Iranian people, Shahs of Iran
Pasargadae	History of Iran, World Heritage Sites in Iran
American Staffordshire Terrier	Terriers
Persepolis	History of Iran, World Heritage Sites in Iran
Xerxes	Shahs of Iran
Shell (zoology)	Zoology, Animal anatomy
Tortoise	Turtles
Sea turtle	Turtles, Marine reptiles
Report of 1800	1800, 18th century in the United States, United States law
Baykal (port)	Settlements in Russia
Rudder	Ship building
Exploration of Neptune	Neptune
Kinder Scout	Plateaus, Geography of England
Stern	Ship building
Urbain Le Verrier	1811 births, 1877 deaths, French mathematicians, French astronomers
John Malkovich	1953 births, Living people, Actors from Illinois, American movie actors, American television actors, Movie directors from Illinois, Movie producers from Illinois, Drama Desk Award winners, Emmy Award winning actors
Glenn Close	American movie actors, American movie producers, American stage actors, American television actors, American voice actors, Emmy Award winning actors, Golden Globe Award winning actors, Actors from Greenwich, Connecticut, Tony Award winning actors, 1947 births, Living people, People's Choice Award winners
Blaqk Audio	Musical groups from Oakland, California, Electronic music bands
Hugh Grant	Actors from London, BAFTA Award winning actors, English movie actors, English television actors, Golden Globe Award winning actors, 1960 births, Living people
James Caan	1940 births, Living people, American movie actors, American stage actors, American television actors, Jewish American actors, Actors from New York City
James Coburn	1928 births, 2002 deaths, Deaths from myocardial infarction, American movie actors, Academy Award winning actors, Actors from Nebraska, American television actors, People from Compton, California
4 Vesta	Asteroids
Animal liberation movement	Animal rights
Sex symbol	Celebrities, Feminism, Marketing, Sociology, Symbolism
Breakfast cereal	Breakfast foods, Grains
Sexual attraction	Human behavior, Human sexuality, Sexuality
Cheerios	Breakfast cereals
Rehearsal	Performing arts
London Symphony Orchestra	British orchestras
Obtuse angle	Angles
London Philharmonic Orchestra	British orchestras
Vladimir Jurowski	Russian conductors, 1972 births, Living people
Surrealism	Art movements
Pim Fortuyn	1948 births, 2002 deaths, Dutch academics, Dutch columnists, Dutch councillors, Dutch LGBT people, Dutch murder victims, Dutch party chairs, Dutch Roman Catholics, Dutch scientists, Former leaders of political parties in the Netherlands, Gay men, LGBT academics, LGBT Christians, LGBT politicians, LGBT scientists, LGBT writers, Murders by firearm, People from Rotterdam, People murdered in the Netherlands, Pim Fortuyn List politicians, Politicians from North Holland, Sociologists, Writers from North Holland
Cyrus the Great	6th century BC births, 530 BC deaths, Shahs of Iran
Rafał Wiechecki	1978 births, Living people, Polish politicians
Relative density	Basic physics ideas
Čejov	Čejov, Villages in the Czech Republic
Satsuma	Citrus
Data storage device	Storage devices
Relief	Sculpture
Frieze	Architectural elements
Entablature	Architectural elements
Flickr	Websites established in 2004, Social networking
Norton AntiVirus	Software
Haemophilia	Diseases, Genetic disorders
Otis Bowen	1918 births, 2013 deaths, Governors of Indiana, United States Secretaries of Health and Human Services, US Republican Party politicians
Guacamole	Condiments, Mexican sauces, Avocados
Gordan Nikolitch	Violinists, Concertmasters, Serbian musicians, 1968 births, Living people
1085	1085
Literal translation	Linguistics
Machine translation	Software, Linguistics, Languages
786	786
Interlinear text	Language
Transcription (linguistics)	Writing, Language transcription
Sumgait pogrom	1988, 1980s riots, 20th century in Armenia, 20th century in Azerbaijan
710	710
784	784
842	842
825	825
880	880
Momijigari	Japanese culture
Calm	Weather
Himeji Castle	Castles in Japan, World Heritage Sites in Japan, Japanese culture, Hyōgo Prefecture
Tang Dynasty	Chinese dynasties, 7th-century establishments in Asia, 10th century disestablishments in Asia, 618 establishments, 907 disestablishments
Divination	Occult
Emperor Saga	Emperors of Japan, 785 births, 842 deaths
Murder of Kriss Donald	2004 in the United Kingdom, 2000s in Scotland, British murder victims, Kidnapped British people, Murder in 2004, Murder in Scotland, Murders by blade weapons, People murdered in the United Kingdom, Racially-motivated violence
Imperial Court in Kyoto	History of Japan, Buildings and structures in Kyoto Prefecture, Kyoto, 8th century establishments in Japan, 1860s disestablishments in Japan, 794 establishments
Uhorilka	Villages in the Czech Republic
Ukiyo-e	Japanese culture, Printmaking, Art movements
Hiroshige	Japanese printmakers, 1797 births, 1858 deaths, People from Tokyo
Forecasting	Words
Japan Meteorological Agency	Japan
Ariwara no Narihira	825 births, 880 deaths, Japanese poets
Yoshino, Nara	Towns in Japan, Settlements in Nara Prefecture
Daigo, Ibaraki	Towns in Japan, Settlements in Ibaraki Prefecture
Ueno Park	Geography of Japan, Tokyo
Mansa Musa	1280 births, 1337 deaths, Kings and queens, Malian people, History of Africa
Macon, Georgia	Macon, Georgia, County seats in Georgia
The Tale of Genji	Japanese culture
Tokugawa Yoshimune	1684 births, 1751 deaths, Shoguns, People from Wakayama Prefecture
Toyotomi Hideyoshi	Daimyo, 1536 births, 1598 deaths, People from Aichi Prefecture
Motojirō Kajii	1901 births, 1932 deaths, Japanese writers, People from Osaka
Dumpling	Foods
Hank Williams	1923 births, 1953 deaths, American country musicians, American guitarists, American singer-songwriters, Drug-related accidental deaths, Blues musicians, Gospel musicians, Musicians from Alabama, Singers from Alabama
Sui Dynasty	Chinese dynasties, 581 establishments, Establishments in China, 618 disestablishments, 7th century disestablishments in Asia, 6th century establishments in Asia, Disestablishments in China
Bento	Japanese food
Clown	Entertainment occupations, Comedy, Circuses, Clowns
Dango	Japanese food
Music stand	Music
Cumulative voting	Voting
Proportional representation	Politics, Voting systems
Smokey Robinson	1940 births, Living people, African American musicians, American R&B musicians, American singer-songwriters, Singers from Detroit, Michigan
Andrew Davis	1944 births, Living people, British conductors, Knights Bachelor, Commanders of the Order of the British Empire, Alumni of King's College, Cambridge
Haiku	Japanese culture, Poetry forms
Gennady Rozhdestvensky	Russian conductors, 1931 births, 2018 deaths
Waka	Japanese culture, Poetry forms
Amiri Baraka	African American writers, American activists, American Muslims, American playwrights, American poets, American communists, Deaths from surgical complications, Writers from Newark, New Jersey, 1934 births, 2014 deaths
Jorge Luis Borges	1899 births, 1986 deaths, Argentine writers, People from Buenos Aires
Kobayashi Issa	1763 births, 1828 deaths, Japanese writers, Japanese poets, People from Nagano Prefecture
Masaoka Shiki	Japanese poets, Japanese journalists, 1867 births, 1902 deaths, People from Ehime Prefecture
Billy Collins	1941 births, Living people, Writers from New York City
Wind power in Texas	Wind energy, Texas
Yu Suzuki	Japanese video game designers, Sega people, 1958 births, Living people, People from Iwate Prefecture
Isra and Mi'raj	History of Islam, Quran
Fustat	Cities in Egypt, 641 establishments, Establishments in Egypt, 7th-century establishments in Africa
Vizier	Heads of state, Mughal Empire
Hank Williams Jr.	1949 births, Living people, American songwriters, American guitarists, Country musicians, Singers from Louisiana, Musicians from Louisiana
Utagawa Kunisada	Japanese printmakers, 1786 births, 1865 deaths, People from Tokyo
Tsukioka Yoshitoshi	Japanese printmakers, 1839 births, 1892 deaths, Artists from Tokyo
Odawara Castle	Castles in Japan
Ab urbe condita	Time
Mesosphere	Layers of Earth's atmosphere
Magnetosphere	Astrophysics, Solar System
Dorus Rijkers	1847 births, 1928 deaths, People from North Holland, Sailors
Prince of Wales	Princes and Princesses of Wales, British monarchy
Massachusetts Institute of Technology	Association of American Universities, Collegiate Water Polo Association, Cambridge, Massachusetts, Massachusetts Institute of Technology, 1861 establishments in the United States, 19th-century establishments in Massachusetts
The Colbert Report	2005 American television series debuts, 2014 American television series endings, 2000s American television series, 2010s American television series, American comedy television series, American television talk shows, Emmy Award winning programs, Television spin-offs, English-language television programs
Taneda Santoka	Japanese writers, 1882 births, 1940 deaths, Pen names, People from Yamaguchi Prefecture
Cid Corman	1924 births, 2004 deaths, Writers from Boston, Massachusetts
Lenard Moore	1958 births, Living people, American military people, Writers from North Carolina
Octavio Paz	1914 births, 1998 deaths, Cancer deaths in Mexico, Magazine founders, Mexican businesspeople, Mexican Nobel Prize winners, Mexican writers
Raymond Roseliep	Writers from Iowa, 1917 births, 1983 deaths, American poets
Kenneth Rexroth	1905 births, 1982 deaths, Writers from California, Writers from Indiana, Industrial Workers of the World
Sonia Sanchez	1934 births, Living people, Writers from Birmingham, Alabama
Gary Snyder	Writers from San Francisco, 1930 births, Living people, American environmentalists, Pulitzer Prize winners, Industrial Workers of the World
Genpei Akasegawa	1937 births, 2014 deaths, Deaths from sepsis, Japanese photographers, People from Kanagawa Prefecture
Aries	Astrological signs
Taurus (astrology)	Astrological signs
Christy Turlington	1969 births, Living people, Models from California
Premier	Government of Australia, Government of Canada, Government of the United Kingdom, Government occupations
Hispanidad	Spanish culture, Spanish language
Aviation	Aviation
Cyberpunk	Science fiction
Igbo language	Niger-Congo languages, Tonal languages
Wind shear	Winds
Polar cyclone	Severe weather
Geisha	Japanese words and phrases, Entertainment occupations, Entertainment in Japan
Thomas Midgley	American chemists, American inventors, Cornell University alumni, Scientists from Pennsylvania, Scientists from Columbus, Ohio, Businesspeople from Pennsylvania, Businesspeople from Columbus, Ohio, 1889 births, 1944 deaths
Hovhannes Shiraz	1915 births, 1984 deaths, Armenian poets
Polar low	Meteorology
Pericles	495 BC births, 429 BC deaths, Ancient Greek military people, Ancient Greek politicians, Generals
Wind speed	Winds
Thebes, Greece	Thebes, Greece
Minoan civilization	Minoan culture
Alliance	War
Epic poetry	Poetry forms
Kousuke Atari	1980 births, Living people, Japanese singers, People from Kagoshima Prefecture
The Apostles (Elgar)	Oratorios, Compositions by Edward Elgar
Knot (speed)	Units of measurement, Water transport
Royal Philharmonic Orchestra	British orchestras
Adrian Boult	1889 births, 1983 deaths, British autobiographers, British conductors, Companions of Honour, Knights Bachelor, Musicians from Cheshire, People from Chester
Franz Lehár	1870 births, 1948 deaths, Romantic composers, 20th century composers, Hungarian composers
Rings of Neptune	Neptune
Igor Diakonov	1914 births, 1999 deaths, Russian historians
Baudouin I of Belgium	1930 births, 1993 deaths, Belgian Roman Catholics, Cardiovascular disease deaths in Spain, Deaths from heart failure, Disease-related deaths in Andalusia, Kings and Queens of Belgium, Knights of the Golden Fleece, People from Brussels
Mesocyclone	Weather
Florida International University	Colleges and universities in Florida, Oak Ridge Associated Universities, Conference USA, Miami, Florida, 1965 establishments in the United States, 1960s establishments in Florida
Sash	Accessories
Willow	Trees, Malpighiales
Elegance	Vocabulary
Courtesan	Personal service occupations, Prostitution
Jester	Entertainment occupations, Middle Ages
Etiquette	Sociology, Traditions
Hairstyle	Hairstyles, Care
Patronage	Politics, Art
Reputation	Society
Lagunaria	Malvaceae
Warwick Estevam Kerr	1922 births, 2018 deaths, Biologists, São Paulo (state), Brazilian scientists
Indian national calendar	Calendars
Crane (bird)	Cranes
Estimation	Mathematics
Fee	Economics
Maid	Personal service occupations, Domestic work
Embroidery	Needlework
Banquet	Meals
Eccentricity	Sociology, Human behavior
Květinov	Villages in the Czech Republic
Úsobí	Villages in the Czech Republic
Conversation	Human communication, Everyday life
FK Viktoria Žižkov	Czech football clubs
Wit	Language
Joss stick	Religious objects, Perfumery
AFK Union Žižkov	Czech football clubs, 1907 establishments in Europe
2004 Atlantic hurricane season	2004 Atlantic hurricane season
Flirting	Human communication
Trustworthiness	Virtues
Shamisen	Japanese music, Plucked string instruments
Obi	Japanese clothing
Nitrogen fixation	Ecology, Biochemistry
Britské listy	Czech Republic, Politics of Europe, Publications
Nitrogen cycle	Ecology
Moscow State University	Colleges and universities in Russia, Buildings and structures in Moscow, 1755 establishments
Boarding school	Types of educational institutions
Sacha Baron Cohen	1971 births, Living people, Actors from London, BAFTA Award winners, Comedians from London, Commanders of the Order of the British Empire, English movie actors, English movie producers, English television actors, English television writers, Golden Globe Award winning actors, Jewish British actors, Jewish British writers, Jewish comedians, People from Hammersmith, Screenwriters from London
Utrecht (province)	Utrecht (province)
George II of Great Britain	1683 births, 1760 deaths, Electors and Electresses, Kings and Queens of Great Britain
List of Disney characters	Disney characters, Lists of fictional characters, Movie characters
Mandy Moore	Actors from Florida, Actors from New Hampshire, American child actors, American child singers, American movie actors, American pop musicians, Musicians from Florida, Singers from Florida, Musicians from New Hampshire, Singers from New Hampshire, American singer-songwriters, American television actors, American voice actors, 1984 births, Living people
Oiran	Personal service occupations, Japanese culture, Prostitution, Japanese people
Ryōtei	Asian restaurants, Japanese culture
Philharmonia	British orchestras
Taiko	Japanese music, Drums
Kitagawa Utamaro	1753 births, 1806 deaths, Japanese printmakers
Hanamachi	Japanese culture
Japanese traditional dance	Japanese culture, Dance types
Parkour	Parkour, Leisure
Shakuhachi	Japanese music, Flutes
Christian movements	Christian movements and denominational families
Li Guang	119 BC deaths, Han Dynasty generals, Year of birth unknown
Royal Borough of Kensington and Chelsea	Royal Borough of Kensington and Chelsea
London Borough of Enfield	London Borough of Enfield
List of English districts by area	Lists about England
Huo Qubing	140 BC births, 117 BC deaths, Han Dynasty generals
Kali Yuga	Hinduism, Time
Squash (plant)	Vegetables, Cucurbitaceae, Fruits
Nelumbo	Plant families, Proteales, Plants of Pakistan, National symbols of India, Aquatic plants
Nymphaeaceae	Plant families, Nymphaeales
Ugly Betty	2006 American television series debuts, 2010 American television series endings, 2000s American television series, 2010s American television series, ABC network shows, American comedy-drama television series, American sitcoms, Golden Globe Award winning programs, Peabody Award winners, Television series set in New York City, English-language television programs
Shinto shrine	Shinto shrines
Miko	Religious occupations, Shinto
Mineko Iwasaki	Japanese entertainers, Autobiographers, 1949 births, Living people, People from Kyoto Prefecture
List of English districts by population	Lists about England
Libra (astrology)	Astrological signs
Matsya	Hinduism, Hindu mythology
Kurma	Hinduism, Hindu mythology
Varaha	Hinduism, Hindu mythology
Prithvi	Hindu gods and goddesses
Daitya	Hinduism
Manu	Hinduism
Wild boar	Pigs
Narasimha	Hinduism, Hindu mythology
Prahlada	Hinduism
Yuga	Hinduism, Time
Vamana	Hinduism, Hindu mythology
Parashurama	Hinduism, Hindu mythology
Balarama	Hindu mythology
Ba Ðình Square	Hanoi, National squares
Ho Chi Minh Mausoleum	Buildings and structures in Vietnam, Burial monuments and structures, Hanoi
Meng Tian	210 BC deaths, Chinese generals
Kippah	Judaism, Religious clothing, Headgear
Judeo-Arabic languages	Judaism, Middle East, Semitic languages
The Clangers	1969 establishments in Europe, 1974 disestablishments in the United Kingdom, 1960s British television series, 1970s British television series, British children's television series, British science fiction television series, 1974 television series endings, 1960s establishments in the United Kingdom, English-language television programs
London Borough of Hammersmith and Fulham	London Borough of Hammersmith and Fulham
1 E9 m²	Orders of magnitude
1 E8 m²	Orders of magnitude
1 E7 m²	Orders of magnitude
Athletics at the Summer Olympics	Summer Olympic Games
1968 Summer Olympics	1968 Summer Olympics
Sima Qian	2nd century BC births, 1st century BC deaths, Chinese historians
Gymnastics at the 1972 Summer Olympics	Gymnastics, 1972 Summer Olympics
Rowing at the 1980 Summer Olympics	1980 Summer Olympics, Rowing
Coxless pair	Rowing
79	79
1976 Summer Olympics	1976 Summer Olympics
1960 Winter Olympics	1960 Winter Olympics, 1960 in sports, 1960 in California
1984 Winter Olympics	1984 Winter Olympics, 1984 in sports, 1984 in Europe, 20th century in Bosnia and Herzegovina
1988 Winter Olympics	1988 Winter Olympics
Records of the Grand Historian	History of China
Football at the Summer Olympics	Football at the Olympics
1976 Winter Olympics	1976 in sports, 1976 in Europe, 20th century in Austria, Innsbruck, Sport in Austria, Winter Olympics in Europe
Gymnastics at the Summer Olympics	Summer Olympic Games, Gymnastics
Biathlon	Skiing, Sport shooting
1972 Summer Olympics	1972 Summer Olympics
Royal borough	English boroughs
Emperor Wu of Jìn	Emperors and Empresses of China, 236 births, 290 deaths
John Couch Adams	1819 births, 1892 deaths, English astronomers, English mathematicians, People from Cornwall
Pygmy people	Ethnic groups in Africa
Itihasa	Hinduism, Hindu texts
Bhakti yoga	Hinduism
International Society for Krishna Consciousness	1966 establishments in the United States, 1960s establishments in New York (state), Hinduism, New religious movements
Hare Krishna	Hinduism
A. C. Bhaktivedanta Swami Prabhupada	1896 births, 1977 deaths, Hindu gurus
Purana	Hinduism, Hindu texts
Patti LaBelle	Singers from Philadelphia, Pennsylvania, 1944 births, Living people
Whitney Houston	Accidental deaths by drowning in the United States, Actors from Newark, New Jersey, African American actors, African American musicians, American movie actors, American movie producers, Emmy Award winners, Grammy Award winners, Writers from Newark, New Jersey, Musicians from Newark, New Jersey, Singers from Newark, New Jersey, 1963 births, 2012 deaths, Whitney Houston
Folklore	Folklore
Kappa	Greek alphabet
Văn Cao	Vietnamese people, composers, 1923 births, 1995 deaths
Kojiki	History of Japan, Japanese mythology, Shinto
Hindu philosophy	Hinduism
Guru	Hinduism, Buddhism, Sikhism, Spiritual teachers, Religious leaders
Moksha	Hinduism
Caste	Hinduism
Brahmin	Hinduism
Kshatriya	Hinduism
Vaishya	Hinduism
Shudra	Hinduism
Jnana Yoga	Hinduism
Atharva Veda	Hinduism, Vedas
London Borough of Tower Hamlets	London Borough of Tower Hamlets
Uriah Heep	English hard rock bands, English heavy metal bands, Musical groups from London
E-book	Books, Technology
Church–Turing thesis	Theoretical computer science
London Borough of Brent	London Borough of Brent
London Borough of Ealing	London Borough of Ealing
Tamamo-no-Mae	Japanese folklore, Japanese mythology
London Borough of Hounslow	London Borough of Hounslow
London Borough of Richmond upon Thames	London Borough of Richmond
Royal Borough of Kingston upon Thames	Royal Borough of Kingston upon Thames
London Borough of Sutton	London Borough of Sutton
London Borough of Bromley	London Borough of Bromley
London Borough of Lewisham	London Borough of Lewisham
London Borough of Bexley	London Borough of Bexley
London Borough of Havering	London Borough of Havering
London Borough of Barking and Dagenham	London Borough of Barking and Dagenham
London Borough of Redbridge	London Borough of Redbridge
London Borough of Newham	London Borough of Newham
London Borough of Waltham Forest	London Borough of Waltham Forest
London Borough of Haringey	London Borough of Haringey
London Borough of Barnet	London Borough of Barnet
London Borough of Harrow	London Borough of Harrow
London Borough of Hillingdon	London Borough of Hillingdon
John Shakespeare	1530s births, 1601 deaths, People from Warwickshire
Norwegian Elkhound	Dog breeds
Kim Dae-jung	1926 births, Presidents of South Korea, Roman Catholics, Deaths from multiple organ failure, 2009 deaths
Conway's Game of Life	Computers, Biology
Bio Booster Armor Guyver	1985 manga, 1986 horror movies, 1991 movies, 1994 movies, 2005 anime television series, American action movies, Anime OVAs, Anime series, Manga series
Repulse Bay	Geography of Hong Kong, Beaches of Asia
Pelagianism	Ancient Christianity‎
Goggles	Protective clothing, Headgear
Urashima Tarō	Japanese folklore, Japanese mythology
Electrical generator	Electricity, motors
Paste	Basic English 850 words
Inert gas	Gases
Emperor Gaozu of Han	Emperors of Han Dynasty, 3rd century BC births, 190s BC deaths
Unification Church	New religious movements, Nontrinitarianism
Philip Pullman	1946 births, Living people, Agnostics, English novelists, People from Norwich, Writers from Norfolk
Yomi	Japanese mythology, Shinto, Afterlife
Ryūgū-jō	Japanese mythology, Japanese folklore
Imp	Legendary creatures
British Asian	Ethnic groups in the United Kingdom
Black British	Black British people
Ryūjin	Japanese folklore, Japanese mythology, Shinto
Takamagahara	Shinto, Japanese mythology
Gospel music	Christian music, Music genres
Salsa	Musical forms, Latin dances
Gwen Stefani	1969 births, Living people, American fashion designers, American R&B singers, American pop singers, American rap musicians from California, American rock singers, Brit Award winners, Grammy Award winners, Gwen Stefani, No Doubt members, People from Anaheim, California, Singer-songwriters from California
Izumo Province	Former provinces of Japan, Shimane Prefecture
Mount Hiei	Mountains of Japan
Momotarō	Japanese mythology, Japanese folklore, Fairy tales
Ama-no-Uzume	Japanese deities, Shinto
Susanoo	Japanese deities, Shinto
Ninigi-no-Mikoto	Japanese mythology, Shinto
Preston	City of Preston, Lancashire, 2002 establishments in England
Onryō	Japanese folklore
British Chinese	Ethnic groups in the United Kingdom
British African-Caribbean community	Ethnic groups in the United Kingdom
Flag of Switzerland	Switzerland, National flags
Taizu Emperor	Emperors of Qing Dynasty, 1559 births, 1626 deaths
Japanese dragon	Japanese folklore, Japanese mythology
Japanese mythology	Japanese mythology, Shinto
Huang Taiji	1592 births, 1643 deaths, Emperors of Qing Dynasty
Japanese folklore	Japanese folklore
Meiji period	Japanese eras, 1868 establishments in Japan, 1912 disestablishments, 20th century disestablishments in Japan
Pheasant	Phasianidae
Polytonality	Music theory
M1 motorway	Motorways in England
Teddy Randazzo	Singers from New York City, Singer-songwriters from New York, 1935 births, 2003 deaths
Kaspar Hauser	1810s births, 1833 deaths, Children, Mysterious people, People from Nuremberg
Police station	Police stations
Twist (dance)	Dances, Pop music
Cover version	Musical terminology
The Kingsmen	American rock bands, Musical groups from Oregon, 1959 establishments in the United States, Musical groups established in 1959, 20th-century establishments in Oregon
Obscenity	Culture
Hank Ballard	Singers from Detroit, Michigan, American singer-songwriters, 1936 births, 2003 deaths
Disciples of Christ	Protestantism
Bruno Bauer	1809 births, 1882 deaths, German philosophers
Zsa Zsa Gábor	1917 births, 2016 deaths, Naturalized citizens of the United States, Actors from Budapest, American movie actors, American radio actors, American socialites, American stage actors, American television actors, American voice actors, Cardiovascular disease deaths in Los Angeles, Deaths from coronary artery disease, Deaths from cardiopulmonary arrest, Hungarian movie actors
Brittany Snow	1986 births, Living people, Actors from Florida, American movie actors, American television actors, Actors from Tampa, Florida, Singers from Tampa, Florida
Desk	Furniture
Coles Supermarkets	Supermarkets of Australia, 1914 establishments, 1910s establishments in Australia
Empire of Nicaea	Middle Ages, 1204 establishments, 1261 disestablishments, 1200s establishments in Asia, 13th century disestablishments in Asia
National Stock Exchange of India	Stock exchanges, Economy of India, 1992 establishments in Asia, 1990s establishments in India, Companies listed on the National Stock Exchange of India
John Whedon	1905 births, 1991 deaths, American screenwriters
List of Buffy the Vampire Slayer episodes	Whedonverse, Lists of television series episodes
Buffy Summers	Angel (TV series) characters, Buffy the Vampire Slayer characters, Fictional characters introduced in 1992, Whedonverse
Spike (Buffyverse)	Angel (TV series) characters, Buffy the Vampire Slayer characters, Buffyverse vampires, Fictional British people, Fictional characters introduced in 1997
Angel (Buffyverse)	Angel (TV series) characters, Buffy the Vampire Slayer characters, Buffyverse vampires, Fictional characters introduced in 1997
First Evil	Buffy the Vampire Slayer characters, Fictional characters introduced in 1998, Fictional mass murderers, Fictional shapeshifters
Shunzhi Emperor	Emperors of Qing Dynasty, 1638 births, 1661 deaths
Hush (Buffy the Vampire Slayer)	1999 television episodes, Buffy the Vampire Slayer episodes
David Greenwalt	American screenwriters, Writers from Los Angeles, California, Whedonverse, 1949 births, Living people
Đồng Hới	Cities in Vietnam, Quang Binh Province
Phong Nha-Kẻ Bàng National Park	World Heritage Sites in Asia, Quảng Bình Province, National parks in Vietnam, 2001 establishments in Asia, 21st century establishments in Vietnam
Tan Son Nhat International Airport	Airports in Vietnam, 1930s establishments in Asia, 20th century establishments in Vietnam
Romulus Augustus	461 births, 5th century deaths, Roman Emperors
463	463
476	476
395	395
Justinian I	482 births, 565 deaths, Byzantine Emperors
Diocletian	240s births, 310s deaths, Roman Emperors
Huns	Ethnic groups in Asia, Eurasian nomads
Visigoths	Germanic tribes, History of France, History of Spain
Turkic peoples	Turkic peoples
116	116
Trajan	53 births, 117 deaths, Roman Emperors
Amazons	People in Greek mythology
Tammy Faye Messner	1942 births, 2007 deaths, American television talk show hosts, Cancer deaths in Missouri, Deaths from colorectal cancer, Singers from Minnesota, The Surreal Life participants
Sapphire	Gemstones, Birthstones
Anne Hathaway	1982 births, Living people, Actors from Brooklyn, American movie actors, American stage actors, American television actors, American voice actors, BAFTA Award winning actors, Best Supporting Actress Academy Award winners, Emmy Award winning actors, Golden Globe Award winning actors, Saturn Award winners, Screen Actors Guild Award winners, Former Roman Catholics, American LGBT rights activists, Musicians from Brooklyn
Fear Factor	American reality television series, NBC network shows, English-language television programs
Joe Rogan	1967 births, Living people, Actors from Newark, New Jersey, American game show hosts, American martial artists, American television actors, American television presenters, Comedians from New Jersey, Participants in American reality television series, Podcasters, Television personalities from New Jersey
Endemol	1994 establishments in Europe, Entertainment companies, Companies of the Netherlands, Amsterdam, Hilversum
Hilton Hotels	Companies of the United States, Hotel chains
Emily Osment	1992 births, Living people, Actors from Los Angeles, California, American child actors, American movie actors, American television actors, Disney actors
Kerry Katona	1980 births, Living people, Actors from Cheshire, Big Brother contestants, Dancing on Ice participants, English movie actors, English pop singers, English television actors, Musicians from Cheshire, People from Warrington, People with bipolar disorder, Reality television participants, Television personalities from Cheshire
Atomic Kitten	1990s British music groups, 1998 establishments in England, 2000s British music groups, 2010s British music groups, British girl groups, English pop music groups, Musical groups established in 1998, Musical groups from Liverpool
Warrington	Towns in Cheshire, Unitary authorities
Darin Zanyar	1987 births, Living people, Swedish singers
Gästrikland	Provinces of Sweden
Uppland	Provinces of Sweden
Västmanland	Provinces of Sweden
Värmland	Provinces of Sweden
Gulf of Bothnia	Gulfs, Atlantic Ocean, Geography of Finland, Geography of Sweden
Lolo Ferrari	1963 births, 2000 deaths, Drug-related suicides, French movie actors, French models, French television personalities, People from Clermont-Ferrand, Pornographic actors, Prostitutes, Suicides in France, World record holders
Fluorescent lamp	Lamps
My December	2007 albums, Kelly Clarkson albums, Pop albums
Tropical Storm Chantal (2007)	Atlantic tropical storms, Hurricanes in Bermuda, 2007 Atlantic hurricane season, 2000s in Bermuda, 2007 in Canada
Flinders Street Station	Railway stations in Melbourne, 1854 establishments, 1850s establishments in Australia
RIOT!	2007 albums, Paramore albums
Paramore	2004 establishments in the United States, 2000s American music groups, 2010s American music groups, Alternative music, American punk bands, Musical groups established in 2004, Musical groups from Tennessee, Paramore, 2000s establishments in Tennessee, People's Choice Award winners
Stonemasonry	Art
Ouran High School Host Club	Manga
Wei Yuan	1794 births, 1857 deaths, Chinese scholars
Herbert von Karajan	1908 births, 1989 deaths, Austrian conductors, Grammy Award winners, Order of Merit of the Federal Republic of Germany, People from Salzburg, Nazis
Snape Maltings	Concert halls in England
Gladiator	Ancient Rome, Occupations
Ohm's law	Electricity
Lin Shu	1852 births, 1924 deaths, Chinese people, Chinese translators
Kamikaze	History of Japan, World War II, Military aviation
Ü	Latin letters with diacritics, Vowel letters
Umlaut	German language, Alphabetic diacritics
Ö	Latin letters with diacritics, Vowel letters
List of emperors of China	Emperors and Empresses of China, Lists of heads of state
Ä	Latin letters with diacritics, Vowel letters
