Land grant	Business, Property
Approval voting	Voting systems
Agar plate	Laboratory equipment
Mansur Al-Hallaj	Persian poets, 858 births, 922 deaths
Again	Basic English 850 words
Conical measure	Laboratory equipment
Unsuri	Persian poets, 1039 deaths
Ali Shariati	Persian poets, 1933 births, 1977 deaths, 20th century philosophers
Kisai Marvazi	953 births, 10th century deaths, Persian poets
Farrokhi Sistani	10th century births, 1037 deaths, Persian poets
Mu'izzi	1048 births, 1125 deaths, Persian poets
Khaqani Shirvani	1120 births, 1190 deaths, Persian poets
The Seasons (Haydn)	Compositions by Joseph Haydn, Oratorios
Sohrab Sepehri	Persian poets, 1928 births, 1980 deaths
Shabestari	Persian poets, 1288 births, 1340 deaths
Jami	1414 births, 1492 deaths, Persian poets
Saadi	1184 births, 1291 deaths, Persian poets
Saint-Paul, Réunion	Cities in overseas regions belonging to France, Communes in Réunion, Subprefectures in France
Iraj Mirza	1874 births, 1926 deaths, Persian poets
Federalism	Politics, Federations
Federation	Federations
Federal republic	Federations, Republics
Square (algebra)	Algebra
Pan (moon)	Saturn's moons
Tropical Storm Franklin (2005)	Atlantic tropical storms, Hurricanes in Bermuda, 2005 Atlantic hurricane season, 2005 in Bermuda, 2005 in the Bahamas, 2005 in Canada
Atlas (moon)	Saturn's moons
Prometheus (moon)	Saturn's moons
Chris Daughtry	1979 births, Living people, American Idol contestants, Singers from North Carolina
Pandora (moon)	Saturn's moons
Daphnis (moon)	Saturn's moons
Melinda Doolittle	Singers from Tennessee, American Idol contestants, 1977 births, Living people
Epimetheus (moon)	Saturn's moons
Janus (moon)	Saturn's moons
Enceladus (moon)	Saturn's moons
Tethys (moon)	Saturn's moons
Tropical Storm Jose (2005)	Atlantic tropical storms, Hurricanes in Mexico, 2005 Atlantic hurricane season, 2005 in Mexico
Thread	Basic English 850 words
Hurricane Cindy (2005)	Hurricanes in the United States, Category 1 Atlantic hurricanes
Single	Basic English 850 words
Cartridge (electronics)	Electronics, Storage devices
Hurricane Epsilon	2005 Atlantic hurricane season, Category 1 Atlantic hurricanes, Hurricanes
EFL Cup	Football League Cup
The Football Association	1863 establishments in the United Kingdom, The Football Association, UEFA
Tropical Storm Alpha (2005)	2005 Atlantic hurricane season, Atlantic tropical storms
Büchner funnel	Laboratory equipment
Hurricane Alicia	Retired tropical cyclone names, Category 3 Atlantic hurricanes, 1983 in the United States, 1980s in Texas, Hurricanes in Texas
Hanging Gardens of Babylon	Seven Wonders of the World, Mesopotamia, Botanical gardens
Statue of Zeus at Olympia	Seven Wonders of the World, Ancient Greece, Ancient Greek and Roman statues, Olympia, Greece
Temple of Artemis	Seven Wonders of the World, Ancient Greece
Büchner flask	Laboratory equipment
Mausoleum at Halicarnassus	Seven Wonders of the World
Colossus of Rhodes	Seven Wonders of the World, Ancient Greece, Buildings and structures in Greece, Statues, Ancient Greek and Roman statues, Ancient Greek bronze sculptures
Lighthouse of Alexandria	Buildings and structures in Ancient Egypt, Seven Wonders of the World, Alexandria, Lighthouses, Transport in Egypt, 3rd-century BC establishments, Establishments in Egypt
Telesto (moon)	Saturn's moons
Calypso (moon)	Saturn's moons
Pallene (moon)	Saturn's moons
Methone (moon)	Saturn's moons
Dione (moon)	Saturn's moons
Helene (moon)	Saturn's moons
Polydeuces (moon)	Saturn's moons
Boyfriend	Men, Relationships, Society
Aspirator	Laboratory equipment
Venturi effect	Physics
Santa Fe, Argentina	Cities in Argentina, Capitals of Argentine provinces
Geography of Argentina	Geography of Argentina
List of retired Atlantic hurricane names	Hurricanes, Weather lists
Asturian language	Romance languages, Asturias
Classical mythology	mythology
Jun Kazama	Fictional Japanese people, Tekken characters
Allen Klein	1931 births, 2009 deaths, American fraudsters, American Jews, Deaths from Alzheimer's disease, Disease-related deaths in the United States, Jewish businesspeople, Businesspeople from Newark, New Jersey, The Beatles
Mark David Chapman	1955 births, Living people, American Christians, American murderers, American prisoners, People from Fort Worth, Texas, People from Georgia (U.S. state), The Beatles
Diana, Princess of Wales	1961 births, 1997 deaths, Accidental deaths in France, English Anglicans, House of Windsor, People from Norfolk, Princes and Princesses of Wales, Road accident deaths
Hornswoggle	1986 births, Living people, American professional wrestlers, WWE wrestlers, Sportspeople from Wisconsin, People with dwarfism
