Vladimir Lenin	Russian atheists, Russian communists, Deaths from stroke, Disease-related deaths in the Soviet Union, Marxism, Russian lawyers, 1870 births, 1924 deaths, Russian philosophers, Heads of government of the Soviet Union, Saint Petersburg State University alumni
Disease	Basic English 850 words, Diseases
Carbon	Carbon
Zaza language	Zazaki, Iranian languages
Chemical reaction	Chemistry
Rectangle	Polygons
Trafalgar Square	Roads in London, National squares
Official language	Languages, Vocabulary
Cake	Cakes, Basic English 850 words
House	Basic English 850 words, Houses
Gigabyte	Computing measurement
Sailor	Occupations, Water transport, Sailing, Navy
Farmer	Agricultural occupations
Constellation	Constellations
Flood	Floods
Hell	Afterlife, Religion
October 21	Days of the year
112 (emergency telephone number)	European Union, Emergency phone numbers
Government-in-exile	Governments in exile
Stonehenge	Prehistoric buildings and structures, Buildings and structures in England, Religious buildings, Wiltshire, Archaeological sites in Wiltshire, World Heritage Sites in the United Kingdom, Stone circles, Henges, Neolithic
Granite	Igneous rocks
1970	1970
Syracuse, New York	County seats in New York, Syracuse, New York
Soap opera	Soap operas, Television genres
The Young and the Restless	1973 television series debuts, 1970s American television series, 1980s American television series, 1990s American television series, 2000s American television series, 2010s American television series, American soap operas, Television series set in Wisconsin, CBS network shows, English-language television programs
Georgia (U.S. state)	Georgia (U.S. state), 1788 establishments in the United States
Prem Rawat	1957 births, Living people, Religious leaders, Indian people
Immanuel Kant	1724 births, 1804 deaths, 18th century philosophers, 19th century philosophers, Continental philosophers, German academics, German philosophers, German writers, People from former German territories, People from Kaliningrad, People from Prussia
Aunt	Family
Homer	Ancient Greek poets
Marquis de Sade	1740 births, 1814 deaths, Bisexual people, French criminals, French LGBT people, French novelists, French prisoners, LGBT criminals, LGBT writers, Sex offenders, Writers from Paris
Eurozone	European Union
Ordinal number	Number theory
Republic	Forms of government
Martin Luther	1483 births, 1546 deaths, Martin Luther, Bible translators, Christian theologians, German academics, German Lutherans, German theologians, Monks, People excommunicated by the Catholic Church, People from Saxony-Anhalt, Protestant Reformers
Noh	Japanese culture, Theatrical forms, Entertainment in Japan
Manga	Manga, Comic books
Spree	Geography of Berlin, Geography of Brandenburg, Geography of Saxony, Rivers of Germany
Liberalism	Liberalism
Zeno's paradoxes	Mathematics, Philosophical problems, Logical paradoxes
Mandrake	Nightshades
Debian	Linux distributions, Debian, X86-64 Linux distributions
GNU	Operating systems, GNU project
Serbia	Serbia, European Union candidate states, 2006 establishments in Europe
Cancer	Cancer
Photography	Photography
Acronym	Acronyms
Radio wave	Wave physics, Radio technology, Electromagnetic radiation
Bridge	Basic English 850 words, Bridges
Mysticism	Theology, Reality
Ontario	Ontario, 1867 establishments in Canada, Provinces and territories of Canada
Manitoba	Manitoba, 1870 establishments in North America, 1870s establishments in Canada, Provinces and territories of Canada
Head of government	Heads of government
Saskatchewan	Saskatchewan, 1905 establishments in North America, 1900s establishments in Canada, Provinces and territories of Canada
Classical music	Music genres
SNAFU	Figures of speech, Acronyms
Atlanta	Atlanta, Georgia, Fulton County, Georgia, County seats in Georgia, State capitals in the United States, Olympic cities, 1837 establishments in Georgia (U.S. state)
